energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,4.82335507,-4.52306202,0.01959850,-0.03529552,0.48660914,-0.64416206,1.52261898,-1.59678726,0.75326165,-0.43052363,0.04597286,-0.10320292,2.17206181,-1.98943818,1.16432420,-0.60863853,0.18265616,-0.23297340
-5.99399700,4.76202914,-4.46875866,0.01866653,-0.03560802,0.47448700,-0.64169184,1.52533985,-1.58117393,0.73485575,-0.42591395,0.04327119,-0.10146182,2.15857650,-1.96029012,1.17758190,-0.60558943,0.17594651,-0.23281175
-5.98799400,4.69726640,-4.41336562,0.01798726,-0.03585033,0.46331116,-0.63787754,1.52823289,-1.56325956,0.71724372,-0.42099849,0.04082162,-0.09962445,2.14147184,-1.93230268,1.18714720,-0.60316669,0.16939663,-0.23268396
-5.98199100,4.62949485,-4.35882229,0.01756421,-0.03603944,0.45316043,-0.63297372,1.53116683,-1.54357121,0.70057276,-0.41602978,0.03864856,-0.09773914,2.12085209,-1.90635217,1.19291209,-0.60170097,0.16306298,-0.23264771
-5.97598799,4.55947414,-4.30718025,0.01740025,-0.03619715,0.44413334,-0.62727689,1.53414611,-1.52271918,0.68502328,-0.41128115,0.03677396,-0.09585220,2.09699796,-1.88332995,1.19489088,-0.60154972,0.15700689,-0.23276216
-5.96998499,4.48828613,-4.26056347,0.01749783,-0.03634967,0.43634842,-0.62111983,1.53731485,-1.50138944,0.67080830,-0.40704065,0.03521720,-0.09400669,2.07036130,-1.86412539,1.19321996,-0.60309090,0.15129351,-0.23308669
-5.96398199,4.41730928,-4.22112345,0.01785906,-0.03652709,0.42994274,-0.61486445,1.54095354,-1.48033271,0.65817006,-0.40360410,0.03399497,-0.09224145,2.04155244,-1.84960750,1.18815262,-0.60671479,0.14599037,-0.23367957
-5.95797899,4.34817723,-4.19098974,0.01848566,-0.03676259,0.42506856,-0.60889334,1.54546832,-1.46034984,0.64737423,-0.40126750,0.03312127,-0.09059042,2.01132053,-1.84060540,1.18004922,-0.61281405,0.14116575,-0.23459645
-5.95197599,4.28272320,-4.17221633,0.01937882,-0.03709156,0.42188838,-0.60360006,1.55137317,-1.44227377,0.63870160,-0.40031882,0.03260728,-0.08908204,1.98052750,-1.83788758,1.16936295,-0.62177211,0.13688669,-0.23588873
-5.94597299,4.22291220,-4.16672502,0.02053886,-0.03755045,0.42056844,-0.59937856,1.55926553,-1.42694859,0.63243788,-0.40102932,0.03246136,-0.08773912,1.95011673,-1.84214051,1.15662177,-0.63395028,0.13321698,-0.23760190
