energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,6.14569998,0.02052320,1.19450225,0.77423012,0.32475312,2.78029794,2.96611400,1.91078558,0.00000000
-5.99399700,6.14588370,0.02047381,1.19559490,0.77200344,0.32702742,2.77821649,2.96131780,1.90704851,0.00000000
-5.98799400,6.15328068,0.02045165,1.19709755,0.77180307,0.32987915,2.77800916,2.95882282,1.90752783,0.00000000
-5.98199100,6.16744764,0.02045392,1.19906257,0.77352419,0.33324480,2.77962708,2.95864599,1.91190707,0.00000000
-5.97598799,6.18793581,0.02047740,1.20154894,0.77704622,0.33705772,2.78303120,2.96082397,1.91984318,0.00000000
-5.96998499,6.21430228,0.02051866,1.20461933,0.78223679,0.34124990,2.78819116,2.96541253,1.93097792,0.00000000
-5.96398199,6.24611856,0.02057404,1.20833686,0.78895572,0.34575369,2.79508344,2.97248360,1.94494872,0.00000000
-5.95797899,6.28297590,0.02063986,1.21276173,0.79705858,0.35050341,2.80368871,2.98211999,1.96139826,0.00000000
-5.95197599,6.32448722,0.02071241,1.21794774,0.80639988,0.35543679,2.81398865,2.99440795,1.97998272,0.00000000
-5.94597299,6.37028569,0.02078813,1.22393878,0.81683568,0.36049614,2.82596244,3.00942775,2.00037829,0.00000000
-5.93996998,6.42002004,0.02086365,1.23076544,0.82822560,0.36562929,2.83958285,3.02724290,2.02228580,0.00000000
-5.93396698,6.47334695,0.02093588,1.23844164,0.84043415,0.37079023,2.85481235,3.04788820,2.04543341,0.00000000
-5.92796398,6.52992118,0.02100206,1.24696161,0.85333151,0.37593940,2.87159918,3.07135745,2.06957745,0.00000000
-5.92196098,6.58938386,0.02105987,1.25629713,0.86679361,0.38104376,2.88987362,3.09759137,2.09450138,0.00000000
-5.91595798,6.65134996,0.02110742,1.26639524,0.88070179,0.38607645,2.90954457,3.12646647,2.12001326,0.00000000
-5.90995498,6.71539585,0.02114335,1.27717648,0.89494203,0.39101629,2.93049655,3.15778555,2.14594186,0.00000000
-5.90395198,6.78104779,0.02116679,1.28853392,0.90940388,0.39584699,2.95258727,3.19127053,2.17213187,0.00000000
-5.89794897,6.84777244,0.02117745,1.30033284,0.92397931,0.40055624,2.97564587,3.22655825,2.19843865,0.00000000
-5.89194597,6.91497030,0.02117554,1.31241152,0.93856152,0.40513470,2.99947203,3.26319970,2.22472272,0.00000000
-5.88594297,6.98197281,0.02116179,1.32458286,0.95304394,0.40957489,3.02383593,3.30066308,2.25084471,0.00000000
-5.87993997,7.04804372,0.02113741,1.33663716,0.96731946,0.41387026,3.04847935,3.33834082,2.27666087,0.00000000
-5.87393697,7.11238514,0.02110406,1.34834588,0.98128008,0.41801424,3.07311777,3.37556055,2.30201968,0.00000000
-5.86793397,7.17414827,0.02106374,1.35946638,0.99481690,0.42199952,3.09744377,3.41159972,2.32675970,0.00000000
-5.86193097,7.23244860,0.02101875,1.36974758,1.00782064,0.42581750,3.12113152,3.44570352,2.35070880,0.00000000
-5.85592796,7.28638510,0.02097159,1.37893625,1.02018255,0.42945801,3.14384240,3.47710523,2.37368492,0.00000000
-5.84992496,7.33506250,0.02092488,1.38678382,1.03179577,0.43290922,3.16523160,3.50504843,2.39549827,0.00000000
-5.84392196,7.37761558,0.02088123,1.39305337,1.04255697,0.43615784,3.18495561,3.52880980,2.41595468,0.00000000
-5.83791896,7.41323430,0.02084316,1.39752653,1.05236823,0.43918938,3.20268011,3.54772175,2.43486011,0.00000000
-5.83191596,7.44118839,0.02081300,1.40001003,1.06113900,0.44198877,3.21808822,3.56119359,2.45202573,0.00000000
-5.82591296,7.46084990,0.02079277,1.40034148,1.06878805,0.44454083,3.23088855,3.56873048,2.46727337,0.00000000
-5.81990995,7.47171267,0.02078413,1.39839424,1.07524524,0.44683097,3.24082268,3.56994897,2.48044092,0.00000000
-5.81390695,7.47340735,0.02078828,1.39408106,1.08045300,0.44884574,3.24767180,3.56458873,2.49138718,0.00000000
-5.80790395,7.46571127,0.02080592,1.38735630,1.08436745,0.45057335,3.25126197,3.55251966,2.49999601,0.00000000
-5.80190095,7.44855251,0.02083718,1.37821672,1.08695901,0.45200400,3.25146776,3.53374431,2.50617934,0.00000000
-5.79589795,7.42200807,0.02088162,1.36670076,1.08821257,0.45313007,3.24821407,3.50839543,2.50987892,0.00000000
-5.78989495,7.38629620,0.02093825,1.35288629,1.08812709,0.45394619,3.24147590,3.47672906,2.51106674,0.00000000
-5.78389195,7.34176358,0.02100550,1.33688711,1.08671479,0.45444901,3.23127610,3.43911348,2.50974413,0.00000000
-5.77788894,7.28886816,0.02108132,1.31884832,1.08399989,0.45463699,3.21768125,3.39601476,2.50593965,0.00000000
-5.77188594,7.22815884,0.02116319,1.29894079,1.08001706,0.45450993,3.20079585,3.34797983,2.49970607,0.00000000
-5.76588294,7.16025337,0.02124824,1.27735512,1.07480970,0.45406863,3.18075525,3.29561787,2.49111672,0.00000000
-5.75987994,7.08581594,0.02133331,1.25429538,1.06842818,0.45331444,3.15771775,3.23958115,2.48026153,0.00000000
-5.75387694,7.00553590,0.02141511,1.22997293,1.06092821,0.45224906,3.13185647,3.18054625,2.46724329,0.00000000
-5.74787394,6.92010894,0.02149026,1.20460063,1.05236943,0.45087439,3.10335148,3.11919653,2.45217441,0.00000000
