energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.86335328,0.23105095,0.16229773,0.00154759,0.10140570,0.00255395,0.23761316,0.35309762,0.06609150
-5.99399700,0.90138142,0.23990818,0.17121379,0.00161151,0.10679789,0.00275959,0.24666500,0.36811712,0.06879979
-5.98799400,0.93820285,0.24958436,0.18027454,0.00166976,0.11233088,0.00299919,0.25510833,0.38191318,0.07129479
-5.98199100,0.97320499,0.25997058,0.18942614,0.00172090,0.11797252,0.00327439,0.26272326,0.39418018,0.07351805
-5.97598799,1.00588558,0.27098383,0.19864046,0.00176368,0.12370424,0.00358762,0.26931903,0.40465236,0.07541900
-5.96998499,1.03587039,0.28257011,0.20791723,0.00179708,0.12952235,0.00394211,0.27473969,0.41311276,0.07695662
-5.96398199,1.06292619,0.29470568,0.21728511,0.00182032,0.13543863,0.00434178,0.27886877,0.41940037,0.07810081
-5.95797899,1.08696828,0.30739660,0.22680143,0.00183294,0.14148015,0.00479116,0.28163245,0.42341535,0.07883337
-5.95197599,1.10806208,0.32067635,0.23655066,0.00183476,0.14768823,0.00529525,0.28300140,0.42512207,0.07914857
-5.94597299,1.12641850,0.33460179,0.24664158,0.00182588,0.15411668,0.00585947,0.28299086,0.42454960,0.07905333
-5.93996998,1.14238336,0.34924752,0.25720301,0.00180673,0.16082920,0.00648945,0.28165922,0.42178996,0.07856687
-5.93396698,1.15642104,0.36469899,0.26837854,0.00177802,0.16789626,0.00719096,0.27910506,0.41699390,0.07771999
-5.92796398,1.16909333,0.38104472,0.28032020,0.00174069,0.17539135,0.00796979,0.27546274,0.41036461,0.07655385
-5.92196098,1.18103425,0.39836809,0.29318150,0.00169593,0.18338702,0.00883155,0.27089681,0.40214955,0.07511851
-5.91595798,1.19292231,0.41673909,0.30711011,0.00164510,0.19195081,0.00978167,0.26559544,0.39263086,0.07347109
-5.90995498,1.20545131,0.43620672,0.32224058,0.00158969,0.20114128,0.01082524,0.25976326,0.38211473,0.07167378
-5.90395198,1.21930128,0.45679229,0.33868748,0.00153129,0.21100445,0.01196700,0.25361383,0.37092023,0.06979163
-5.89794897,1.23511107,0.47848425,0.35653938,0.00147153,0.22157083,0.01321127,0.24736207,0.35936813,0.06789048
-5.89194597,1.25345368,0.50123485,0.37585394,0.00141203,0.23285324,0.01456198,0.24121707,0.34777013,0.06603475
-5.88594297,1.27481573,0.52495882,0.39665459,0.00135435,0.24484564,0.01602266,0.23537547,0.33641902,0.06428546
