energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.83407803,0.00140997,1.53650743,3.04214416,2.43864355,0.03202203,0.51732056,0.21193138,0.17650137
-5.99399700,5.20068359,0.00148950,1.65900636,3.28997954,2.63071015,0.03459300,0.55046142,0.22550311,0.18704424
-5.98799400,5.57020100,0.00157121,1.78165305,3.53811723,2.82331369,0.03728770,0.58436147,0.23931182,0.19814376
-5.98199100,5.93685602,0.00165253,1.90274987,3.78304100,3.01381332,0.04005786,0.61827629,0.25305299,0.20952552
-5.97598799,6.29476589,0.00173102,2.02055876,4.02114415,3.19950893,0.04285413,0.65145978,0.26641961,0.22091111
-5.96998499,6.63807640,0.00180440,2.13334227,4.24881849,3.37770384,0.04562693,0.68318232,0.27911024,0.23202375
-5.96398199,6.96110636,0.00187057,2.23940681,4.46254908,3.54577069,0.04832748,0.71274966,0.29083739,0.24259437
-5.95797899,7.25849465,0.00192767,2.33714679,4.65901135,3.70121824,0.05090893,0.73952195,0.30133581,0.25236772
-5.95197599,7.52534461,0.00197412,2.42508781,4.83516687,3.84175668,0.05332756,0.76293223,0.31037069,0.26110849
-5.94597299,7.75736019,0.00200861,2.50192747,4.98835395,3.96535916,0.05554401,0.78250375,0.31774517,0.26860711
-5.93996998,7.95096868,0.00203017,2.56657199,5.11636935,4.07031709,0.05752451,0.79786526,0.32330712,0.27468511
-5.93396698,8.10342511,0.00203815,2.61816731,5.21753760,4.15528722,0.05924198,0.80876388,0.32695475,0.27919972
-5.92796398,8.21289384,0.00203227,2.65612346,5.29076482,4.21932871,0.06067699,0.81507482,0.32864091,0.28204760
-5.92196098,8.27850430,0.00201261,2.68013108,5.33557482,4.26192876,0.06181853,0.81680758,0.32837595,0.28316753
-5.91595798,8.30037817,0.00197956,2.69016946,5.35212545,4.28301591,0.06266451,0.81410829,0.32622886,0.28254185
-5.90995498,8.27962693,0.00193387,2.68650589,5.34120471,4.28296045,0.06322197,0.80725817,0.32232678,0.28019671
-5.90395198,8.21831979,0.00187656,2.66968609,5.30420624,4.26256204,0.06350697,0.79666791,0.31685281,0.27620104
-5.89794897,8.11942293,0.00180894,2.64051634,5.24308534,4.22302499,0.06354415,0.78286834,0.31004223,0.27066420
-5.89194597,7.98671243,0.00173251,2.60003783,5.16029692,4.16592211,0.06336596,0.76649751,0.30217725,0.26373262
-5.88594297,7.82466400,0.00164895,2.54949426,5.05871789,4.09314845,0.06301159,0.74828482,0.29358036,0.25558525
-5.87993997,7.63832341,0.00156008,2.49029383,4.94155687,4.00686654,0.06252565,0.72903242,0.28460670,0.24642829
-5.87393697,7.43316215,0.00146776,2.42396715,4.81225472,3.90944494,0.06195661,0.70959473,0.27563539,0.23648918
-5.86793397,7.21492334,0.00137387,2.35212232,4.67437947,3.80339219,0.06135512,0.69085654,0.26706036,0.22601020
-5.86193097,6.98946281,0.00128029,2.27639907,4.53151963,3.69128820,0.06077220,0.67371027,0.25928063,0.21524182
-5.85592796,6.76259058,0.00118881,2.19842313,4.38717956,3.57571519,0.06025752,0.65903319,0.25269044,0.20443603
-5.84992496,6.53991738,0.00110110,2.11976266,4.24468073,3.45919035,0.05985768,0.64766489,0.24766946,0.19383990
-5.84392196,6.32671098,0.00101871,2.04188790,4.10707200,3.34410201,0.05961471,0.64038576,0.24457313,0.18368947
-5.83791896,6.12776605,0.00094304,1.96613540,3.97705200,3.23265129,0.05956476,0.63789683,0.24372346,0.17420414
-5.83191596,5.94729136,0.00087530,1.89367783,3.85690600,3.12680078,0.05973708,0.64080151,0.24540042,0.16558178
-5.82591296,5.78881691,0.00081655,1.82550015,3.74845900,3.02823163,0.06015340,0.64958946,0.24983410,0.15799444
-5.81990995,5.65512330,0.00076767,1.76238281,3.65304643,2.93831012,0.06082755,0.66462314,0.25719780,0.15158493
-5.81390695,5.54819492,0.00072937,1.70489234,3.57150291,2.85806471,0.06176556,0.68612732,0.26760223,0.14646419
-5.80790395,5.46919762,0.00070224,1.65337929,3.50416901,2.78817385,0.06296608,0.71418171,0.28109116,0.14270948
-5.80190095,5.41848128,0.00068677,1.60798354,3.45091545,2.72896499,0.06442105,0.74871723,0.29763840,0.14036342
-5.79589795,5.39560643,0.00068334,1.56864635,3.41118324,2.68042446,0.06611681,0.78951601,0.31714662,0.13943380
-5.78989495,5.39939410,0.00069232,1.53512872,3.38403813,2.64221784,0.06803522,0.83621534,0.33944806,0.13989428
-5.78389195,5.42799686,0.00071409,1.50703509,3.36823691,2.61371995,0.07015511,0.88831575,0.36430723,0.14168573
-5.77788894,5.47898869,0.00074904,1.48384134,3.36230306,2.59405343,0.07245362,0.94519323,0.39142582,0.14471836
-5.77188594,5.54947087,0.00079772,1.46492601,3.36460855,2.58213425,0.07490763,1.00611550,0.42044979,0.14887455
-5.76588294,5.63619021,0.00086079,1.44960338,3.37345877,2.57672273,0.07749497,1.07026217,0.45097872,0.15401230
-5.75987994,5.73566590,0.00093915,1.43715715,3.38717732,2.57647796,0.08019555,1.13674834,0.48257705,0.15996919
-5.75387694,5.84432073,0.00103395,1.42687342,3.40418730,2.58001374,0.08299209,1.20465116,0.51478734,0.16656695
-5.74787394,5.95861218,0.00114665,1.41807165,3.42308625,2.58595382,0.08587073,1.27303858,0.54714484,0.17361637
-5.74187094,6.07515893,0.00127908,1.41013249,3.44271169,2.59298446,0.08882116,1.34099938,0.57919310,0.18092248
-5.73586793,6.19085842,0.00143347,1.40252144,3.46219508,2.59990231,0.09183654,1.40767353,0.61050006,0.18828994
-5.72986493,6.30299108,0.00161248,1.39480766,3.48100198,2.60565582,0.09491302,1.47228154,0.64067386,0.19552846
-5.72386193,6.40930763,0.00181920,1.38667707,3.49895715,2.60937866,0.09804913,1.53415180,0.66937780,0.20245804
-5.71785893,6.50809625,0.00205720,1.37793978,3.51625367,2.61041408,0.10124482,1.59274451,0.69634360,0.20891394
-5.71185593,6.59822696,0.00233047,1.36853141,3.53344586,2.60832924,0.10450049,1.64767115,0.72138242,0.21475111
-5.70585293,6.67917191,0.00264342,1.35850873,3.55142638,2.60291947,0.10781596,1.69870842,0.74439285,0.21984809
-5.69984992,6.75100067,0.00300081,1.34804001,3.57138857,2.59420228,0.11118940,1.74580581,0.76536548,0.22411000
-5.69384692,6.81435110,0.00340767,1.33739055,3.59477556,2.58240194,0.11461650,1.78908629,0.78438364,0.22747071
-5.68784392,6.87037713,0.00386923,1.32690447,3.62321826,2.56792544,0.11808978,1.82883982,0.80162005,0.22989396
-5.68184092,6.92067585,0.00439075,1.31698355,3.65846470,2.55133128,0.12159817,1.86550973,0.81732952,0.23137348
