energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.96272985,0.54151955,2.60755383,0.01141929,0.35492562,0.01963684,0.67074657
-5.99399700,4.03928193,0.54494051,2.67562095,0.01144136,0.37198145,0.01911581,0.66318306
-5.98799400,4.12373049,0.55076537,2.74871831,0.01145283,0.38974361,0.01854117,0.65724623
-5.98199100,4.21605162,0.55905044,2.82673115,0.01145411,0.40816343,0.01792016,0.65301101
-5.97598799,4.31612652,0.56982373,2.90948732,0.01144610,0.42718839,0.01726093,0.65052108
-5.96998499,4.42374372,0.58308487,2.99676115,0.01143013,0.44676349,0.01657226,0.64978751
-5.96398199,4.53860423,0.59880574,3.08827878,0.01140789,0.46683249,0.01586336,0.65078861
-5.95797899,4.66032841,0.61693160,3.18372428,0.01138138,0.48733916,0.01514363,0.65347094
-5.95197599,4.78846350,0.63738246,3.28274583,0.01135285,0.50822827,0.01442243,0.65775114
-5.94597299,4.92249056,0.66005463,3.38496084,0.01132463,0.52944621,0.01370884,0.66351851
-5.93996998,5.06182972,0.68482196,3.48995964,0.01129911,0.55094110,0.01301142,0.67063801
-5.93396698,5.20584299,0.71153701,3.59730679,0.01127858,0.57266241,0.01233804,0.67895352
-5.92796398,5.35383374,0.74003168,3.70653983,0.01126515,0.59455991,0.01169570,0.68829121
-5.92196098,5.50504293,0.77011763,3.81716528,0.01126059,0.61658201,0.01109035,0.69846271
-5.91595798,5.65864211,0.80158625,3.92865199,0.01126631,0.63867361,0.01052684,0.70926817
-5.90995498,5.81372389,0.83420862,4.04042251,0.01128318,0.66077338,0.01000876,0.72049901
-5.90395198,5.96929095,0.86773529,4.15184313,0.01131151,0.68281095,0.00953851,0.73194040
-5.89794897,6.12424516,0.90189655,4.26221386,0.01135099,0.70470383,0.00911719,0.74337352
-5.89194597,6.27737842,0.93640307,4.37075944,0.01140065,0.72635474,0.00874474,0.75457774
-5.88594297,6.42736720,0.97094744,4.47662303,0.01145885,0.74764927,0.00841994,0.76533264
-5.87993997,6.57277270,1.00520678,4.57886380,0.01152337,0.76845441,0.00814056,0.77542032
-5.87393697,6.71204837,1.03884654,4.67645992,0.01159138,0.78861801,0.00790348,0.78462780
-5.86793397,6.84355620,1.07152580,4.76831787,0.01165964,0.80796953,0.00770486,0.79274984
-5.86193097,6.96559266,1.10290388,4.85328896,0.01172453,0.82632220,0.00754030,0.79959218
-5.85592796,7.07642467,1.13264840,4.93019315,0.01178224,0.84347664,0.00740504,0.80497523
-5.84992496,7.17433512,1.16044442,4.99785018,0.01182892,0.85922588,0.00729418,0.80873813
-5.84392196,7.25767680,1.18600440,5.05511703,0.01186086,0.87336179,0.00720282,0.81074321
-5.83791896,7.32493289,1.20907870,5.10093054,0.01187465,0.88568262,0.00712631,0.81088056
-5.83191596,7.37478140,1.22946592,5.13435342,0.01186739,0.89600131,0.00706039,0.80907254
-5.82591296,7.40616063,1.24702277,5.15462140,0.01183678,0.90415427,0.00700137,0.80527803
-5.81990995,7.41833215,1.26167276,5.16118924,0.01178133,0.91001021,0.00694625,0.79949603
-5.81390695,7.41093797,1.27341337,5.15377300,0.01170044,0.91347846,0.00689285,0.79176842
-5.80790395,7.38404840,1.28232110,5.13238617,0.01159445,0.91451645,0.00683988,0.78218156
-5.80190095,7.33819773,1.28855411,5.09736751,0.01146473,0.91313587,0.00678698,0.77086649
-5.79589795,7.27440525,1.29235235,5.04939867,0.01131364,0.90940721,0.00673478,0.75799763
-5.78989495,7.19417984,1.29403482,4.98951038,0.01114449,0.90346228,0.00668482,0.74378980
-5.78389195,7.09950747,1.29399442,4.91907637,0.01096147,0.89549478,0.00663955,0.72849365
-5.77788894,6.99282148,1.29269016,4.83979517,0.01076951,0.88575860,0.00660227,0.71238955
-5.77188594,6.87695668,1.29063748,4.75366000,0.01057410,0.87456403,0.00657700,0.69578016
-5.76588294,6.75508908,1.28839684,4.66291825,0.01038114,0.86227205,0.00656838,0.67898194
-5.75987994,6.63066361,1.28656117,4.57002192,0.01019674,0.84928680,0.00658159,0.66231597
-5.75387694,6.50731274,1.28574270,4.47757107,0.01002693,0.83604672,0.00662216,0.64609850
-5.74787394,6.38876935,1.28655966,4.38825260,0.00987755,0.82301449,0.00669586,0.63063154
-5.74187094,6.27877698,1.28962326,4.30477653,0.00975395,0.81066629,0.00680859,0.61619415
-5.73586793,6.18100067,1.29552538,4.22981199,0.00966084,0.79948065,0.00696624,0.60303450
-5.72986493,6.09894120,1.30482706,4.16592508,0.00960207,0.78992725,0.00717453,0.59136338
-5.72386193,6.03585503,1.31804810,4.11552007,0.00958058,0.78245598,0.00743898,0.58134914
-5.71785893,5.99468186,1.33565765,4.08078556,0.00959819,0.77748644,0.00776472,0.57311446
-5.71185593,5.97798096,1.35806575,4.06364636,0.00965559,0.77539808,0.00815645,0.56673485
-5.70585293,5.98787699,1.38561571,4.06572189,0.00975234,0.77652127,0.00861832,0.56223907
-5.69984992,6.02601563,1.41857703,4.08829123,0.00988682,0.78112912,0.00915386,0.55961115
-5.69384692,6.09352888,1.45713889,4.13226504,0.01005635,0.78943041,0.00976585,0.55879396
