energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.59947874,0.04516482,0.06590329,0.03586036,0.63040323,0.27265223,0.30625019
-5.99399700,1.56362615,0.04448941,0.06502950,0.03371554,0.61665121,0.26996898,0.29841660
-5.98799400,1.51997503,0.04353165,0.06382869,0.03159990,0.59980407,0.26563019,0.28905816
-5.98199100,1.46911168,0.04231086,0.06231490,0.02952725,0.58008561,0.25970544,0.27831211
-5.97598799,1.41177400,0.04085108,0.06051026,0.02751111,0.55777829,0.25229766,0.26634408
-5.96998499,1.34883187,0.03918033,0.05844477,0.02556492,0.53321539,0.24353984,0.25334310
-5.96398199,1.28126376,0.03732966,0.05615577,0.02370230,0.50677187,0.23359097,0.23951618
-5.95797899,1.21013093,0.03533223,0.05368716,0.02193729,0.47885420,0.22263117,0.22508241
-5.95197599,1.13655005,0.03322230,0.05108857,0.02028457,0.44988957,0.21085637,0.21026709
-5.94597299,1.06166555,0.03103429,0.04841427,0.01875958,0.42031513,0.19847280,0.19529591
-5.93996998,0.98662278,0.02880189,0.04572206,0.01737866,0.39056741,0.18569138,0.18038955
-5.93396698,0.91254301,0.02655724,0.04307216,0.01615916,0.36107256,0.17272234,0.16575880
-5.92796398,0.84050100,0.02433027,0.04052603,0.01511951,0.33223762,0.15977026,0.15160043
-5.92196098,0.77150590,0.02214810,0.03814525,0.01427919,0.30444308,0.14702962,0.13809380
-5.91595798,0.70648580,0.02003467,0.03599057,0.01365872,0.27803689,0.13468110,0.12539839
-5.90995498,0.64627616,0.01801046,0.03412091,0.01327963,0.25333012,0.12288859,0.11365208
-5.90395198,0.59161197,0.01609236,0.03259256,0.01316426,0.23059398,0.11179705,0.10297040
-5.89794897,0.54312343,0.01429367,0.03145848,0.01333558,0.21005845,0.10153118,0.09344633
-5.89194597,0.50133476,0.01262424,0.03076765,0.01381692,0.19191211,0.09219482,0.08515087
-5.88594297,0.46666553,0.01109070,0.03056456,0.01463158,0.17630297,0.08387102,0.07813403
-5.87993997,0.43943384,0.00969673,0.03088871,0.01580236,0.16334031,0.07662283,0.07242618
-5.87393697,0.41986091,0.00844346,0.03177426,0.01735096,0.15309689,0.07049438,0.06803967
-5.86793397,0.40807627,0.00732981,0.03324959,0.01929735,0.14561166,0.06551247,0.06497049
-5.86193097,0.40412311,0.00635295,0.03533702,0.02165896,0.14089242,0.06168835,0.06320000
-5.85592796,0.40796340,0.00550865,0.03805245,0.02444988,0.13891854,0.05901960,0.06269645
-5.84992496,0.41948243,0.00479171,0.04140512,0.02767995,0.13964328,0.05749205,0.06341647
-5.84392196,0.43849265,0.00419625,0.04539732,0.03135386,0.14299586,0.05708169,0.06530632
-5.83791896,0.46473674,0.00371602,0.05002423,0.03547031,0.14888315,0.05775634,0.06830296
-5.83191596,0.49789012,0.00334467,0.05527379,0.04002122,0.15719084,0.05947724,0.07233491
-5.82591296,0.53756293,0.00307589,0.06112667,0.04499103,0.16778440,0.06220040,0.07732306
-5.81990995,0.58330202,0.00290358,0.06755643,0.05035627,0.18050966,0.06587765,0.08318130
-5.81390695,0.63459303,0.00282188,0.07452969,0.05608530,0.19519324,0.07045755,0.08981715
-5.80790395,0.69086302,0.00282520,0.08200658,0.06213830,0.21164292,0.07588600,0.09713240
-5.80190095,0.75148398,0.00290819,0.08994129,0.06846763,0.22964812,0.08210666,0.10502380
-5.79589795,0.81577743,0.00306566,0.09828273,0.07501845,0.24898052,0.08906111,0.11338390
-5.78989495,0.88302030,0.00329247,0.10697544,0.08172968,0.26939502,0.09668896,0.12210194
-5.78389195,0.95245218,0.00358344,0.11596045,0.08853524,0.29063116,0.10492764,0.13106498
-5.77788894,1.02328393,0.00393315,0.12517636,0.09536560,0.31241495,0.11371218,0.14015908
-5.77188594,1.09470752,0.00433589,0.13456028,0.10214947,0.33446124,0.12297481,0.14927069
-5.76588294,1.16590695,0.00478545,0.14404888,0.10881567,0.35647671,0.13264459,0.15828806
-5.75987994,1.23606973,0.00527512,0.15357920,0.11529503,0.37816328,0.14264692,0.16710273
-5.75387694,1.30439894,0.00579755,0.16308944,0.12152227,0.39922208,0.15290307,0.17561101
-5.74787394,1.37012507,0.00634474,0.17251952,0.12743767,0.41935783,0.16332981,0.18371543
-5.74187094,1.43251753,0.00690809,0.18181135,0.13298863,0.43828344,0.17383914,0.19132601
-5.73586793,1.49089532,0.00747842,0.19090901,0.13813078,0.45572500,0.18433811,0.19836142
-5.72986493,1.54463659,0.00804611,0.19975858,0.14282882,0.47142663,0.19472889,0.20474996
-5.72386193,1.59318666,0.00860127,0.20830779,0.14705686,0.48515546,0.20490912,0.21043023
-5.71785893,1.63606458,0.00913391,0.21650557,0.15079837,0.49670626,0.21477252,0.21535160
-5.71185593,1.67286784,0.00963418,0.22430143,0.15404564,0.50590582,0.22420980,0.21947441
-5.70585293,1.70327540,0.01009268,0.23164478,0.15679890,0.51261680,0.23311003,0.22276992
-5.69984992,1.72704907,0.01050065,0.23848442,0.15906507,0.51674096,0.24136225,0.22522004
-5.69384692,1.74403334,0.01085033,0.24476799,0.16085625,0.51822171,0.24885752,0.22681685
-5.68784392,1.75415393,0.01113521,0.25044179,0.16218806,0.51704583,0.25549122,0.22756197
-5.68184092,1.75741537,0.01135022,0.25545075,0.16307794,0.51324435,0.26116569,0.22746586
-5.67583792,1.75389770,0.01149205,0.25973883,0.16354356,0.50689245,0.26579293,0.22654700
-5.66983492,1.74375279,0.01155925,0.26324974,0.16360136,0.49810854,0.26929751,0.22483113
-5.66383192,1.72720041,0.01155239,0.26592801,0.16326539,0.48705238,0.27161941,0.22235046
-5.65782891,1.70452432,0.01147414,0.26772046,0.16254651,0.47392243,0.27271676,0.21914304
-5.65182591,1.67606843,0.01132929,0.26857795,0.16145200,0.45895239,0.27256824,0.21525212
-5.64582291,1.64223335,0.01112473,0.26845734,0.15998560,0.44240714,0.27117529,0.21072568
-5.63981991,1.60347306,0.01086936,0.26732360,0.15814795,0.42457812,0.26856362,0.20561610
-5.63381691,1.56029190,0.01057397,0.26515197,0.15593744,0.40577836,0.26478440,0.19997990
-5.62781391,1.51324164,0.01025108,0.26192999,0.15335136,0.38633724,0.25991462,0.19387754
-5.62181091,1.46291847,0.00991474,0.25765930,0.15038730,0.36659516,0.25405686,0.18737333
-5.61580790,1.40995969,0.00958033,0.25235716,0.14704465,0.34689817,0.24733840,0.18053534
-5.60980490,1.35504001,0.00926431,0.24605751,0.14332613,0.32759280,0.23990953,0.17343524
-5.60380190,1.29886693,0.00898395,0.23881151,0.13923929,0.30902101,0.23194134,0.16614818
-5.59779890,1.24217536,0.00875715,0.23068757,0.13479767,0.29151551,0.22362280,0.15875245
-5.59179590,1.18572102,0.00860210,0.22177073,0.13002186,0.27539525,0.21515742,0.15132911
-5.58579290,1.13027262,0.00853708,0.21216158,0.12494004,0.26096137,0.20675946,0.14396134
-5.57978989,1.07660286,0.00858017,0.20197451,0.11958824,0.24849332,0.19864986,0.13673379
-5.57378689,1.02547810,0.00874901,0.19133563,0.11401014,0.23824539,0.19105193,0.12973155
-5.56778389,0.97764700,0.00906049,0.18038022,0.10825647,0.23044342,0.18418707,0.12303912
-5.56178089,0.93382830,0.00953052,0.16925001,0.10238400,0.22528176,0.17827048,0.11673914
-5.55577789,0.89469800,0.01017368,0.15809023,0.09645433,0.22292046,0.17350700,0.11091104
-5.54977489,0.86087625,0.01100297,0.14704663,0.09053228,0.22348269,0.17008726,0.10562964
-5.54377189,0.83291454,0.01202944,0.13626265,0.08468422,0.22705234,0.16818411,0.10096368
-5.53776888,0.81128339,0.01326193,0.12587671,0.07897631,0.23367194,0.16794943,0.09697443
-5.53176588,0.79636118,0.01470668,0.11601972,0.07347272,0.24334092,0.16951141,0.09371435
-5.52576288,0.78842439,0.01636708,0.10681301,0.06823394,0.25601427,0.17297225,0.09122588
-5.51975988,0.78763981,0.01824332,0.09836647,0.06331534,0.27160177,0.17840636,0.08954045
-5.51375688,0.79405883,0.02033215,0.09077721,0.05876579,0.28996781,0.18585903,0.08867765
-5.50775388,0.80761427,0.02262661,0.08412844,0.05462667,0.31093199,0.19534556,0.08864466
-5.50175088,0.82811978,0.02511595,0.07848875,0.05093108,0.33427051,0.20685089,0.08943597
-5.49574787,0.85527197,0.02778542,0.07391167,0.04770338,0.35971853,0.22032956,0.09103330
-5.48974487,0.88865513,0.03061633,0.07043549,0.04495892,0.38697339,0.23570621,0.09340585
-5.48374187,0.92774853,0.03358610,0.06808327,0.04270412,0.41569891,0.25287638,0.09651073
-5.47773887,0.97193612,0.03666841,0.06686305,0.04093667,0.44553043,0.27170770,0.10029370
-5.47173587,1.02051815,0.03983350,0.06676814,0.03964602,0.47608085,0.29204152,0.10469008
-5.46573287,1.07272474,0.04304850,0.06777763,0.03881385,0.50694725,0.31369477,0.10962580
-5.45972986,1.12773071,0.04627792,0.06985690,0.03841486,0.53771819,0.33646240,0.11501869
