energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,5.32706830,0.19619168,0.08296099,0.94113944,0.70540690,1.29298521,1.22823302,0.10011764,2.33556994
-5.99399700,5.21883088,0.19154037,0.08084446,0.92267241,0.68764997,1.26137044,1.21455484,0.09663499,2.29117049
-5.98799400,5.09494383,0.18631563,0.07848851,0.90160085,0.66769615,1.22569387,1.19646905,0.09304199,2.24004561
-5.98199100,4.95720809,0.18057645,0.07591945,0.87810226,0.64583113,1.18630499,1.17436009,0.08944197,2.18292001
-5.97598799,4.80768418,0.17438362,0.07316553,0.85237922,0.62237011,1.14360953,1.14869521,0.08594518,2.12064370
-5.96998499,4.64865833,0.16779894,0.07025657,0.82465815,0.59765073,1.09805976,1.12001922,0.08266665,2.05417861
-5.96398199,4.48260677,0.16088475,0.06722356,0.79518845,0.57202603,1.05014460,1.08894794,0.07972395,1.98458382
-5.95797899,4.31215825,0.15370355,0.06409830,0.76424145,0.54585761,1.00037984,1.05616054,0.07723501,1.91299961
-5.95197599,4.14005444,0.14631784,0.06091301,0.73210916,0.51950906,0.94929849,1.02239047,0.07531587,1.84062994
-5.94597299,3.96910783,0.13879002,0.05769991,0.69910252,0.49333954,0.89744131,0.98841492,0.07407854,1.76872337
-5.93996998,3.80215687,0.13118226,0.05449087,0.66554885,0.46769770,0.84534767,0.95504284,0.07362874,1.69855219
-5.93396698,3.64201813,0.12355642,0.05131690,0.63178856,0.44291584,0.79354668,0.92310143,0.07406372,1.63138983
-5.92796398,3.49143550,0.11597378,0.04820778,0.59817084,0.41930422,0.74254867,0.89342113,0.07547002,1.56848653
-5.92196098,3.35302679,0.10849480,0.04519155,0.56504844,0.39714577,0.69283710,0.86681931,0.07792124,1.51104346
-5.91595798,3.22922840,0.10117859,0.04229406,0.53277156,0.37669104,0.64486091,0.84408285,0.08147574,1.46018577
-5.90995498,3.12223911,0.09408234,0.03953855,0.50168107,0.35815348,0.59902749,0.82594980,0.08617445,1.41693508
-5.90395198,3.03396426,0.08726062,0.03694516,0.47210122,0.34170523,0.55569633,0.81309078,0.09203873,1.38218201
-5.89794897,2.96596220,0.08076454,0.03453061,0.44433211,0.32747351,0.51517348,0.80609032,0.09906836,1.35665974
-5.89194597,2.91939469,0.07464087,0.03230786,0.41864233,0.31553760,0.47770697,0.80542889,0.10723977,1.34091945
-5.88594297,2.89498348,0.06893119,0.03028583,0.39526190,0.30592686,0.44348344,0.81146606,0.11650465,1.33530865
-5.87993997,2.89297505,0.06367097,0.02846929,0.37437607,0.29861955,0.41262586,0.82442560,0.12678892,1.33995341
-5.87393697,2.91311553,0.05888881,0.02685879,0.35612003,0.29354295,0.38519267,0.84438295,0.13799233,1.35474551
