energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.30360628,0.00843336,0.07182121,0.31597635,0.21596546,0.00264279,0.71812022,0.36895876,0.10728649
-5.99399700,1.24538603,0.00764086,0.06959710,0.30368534,0.20223362,0.00262371,0.68664818,0.34863188,0.10489456
-5.98799400,1.18918636,0.00691282,0.06733040,0.29222855,0.18907978,0.00261414,0.65639807,0.32878353,0.10253667
-5.98199100,1.13563231,0.00624582,0.06504368,0.28176910,0.17663218,0.00261473,0.62773605,0.30964699,0.10024180
-5.97598799,1.08537771,0.00563674,0.06276364,0.27248175,0.16501412,0.00262663,0.60104434,0.29144930,0.09804802
-5.96998499,1.03909554,0.00508276,0.06052054,0.26454991,0.15434234,0.00265139,0.57671597,0.27440801,0.09600186
-5.96398199,0.99746738,0.00458130,0.05834746,0.25816224,0.14472573,0.00269095,0.55514893,0.25872836,0.09415730
-5.95797899,0.96117203,0.00413007,0.05627950,0.25350870,0.13626425,0.00274757,0.53673978,0.24460090,0.09257440
-5.95197599,0.93087310,0.00372696,0.05435279,0.25077616,0.12904809,0.00282371,0.52187667,0.23219941,0.09131759
-5.94597299,0.90720575,0.00337010,0.05260352,0.25014355,0.12315708,0.00292198,0.51093181,0.22167914,0.09045368
-5.93996998,0.89076263,0.00305778,0.05106676,0.25177665,0.11866013,0.00304495,0.50425340,0.21317520,0.09004953
-5.93396698,0.88207922,0.00278843,0.04977533,0.25582265,0.11561484,0.00319510,0.50215716,0.20680115,0.09016970
-5.92796398,0.88161903,0.00256063,0.04875867,0.26240465,0.11406706,0.00337465,0.50491767,0.20264770,0.09087385
-5.92196098,0.88975893,0.00237305,0.04804170,0.27161621,0.11405060,0.00358545,0.51275986,0.20078156,0.09221424
-5.91595798,0.90677533,0.00222443,0.04764376,0.28351633,0.11558685,0.00382887,0.52585081,0.20124433,0.09423338
-5.90995498,0.93283166,0.00211358,0.04757776,0.29812502,0.11868443,0.00410567,0.54429234,0.20405163,0.09696176
