energy_ev,total_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.44937259,1.67839545,0.81390964,1.28171635,0.49183779,0.01242925,1.00932699,0.13911951,2.42971147
-5.99399700,5.19931967,1.54877148,0.75659866,1.24499395,0.46927269,0.01188119,0.93215728,0.13546603,2.35037113
-5.98799400,4.95743358,1.43259867,0.70512808,1.20775653,0.44680190,0.01130966,0.86373300,0.13146905,2.26774336
-5.98199100,4.72486737,1.32999362,0.65937507,1.17037656,0.42452756,0.01072011,0.80396356,0.12719507,2.18265835
-5.97598799,4.50297009,1.24104978,0.61921957,1.13330608,0.40256923,0.01011808,0.75275016,0.12271929,2.09607858
-5.96998499,4.29329383,1.16586671,0.58455908,1.09706457,0.38106470,0.00950912,0.71000744,0.11812430,2.00908143
-5.96398199,4.09758417,1.10457242,0.55531925,1.06222263,0.36016968,0.00889878,0.67568012,0.11349853,1.92283631
-5.95797899,3.91775497,1.05733802,0.53146018,1.02938259,0.34005639,0.00829249,0.64975412,0.10893448,1.83857728
-5.95197599,3.75584964,1.02438459,0.51297855,0.99915714,0.32091110,0.00769551,0.63226215,0.10452677,1.75757253
-5.94597299,3.61399104,1.00598254,0.49990577,0.97214709,0.30293077,0.00711288,0.62328394,0.10037017,1.68109212
-5.93996998,3.49432264,1.00244376,0.49230255,0.94891937,0.28631903,0.00654931,0.62294125,0.09655756,1.61037518
-5.93396698,3.39894386,1.01410725,0.49025044,0.92998640,0.27128151,0.00600920,0.63138845,0.09317792,1.54659806
-5.92796398,3.32984214,1.04131906,0.49384085,0.91578757,0.25802086,0.00549650,0.64879898,0.09031445,1.49084440
-5.92196098,3.28882440,1.08440741,0.50316229,0.90667372,0.24673157,0.00501471,0.67534866,0.08804272,1.44407798
-5.91595798,3.27745026,1.14365411,0.51828648,0.90289500,0.23759472,0.00456681,0.71119646,0.08642914,1.40711936
-5.90995498,3.29696889,1.21926331,0.53925391,0.90459242,0.23077293,0.00415527,0.75646364,0.08552941,1.38062634
-5.90395198,3.34826142,1.31132880,0.56605964,0.91179316,0.22640565,0.00378199,0.81121211,0.08538732,1.36507893
-5.89794897,3.43179034,1.41980102,0.59863990,0.92440967,0.22460482,0.00344831,0.87542282,0.08603370,1.36076852
-5.89194597,3.54755705,1.54445519,0.63686008,0.94224199,0.22545117,0.00315499,0.94897513,0.08748549,1.36779149
-5.88594297,3.69506874,1.68486169,0.68050458,0.96498324,0.22899129,0.00290224,1.03162794,0.08974518,1.38604686
-5.87993997,3.87331556,1.84036021,0.72926921,0.99222763,0.23523541,0.00268975,1.12300349,0.09280033,1.41523788
-5.87393697,4.08075891,2.01003897,0.78275621,1.02348055,0.24415629,0.00251666,1.22257459,0.09662338,1.45487730
