energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,4.88204764,0.00319781,0.20443223,1.24488355,3.58990356,0.77323787,0.85210866,0.41677851,0.00000000
-5.99399700,5.01827744,0.00324107,0.20564937,1.29332558,3.69828555,0.78694307,0.87437012,0.41760890,0.00000000
-5.98799400,5.15967482,0.00328591,0.20691408,1.34611939,3.81042635,0.80186529,0.89724350,0.41855831,0.00000000
-5.98199100,5.30522349,0.00333112,0.20824962,1.40315140,3.92552086,0.81800342,0.92046450,0.41963054,0.00000000
-5.97598799,5.45385584,0.00337539,0.20967493,1.46422123,4.04273772,0.83532155,0.94376925,0.42083803,0.00000000
-5.96998499,5.60446295,0.00341728,0.21120428,1.52903578,4.16122598,0.85374841,0.96690154,0.42219914,0.00000000
-5.96398199,5.75590398,0.00345536,0.21284724,1.59720547,4.28012014,0.87317817,0.98962002,0.42373490,0.00000000
-5.95797899,5.90701534,0.00348818,0.21460900,1.66824309,4.39854381,0.89347264,1.01170512,0.42546536,0.00000000
-5.95197599,6.05662014,0.00351442,0.21649092,1.74156574,4.51561301,0.91446475,1.03296526,0.42740581,0.00000000
-5.94597299,6.20353832,0.00353286,0.21849139,1.81650014,4.63043957,0.93596315,1.05324211,0.42956319,0.00000000
-5.93996998,6.34659795,0.00354247,0.22060684,1.89229161,4.74213551,0.95775769,1.07241459,0.43193278,0.00000000
-5.93396698,6.48464791,0.00354246,0.22283281,1.96811667,4.84981899,0.97962569,1.09040132,0.43449564,0.00000000
-5.92796398,6.61657228,0.00353227,0.22516517,2.04309918,4.95262220,1.00133865,1.10716149,0.43721660,0.00000000
-5.92196098,6.74130614,0.00351161,0.22760114,2.11632972,5.04970151,1.02266910,1.12269401,0.44004340,0.00000000
-5.91595798,6.85785284,0.00348048,0.23014036,2.18688760,5.14024976,1.04339751,1.13703493,0.44290663,0.00000000
-5.90995498,6.96530199,0.00343910,0.23278561,2.25386489,5.22351054,1.06331878,1.15025339,0.44572081,0.00000000
-5.90395198,7.06284783,0.00338799,0.23554345,2.31639147,5.29879390,1.08224829,1.16244612,0.44838632,0.00000000
-5.89794897,7.14980688,0.00332784,0.23842441,2.37366020,5.36549272,1.10002709,1.17373096,0.45079237,0.00000000
-5.89194597,7.22563423,0.00325955,0.24144296,2.42495113,5.42309891,1.11652620,1.18423947,0.45282059,0.00000000
-5.88594297,7.28993728,0.00318413,0.24461713,2.46965351,5.47121848,1.13164976,1.19410929,0.45434920,0.00000000
