energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.56417678,0.00416520,0.17966874,0.99850565,0.49832902,0.00331805,0.70755817,0.31326590,0.12776456
-5.99399700,1.62937166,0.00426005,0.18528681,1.03335628,0.51881264,0.00345775,0.73894924,0.32904170,0.13359319
-5.98799400,1.69401366,0.00436711,0.19063788,1.06691432,0.53887964,0.00363372,0.77034431,0.34459823,0.13956447
-5.98199100,1.75657627,0.00448397,0.19554998,1.09819894,0.55802365,0.00384767,0.80106048,0.35962311,0.14556534
-5.97598799,1.81563096,0.00460885,0.19987021,1.12631457,0.57577351,0.00410195,0.83044965,0.37381977,0.15148901
-5.96998499,1.86990194,0.00474073,0.20347048,1.15048527,0.59171031,0.00439954,0.85792389,0.38691900,0.15723967
-5.96398199,1.91831607,0.00487957,0.20625246,1.17008547,0.60548288,0.00474402,0.88297880,0.39868974,0.16273687
-5.95797899,1.96004597,0.00502640,0.20815159,1.18466587,0.61682109,0.00513954,0.90521397,0.40894880,0.16791927
-5.95197599,1.99454411,0.00518348,0.20913983,1.19397341,0.62554635,0.00559066,0.92434945,0.41756888,0.17274780
-5.94597299,2.02156652,0.00535437,0.20922728,1.19796447,0.63157882,0.00610221,0.94023753,0.42448461,0.17720778
-5.93996998,2.04118468,0.00554391,0.20846232,1.19681064,0.63494104,0.00667908,0.95286911,0.42969623,0.18131006
-5.93396698,2.05378497,0.00575825,0.20693055,1.19089689,0.63575768,0.00732593,0.96237424,0.43327060,0.18509106
-5.92796398,2.06005529,0.00600476,0.20475229,1.18081199,0.63425153,0.00804688,0.96901670,0.43533957,0.18861158
-5.92196098,2.06095943,0.00629186,0.20207893,1.16733143,0.63073559,0.00884523,0.97318275,0.43609550,0.19195447
-5.91595798,2.05769976,0.00662890,0.19908819,1.15139367,0.62560183,0.00972309,0.97536431,0.43578423,0.19522115
-5.90995498,2.05166994,0.00702587,0.19597849,1.13407013,0.61930680,0.01068107,0.97613739,0.43469567,0.19852726
-5.90395198,2.04439937,0.00749310,0.19296254,1.11653040,0.61235485,0.01171793,0.97613654,0.43315229,0.20199734
-5.89794897,2.03749166,0.00804098,0.19026055,1.10000359,0.60527944,0.01283038,0.97602652,0.43149612,0.20575897
-5.89194597,2.03255979,0.00867954,0.18809313,1.08573736,0.59862353,0.01401280,0.97647232,0.43007477,0.20993661
-5.88594297,2.03116057,0.00941808,0.18667424,1.07495594,0.59291957,0.01525716,0.97810905,0.42922700,0.21464523
-5.87993997,2.03473122,0.01026478,0.18620434,1.06881871,0.58867004,0.01655296,0.98151295,0.42926861,0.21998425
-5.87393697,2.04453077,0.01122627,0.18686397,1.06838066,0.58632936,0.01788727,0.98717493,0.43047913,0.22603189
-5.86793397,2.06158875,0.01230730,0.18880805,1.07455614,0.58628765,0.01924491,0.99547780,0.43309011,0.23284034
-5.86193097,2.08666326,0.01351034,0.19216086,1.08808704,0.58885717,0.02060876,1.00667843,0.43727539,0.24043186
-5.85592796,2.12021018,0.01483535,0.19701210,1.10951657,0.59426185,0.02196008,1.02089541,0.44314382,0.24879612
-5.84992496,2.16236480,0.01627951,0.20341396,1.13916945,0.60263024,0.02327901,1.03810304,0.45073491,0.25788888
-5.84392196,2.21293645,0.01783712,0.21137926,1.17713910,0.61399209,0.02454513,1.05813171,0.46001737,0.26763204
-5.83791896,2.27141623,0.01949953,0.22088087,1.22328241,0.62827877,0.02573808,1.08067479,0.47089080,0.27791527
-5.83191596,2.33699745,0.02125518,0.23185224,1.27722212,0.64532717,0.02683817,1.10530153,0.48319033,0.28859893
-5.82591296,2.40860765,0.02308977,0.24418909,1.33835682,0.66488714,0.02782707,1.13147540,0.49669396,0.29951833
-5.81990995,2.48495065,0.02498652,0.25775222,1.40587816,0.68663184,0.02868839,1.15857700,0.51113230,0.31048918
-5.81390695,2.56455674,0.02692649,0.27237128,1.47879475,0.71017071,0.02940832,1.18593022,0.52620012,0.32131389
-5.80790395,2.64583862,0.02888903,0.28784946,1.55596179,0.73506437,0.02997605,1.21283062,0.54156916,0.33178848
-5.80190095,2.72715063,0.03085223,0.30396886,1.63611551,0.76084078,0.03038419,1.23857449,0.55690164,0.34170992
-5.79589795,2.80684851,0.03279354,0.32049639,1.71791108,0.78701214,0.03062904,1.26248718,0.57186364,0.35088343
-5.78989495,2.88334727,0.03469022,0.33719006,1.79996260,0.81309148,0.03071073,1.28394955,0.58613786,0.35912944
-5.78389195,2.95517444,0.03652000,0.35380534,1.88088377,0.83860869,0.03063317,1.30242111,0.59943499,0.36628998
-5.77788894,3.02101671,0.03826155,0.37010146,1.95932758,0.86312494,0.03040391,1.31745893,0.61150338,0.37223420
-5.77188594,3.07975792,0.03989499,0.38584737,2.03402376,0.88624517,0.03003385,1.32873158,0.62213632,0.37686266
-5.76588294,3.13050720,0.04140229,0.40082723,2.10381237,0.90762814,0.02953683,1.33602748,0.63117690,0.38011037
-5.75987994,3.17261620,0.04276760,0.41484512,2.16767263,0.92699365,0.02892912,1.33925747,0.63852021,0.38194834
-5.75387694,3.20568523,0.04397749,0.42772904,2.22474581,0.94412678,0.02822882,1.33845183,0.64411285,0.38238369
-5.74787394,3.22955857,0.04502108,0.43933384,2.27435165,0.95887913,0.02745521,1.33375191,0.64795006,0.38145817
-5.74187094,3.24430968,0.04589007,0.44954322,2.31599794,0.97116716,0.02662812,1.32539722,0.65007064,0.37924544
-5.73586793,3.25021768,0.04657870,0.45827075,2.34938325,0.98096780,0.02576728,1.31370873,0.65055018,0.37584695
-5.72986493,3.24773673,0.04708358,0.46545987,2.37439320,0.98831191,0.02489166,1.29906953,0.64949308,0.37138696
-5.72386193,3.23746041,0.04740351,0.47108303,2.39109078,0.99327584,0.02401897,1.28190380,0.64702389,0.36600670
-5.71785893,3.22008312,0.04753929,0.47514011,2.39970166,0.99597191,0.02316513,1.26265551,0.64327854,0.35985811
-5.71185593,3.19636090,0.04749337,0.47765627,2.40059557,0.99653816,0.02234393,1.24176779,0.63839606,0.35309740
-5.70585293,3.16707356,0.04726968,0.47867925,2.39426481,0.99512821,0.02156672,1.21966400,0.63251120,0.34587878
-5.69984992,3.13299024,0.04687334,0.47827660,2.38130114,0.99190161,0.02084224,1.19673161,0.62574834,0.33834864
-5.69384692,3.09483982,0.04631049,0.47653259,2.36237213,0.98701535,0.02017657,1.17330917,0.61821704,0.33064037
-5.68784392,3.05328742,0.04558809,0.47354536,2.33819802,0.98061675,0.01957316,1.14967718,0.61000932,0.32287018
-5.68184092,3.00891763,0.04471386,0.46942404,2.30952980,0.97283821,0.01903293,1.12605284,0.60119868,0.31513393
-5.67583792,2.96222489,0.04369616,0.46428615,2.27712925,0.96379383,0.01855453,1.10258873,0.59184080,0.30750515
-5.66983492,2.91361054,0.04254399,0.45825518,2.24175118,0.95357794,0.01813456,1.07937505,0.58197568,0.30003428
-5.66383192,2.86338614,0.04126702,0.45145845,2.20412811,0.94226543,0.01776790,1.05644512,0.57163096,0.29274905
-5.65782891,2.81178194,0.03987557,0.44402505,2.16495731,0.92991375,0.01744806,1.03378345,0.56082594,0.28565603
-5.65182591,2.75895944,0.03838069,0.43608405,2.12489007,0.91656607,0.01716757,1.01133561,0.54957610,0.27874307
-5.64582291,2.70502652,0.03679418,0.42776266,2.08452288,0.90225538,0.01691828,0.98901938,0.53789759,0.27198256
-5.63981991,2.65005401,0.03512854,0.41918447,2.04439026,0.88700912,0.01669176,0.96673615,0.52581136,0.26533528
-5.63381691,2.59409217,0.03339702,0.41046771,2.00495895,0.87085388,0.01647959,0.94438215,0.51334665,0.25875457
-5.62781391,2.53718619,0.03161349,0.40172343,1.96662336,0.85381981,0.01627363,0.92185877,0.50054366,0.25219068
-5.62181091,2.47938959,0.02979236,0.39305372,1.92970205,0.83594459,0.01606632,0.89908157,0.48745516,0.24559502
-5.61580790,2.42077524,0.02794839,0.38454996,1.89443542,0.81727649,0.01585080,0.87598761,0.47414709,0.23892417
