energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-3.62881441,1.67565705,0.00704933,0.07712937,0.17148361,1.48288548,0.16101283,0.00000000
-3.62281141,1.68538314,0.00691754,0.07582270,0.16667608,1.50058781,0.15497194,0.00000000
-3.61680840,1.70213760,0.00676134,0.07505603,0.16336067,1.52420012,0.14946371,0.00000000
-3.61080540,1.72537131,0.00658267,0.07475469,0.16143485,1.55332980,0.14439557,0.00000000
-3.60480240,1.75447240,0.00638399,0.07484207,0.16078872,1.58752054,0.13967770,0.00000000
-3.59879940,1.78877928,0.00616811,0.07524194,0.16130791,1.62626009,0.13522624,0.00000000
-3.59279640,1.82759031,0.00593813,0.07588052,0.16287572,1.66898568,0.13096575,0.00000000
-3.58679340,1.87017016,0.00569730,0.07668801,0.16537441,1.71508736,0.12683094,0.00000000
-3.58079040,1.91575365,0.00544889,0.07759982,0.16868590,1.76390980,0.12276778,0.00000000
-3.57478739,1.96354749,0.00519610,0.07855735,0.17269194,1.81475306,0.11873386,0.00000000
-3.56878439,2.01273115,0.00494194,0.07950841,0.17727381,1.86687335,0.11469828,0.00000000
-3.56278139,2.06245761,0.00468917,0.08040736,0.18231195,1.91948438,0.11064108,0.00000000
-3.55677839,2.11185500,0.00444021,0.08121498,0.18768556,1.97176024,0.10655227,0.00000000
-3.55077539,2.16003022,0.00419713,0.08189821,0.19327238,2.02284043,0.10243071,0.00000000
-3.54477239,2.20607496,0.00396162,0.08242977,0.19894881,2.07183779,0.09828281,0.00000000
-3.53876938,2.24907503,0.00373497,0.08278772,0.20459050,2.11784947,0.09412119,0.00000000
-3.53276638,2.28812306,0.00351814,0.08295513,0.21007351,2.15997135,0.08996347,0.00000000
-3.52676338,2.32233470,0.00331178,0.08291979,0.21527598,2.19731560,0.08583114,0.00000000
-3.52076038,2.35086802,0.00311627,0.08267399,0.22008047,2.22903122,0.08174855,0.00000000
-3.51475738,2.37294564,0.00293181,0.08221451,0.22437666,2.25432686,0.07774221,0.00000000
-3.50875438,2.38787863,0.00275847,0.08154270,0.22806457,2.27249511,0.07384022,0.00000000
-3.50275138,2.39509136,0.00259624,0.08066472,0.23105791,2.28293738,0.07007193,0.00000000
-3.49674837,2.39414599,0.00244513,0.07959178,0.23328755,2.28518805,0.06646778,0.00000000
-3.49074537,2.38476534,0.00230518,0.07834053,0.23470478,2.27893691,0.06305928,0.00000000
-3.48474237,2.36685293,0.00217654,0.07693341,0.23528425,2.26404859,0.05987909,0.00000000
-3.47873937,2.34050884,0.00205947,0.07539886,0.23502634,2.24057778,0.05696108,0.00000000
-3.47273637,2.30604028,0.00195438,0.07377157,0.23395878,2.20877944,0.05434050,0.00000000
-3.46673337,2.26396605,0.00186181,0.07209240,0.23213732,2.16911291,0.05205396,0.00000000
-3.46073037,2.21501404,0.00178247,0.07040815,0.22964545,2.12223957,0.05013929,0.00000000
-3.45472736,2.16011151,0.00171716,0.06877110,0.22659296,2.06901361,0.04863534,0.00000000
-3.44872436,2.10036785,0.00166678,0.06723824,0.22311336,2.01046581,0.04758142,0.00000000
-3.44272136,2.03705042,0.00163231,0.06587016,0.21936030,1.94778080,0.04701663,0.00000000
-3.43671836,1.97155355,0.00161471,0.06472977,0.21550293,1.88226816,0.04697887,0.00000000
-3.43071536,1.90536198,0.00161493,0.06388064,0.21172037,1.81532830,0.04750367,0.00000000
-3.42471236,1.84000965,0.00163386,0.06338523,0.20819562,1.74841412,0.04862280,0.00000000
-3.41870935,1.77703515,0.00167225,0.06330285,0.20510887,1.68298979,0.05036269,0.00000000
-3.41270635,1.71793557,0.00173069,0.06368758,0.20263077,1.62048795,0.05274276,0.00000000
-3.40670335,1.66412013,0.00180960,0.06458617,0.20091564,1.56226696,0.05577372,0.00000000
-3.40070035,1.61686544,0.00190913,0.06603598,0.20009515,1.50956952,0.05945590,0.00000000
-3.39469735,1.57727407,0.00202922,0.06806305,0.20027256,1.46348447,0.06377768,0.00000000
-3.38869435,1.54623790,0.00216954,0.07068046,0.20151789,1.42491288,0.06871425,0.00000000
-3.38269135,1.52440789,0.00232951,0.07388701,0.20386422,1.39453997,0.07422660,0.00000000
-3.37668834,1.51217149,0.00250831,0.07766630,0.20730528,1.37281386,0.08026099,0.00000000
-3.37068534,1.50963868,0.00270491,0.08198632,0.21179460,1.35993217,0.08674891,0.00000000
-3.36468234,1.51663753,0.00291811,0.08679957,0.21724609,1.35583696,0.09360761,0.00000000
-3.35867934,1.53271972,0.00314662,0.09204378,0.22353635,1.36021864,0.10074122,0.00000000
-3.35267634,1.55717600,0.00338911,0.09764326,0.23050846,1.37252872,0.10804255,0.00000000
-3.34667334,1.58906151,0.00364427,0.10351083,0.23797724,1.39200119,0.11539541,0.00000000
-3.34067034,1.62723025,0.00391096,0.10955031,0.24573583,1.41768215,0.12267763,0.00000000
-3.33466733,1.67037753,0.00418824,0.11565958,0.25356329,1.44846653,0.12976441,0.00000000
-3.32866433,1.71708938,0.00447550,0.12173395,0.26123296,1.48314089,0.13653215,0.00000000
-3.32266133,1.76589683,0.00477254,0.12767001,0.26852138,1.52043086,0.14286245,0.00000000
-3.31665833,1.81533332,0.00507964,0.13336947,0.27521710,1.55905131,0.14864624,0.00000000
-3.31065533,1.86399305,0.00539762,0.13874314,0.28112941,1.59775764,0.15378773,0.00000000
-3.30465233,1.91058781,0.00572788,0.14371467,0.28609626,1.63539598,0.15820813,0.00000000
-3.29864932,1.95400012,0.00607239,0.14822404,0.28999128,1.67095040,0.16184885,0.00000000
-3.29264632,1.99333022,0.00643368,0.15223051,0.29272940,1.70358508,0.16467409,0.00000000
-3.28664332,2.02793503,0.00681478,0.15571483,0.29427091,1.73267969,0.16667267,0.00000000
-3.28064032,2.05745703,0.00721911,0.15868084,0.29462381,1.75785634,0.16785893,0.00000000
-3.27463732,2.08184186,0.00765032,0.16115593,0.29384413,1.77899684,0.16827274,0.00000000
-3.26863432,2.10134345,0.00811218,0.16319070,0.29203445,1.79624937,0.16797843,0.00000000
-3.26263132,2.11651653,0.00860833,0.16485745,0.28934043,1.81002425,0.16706289,0.00000000
-3.25662831,2.12819633,0.00914212,0.16624781,0.28594566,1.82097874,0.16563267,0.00000000
-3.25062531,2.13746661,0.00971633,0.16746928,0.28206501,1.82999152,0.16381040,0.00000000
-3.24462231,2.14561693,0.01033304,0.16864104,0.27793662,1.83812788,0.16173051,0.00000000
-3.23861931,2.15409128,0.01099337,0.16988900,0.27381307,1.84659716,0.15953459,0.00000000
-3.23261631,2.16443011,0.01169739,0.17134041,0.26995204,1.85670420,0.15736645,0.00000000
-3.22661331,2.17820849,0.01244394,0.17311818,0.26660673,1.86979713,0.15536726,0.00000000
-3.22061031,2.19697305,0.01323067,0.17533521,0.26401664,1.88721368,0.15367073,0.00000000
-3.21460730,2.22218058,0.01405399,0.17808888,0.26239896,1.91022851,0.15239889,0.00000000
-3.20860430,2.25514096,0.01490919,0.18145613,0.26194092,1.94000382,0.15165829,0.00000000
-3.20260130,2.29696704,0.01579062,0.18548922,0.26279345,1.97754543,0.15153697,0.00000000
-3.19659830,2.34853346,0.01669191,0.19021244,0.26506636,2.02366614,0.15210232,0.00000000
-3.19059530,2.41044610,0.01760626,0.19561996,0.26882522,2.07895781,0.15339979,0.00000000
-3.18459230,2.48302326,0.01852682,0.20167491,0.27408989,2.14377311,0.15545247,0.00000000
-3.17858929,2.56628904,0.01944699,0.20830980,0.28083495,2.21821744,0.15826163,0.00000000
-3.17258629,2.65997873,0.02036087,0.21542825,0.28899168,2.30215082,0.16180807,0.00000000
-3.16658329,2.76355530,0.02126355,0.22290796,0.29845167,2.39519930,0.16605408,0.00000000
