energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.67542846,0.00352639,0.02849547,0.22700689,0.38957100,0.15072036,0.07112724,0.27865447,0.00000000
-5.99399700,0.68194628,0.00352970,0.03188742,0.24260363,0.37741404,0.16721810,0.07615214,0.28725855,0.00000000
-5.98799400,0.69813834,0.00362793,0.03579470,0.26172490,0.36977786,0.18656167,0.08257521,0.30013368,0.00000000
-5.98199100,0.72383185,0.00381196,0.04019469,0.28426237,0.36671368,0.20866819,0.09032083,0.31714802,0.00000000
-5.97598799,0.75875884,0.00407342,0.04505749,0.31005937,0.36822013,0.23342442,0.09930461,0.33812601,0.00000000
-5.96998499,0.80254700,0.00440462,0.05034502,0.33890553,0.37424056,0.26068232,0.10943215,0.36284357,0.00000000
-5.96398199,0.85471332,0.00479845,0.05601025,0.37053311,0.38466165,0.29025544,0.12059803,0.39102456,0.00000000
-5.95797899,0.91466129,0.00524829,0.06199690,0.40461531,0.39931351,0.32191663,0.13268529,0.42233920,0.00000000
-5.95197599,0.98168194,0.00574795,0.06823939,0.44076691,0.41797112,0.35539735,0.14556545,0.45640437,0.00000000
-5.94597299,1.05495932,0.00629160,0.07466332,0.47854737,0.44035739,0.39038871,0.15909920,0.49278641,0.00000000
-5.93996998,1.13358025,0.00687377,0.08118637,0.51746660,0.46614761,0.42654430,0.17313769,0.53100615,0.00000000
-5.93396698,1.21654841,0.00748929,0.08771964,0.55699323,0.49497522,0.46348498,0.18752455,0.57054634,0.00000000
-5.92796398,1.30280228,0.00813338,0.09416945,0.59656528,0.52643874,0.50080538,0.20209842,0.61086120,0.00000000
-5.92196098,1.39123636,0.00880163,0.10043950,0.63560283,0.56010969,0.53808201,0.21669604,0.65138793,0.00000000
-5.91595798,1.48072501,0.00949014,0.10643336,0.67352233,0.59554111,0.57488262,0.23115573,0.69155960,0.00000000
-5.90995498,1.57014783,0.01019553,0.11205714,0.70975190,0.63227654,0.61077653,0.24532095,0.73081903,0.00000000
-5.90395198,1.65841565,0.01091505,0.11722228,0.74374714,0.66985910,0.64534539,0.25904400,0.76863309,0.00000000
-5.89794897,1.74449606,0.01164669,0.12184833,0.77500651,0.70784038,0.67819400,0.27218948,0.80450676,0.00000000
-5.89194597,1.82743733,0.01238921,0.12586561,0.80308593,0.74578882,0.70896065,0.28463738,0.83799637,0.00000000
-5.88594297,1.90638980,0.01314224,0.12921751,0.82761165,0.78329739,0.73732658,0.29628574,0.86872140,0.00000000
-5.87993997,1.98062380,0.01390627,0.13186248,0.84829099,0.81999032,0.76302402,0.30705254,0.89637435,0.00000000
-5.87393697,2.04954344,0.01468267,0.13377555,0.86492031,0.85552871,0.78584264,0.31687693,0.92072824,0.00000000
-5.86793397,2.11269577,0.01547369,0.13494922,0.87739002,0.88961485,0.80563399,0.32571964,0.94164129,0.00000000
-5.86193097,2.16977494,0.01628230,0.13539383,0.88568625,0.92199523,0.82231375,0.33356255,0.95905881,0.00000000
-5.85592796,2.22062145,0.01711213,0.13513717,0.88988921,0.95246223,0.83586196,0.34040761,0.97301201,0.00000000
