energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.71086279,0.70037705,2.38676083,0.51853035,0.44343858,0.00074983,0.30003656,0.00827330,0.50493365
-5.99399700,3.51627572,0.66249732,2.26631349,0.50143845,0.41647879,0.00071699,0.27948283,0.00821951,0.47995085
-5.98799400,3.32158369,0.62534376,2.14468969,0.48388339,0.39013407,0.00068436,0.25937919,0.00812414,0.45514468
-5.98199100,3.12818977,0.58914625,2.02287660,0.46595060,0.36451254,0.00065159,0.23989637,0.00798730,0.43061889
-5.97598799,2.93740333,0.55410316,1.90181183,0.44773403,0.33970988,0.00061847,0.22117987,0.00781003,0.40647153
-5.96998499,2.75042367,0.52037817,1.78237199,0.42933223,0.31580839,0.00058491,0.20334840,0.00759425,0.38279336
-5.96398199,2.56832902,0.48809873,1.66536440,0.41084474,0.29287688,0.00055093,0.18649342,0.00734271,0.35966691
-5.95797899,2.39207055,0.45735582,1.55152166,0.39236893,0.27097096,0.00051663,0.17067943,0.00705888,0.33716598
-5.95197599,2.22247085,0.42820505,1.44149887,0.37399729,0.25013395,0.00048217,0.15594509,0.00674687,0.31535559
-5.94597299,2.06022615,0.40066882,1.33587310,0.35581531,0.23039801,0.00044777,0.14230507,0.00641129,0.29429221
-5.93996998,1.90591169,0.37473946,1.23514480,0.33789984,0.21178553,0.00041367,0.12975235,0.00605714,0.27402423
-5.93396698,1.75998958,0.35038303,1.13974077,0.32031814,0.19431061,0.00038013,0.11826103,0.00568963,0.25459253
-5.92796398,1.62281832,0.32754367,1.05001831,0.30312738,0.17798062,0.00034742,0.10778939,0.00531408,0.23603113
-5.92196098,1.49466344,0.30614827,0.96627020,0.28637473,0.16279755,0.00031579,0.09828304,0.00493576,0.21836780
-5.91595798,1.37570878,0.28611116,0.88873016,0.27009788,0.14875940,0.00028547,0.08967815,0.00455976,0.20162471
-5.90995498,1.26606765,0.26733885,0.81757855,0.25432593,0.13586129,0.00025667,0.08190456,0.00419091,0.18581895
-5.90395198,1.16579368,0.24973442,0.75294797,0.23908065,0.12409645,0.00022958,0.07488867,0.00383365,0.17096302
-5.89794897,1.07489086,0.23320160,0.69492852,0.22437777,0.11345699,0.00020434,0.06855611,0.00349197,0.15706525
-5.89194597,0.99332238,0.21764836,0.64357258,0.21022860,0.10393452,0.00018105,0.06283399,0.00316937,0.14413020
-5.88594297,0.92101822,0.20298982,0.59889886,0.19664139,0.09552055,0.00015981,0.05765288,0.00286879,0.13215896
-5.87993997,0.85788113,0.18915066,0.56089551,0.18362279,0.08820674,0.00014066,0.05294825,0.00259263,0.12114943
-5.87393697,0.80379095,0.17606673,0.52952244,0.17117901,0.08198504,0.00012361,0.04866167,0.00234273,0.11109664
-5.86793397,0.75860730,0.16368603,0.50471255,0.15931678,0.07684762,0.00010865,0.04474148,0.00212042,0.10199294
-5.86193097,0.72217060,0.15196909,0.48637197,0.14804397,0.07278679,0.00009575,0.04114315,0.00192650,0.09382824
-5.85592796,0.69430159,0.14088865,0.47437952,0.13736999,0.06979478,0.00008487,0.03782934,0.00176132,0.08659022
-5.84992496,0.67479955,0.13042887,0.46858528,0.12730577,0.06786342,0.00007595,0.03476962,0.00162480,0.08026453
-5.84392196,0.66343956,0.12058412,0.46880870,0.11786353,0.06698384,0.00006892,0.03193999,0.00151651,0.07483492
-5.83791896,0.65996907,0.11135739,0.47483637,0.10905632,0.06714612,0.00006372,0.02932224,0.00143568,0.07028345
-5.83191596,0.66410419,0.10275847,0.48641976,0.10089727,0.06833893,0.00006026,0.02690314,0.00138127,0.06659057
-5.82591296,0.67552623,0.09480205,0.50327327,0.09339883,0.07054918,0.00005850,0.02467365,0.00135203,0.06373526
-5.81990995,0.69387870,0.08750577,0.52507284,0.08657194,0.07376180,0.00005838,0.02262800,0.00134651,0.06169519
-5.81390695,0.71876533,0.08088834,0.55145546,0.08042515,0.07795943,0.00005985,0.02076289,0.00136314,0.06044674
-5.80790395,0.74974939,0.07496781,0.58201981,0.07496392,0.08312235,0.00006288,0.01907671,0.00140023,0.05996519
-5.80190095,0.78635442,0.06976002,0.61632816,0.07018995,0.08922838,0.00006746,0.01756879,0.00145600,0.06022476
-5.79589795,0.82806672,0.06527740,0.65390973,0.06610082,0.09625287,0.00007358,0.01623889,0.00152867,0.06119877
-5.78989495,0.87433937,0.06152786,0.69426534,0.06268965,0.10416876,0.00008125,0.01508662,0.00161640,0.06285967
-5.78389195,0.92459784,0.05851410,0.73687346,0.05994509,0.11294669,0.00009049,0.01411112,0.00171740,0.06517917
-5.77788894,0.97824683,0.05623311,0.78119727,0.05785147,0.12255505,0.00010133,0.01331076,0.00182986,0.06812828
-5.77188594,1.03467808,0.05467587,0.82669260,0.05638904,0.13296006,0.00011380,0.01268295,0.00195207,0.07167727
-5.76588294,1.09327855,0.05382728,0.87281623,0.05553445,0.14412565,0.00012796,0.01222406,0.00208237,0.07579565
-5.75987994,1.15343877,0.05366623,0.91903435,0.05526122,0.15601333,0.00014382,0.01192937,0.00221916,0.08045201
-5.75387694,1.21456058,0.05416576,0.96483061,0.05554033,0.16858180,0.00016143,0.01179304,0.00236098,0.08561380
-5.74787394,1.27606396,0.05529329,1.00971341,0.05634075,0.18178638,0.00018080,0.01180821,0.00250643,0.09124699
-5.74187094,1.33739260,0.05701096,1.05322210,0.05763000,0.19557830,0.00020192,0.01196701,0.00265425,0.09731568
-5.73586793,1.39801782,0.05927586,1.09493180,0.05937465,0.20990373,0.00022476,0.01226064,0.00280326,0.10378155
-5.72986493,1.45744077,0.06204044,1.13445672,0.06154068,0.22470274,0.00024927,0.01267941,0.00295241,0.11060333
-5.72386193,1.51519305,0.06525282,1.17145178,0.06409385,0.23990815,0.00027533,0.01321283,0.00310073,0.11773620
-5.71785893,1.57083568,0.06885717,1.20561278,0.06700001,0.25544442,0.00030282,0.01384965,0.00324735,0.12513124
-5.71185593,1.62395706,0.07279417,1.23667524,0.07022528,0.27122674,0.00033153,0.01457791,0.00339144,0.13273495
-5.70585293,1.67417020,0.07700156,1.26441211,0.07373635,0.28716032,0.00036122,0.01538506,0.00353228,0.14048887
-5.69984992,1.72110983,0.08141469,1.28863085,0.07750065,0.30314017,0.00039161,0.01625801,0.00366918,0.14832951
-5.69384692,1.76442997,0.08596740,1.30917030,0.08148672,0.31905136,0.00042235,0.01718326,0.00380148,0.15618843
-5.68784392,1.80380266,0.09059285,1.32589759,0.08566456,0.33477003,0.00045307,0.01814708,0.00392860,0.16399270
-5.68184092,1.83891816,0.09522465,1.33870577,0.09000612,0.35016507,0.00048332,0.01913565,0.00404997,0.17166575
-5.67583792,1.86948718,0.09979808,1.34751227,0.09448590,0.36510061,0.00051267,0.02013534,0.00416510,0.17912850
-5.66983492,1.89524531,0.10425146,1.35225851,0.09908164,0.37943930,0.00054063,0.02113295,0.00427357,0.18630099
-5.66383192,1.91595956,0.10852763,1.35291089,0.10377509,0.39304627,0.00056672,0.02211606,0.00437503,0.19310419
-5.65782891,1.93143696,0.11257544,1.34946285,0.10855282,0.40579366,0.00059046,0.02307328,0.00446928,0.19946228
-5.65182591,1.94153466,0.11635122,1.34193824,0.11340696,0.41756557,0.00061140,0.02399465,0.00455625,0.20530496
-5.64582291,1.94617090,0.11982021,1.33039534,0.11833588,0.42826310,0.00062912,0.02487192,0.00463602,0.21056992
-5.63981991,1.94533615,0.12295769,1.31493134,0.12334467,0.43780928,0.00064324,0.02569882,0.00470892,0.21520528
