energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.17902066,0.00812688,0.28697618,0.64792473,0.64246417,2.53596261,1.29503206,0.00773025,0.97380427
-5.99399700,3.29829352,0.00829568,0.29973021,0.66666206,0.66596989,2.58000610,1.36034141,0.00806154,0.99999815
-5.98799400,3.41487318,0.00843429,0.31265292,0.68421666,0.68865000,2.62011805,1.42569654,0.00840021,1.02431725
-5.98199100,3.52725260,0.00853936,0.32563334,0.70039407,0.71015661,2.65581728,1.49028729,0.00874680,1.04639254
-5.97598799,3.63407171,0.00860866,0.33855967,0.71505418,0.73018112,2.68678814,1.55332555,0.00910230,1.06593920
-5.96998499,3.73414402,0.00864114,0.35132050,0.72811397,0.74846200,2.71288665,1.61405970,0.00946807,1.08276346
-5.96398199,3.82647672,0.00863692,0.36380615,0.73954782,0.76479076,2.73413963,1.67178800,0.00984578,1.09676554
-5.95797899,3.91028352,0.00859728,0.37590993,0.74938533,0.77901567,2.75073662,1.72587072,0.01023732,1.10793864
-5.95197599,3.98498988,0.00852455,0.38752950,0.75770664,0.79104331,2.76301479,1.77574045,0.01064468,1.11636397
-5.94597299,4.05023048,0.00842203,0.39856806,0.76463560,0.80083764,2.77143734,1.82091048,0.01106984,1.12220201
-5.93996998,4.10583943,0.00829382,0.40893552,0.77033089,0.80841688,2.77656637,1.86098087,0.01151456,1.12568054
-5.93396698,4.15183357,0.00814466,0.41854951,0.77497581,0.81384828,2.77903112,1.89564201,0.01198033,1.12707997
-5.92796398,4.18839012,0.00797970,0.42733621,0.77876701,0.81724099,2.77949334,1.92467584,0.01246810,1.12671671
-5.92196098,4.21581971,0.00780432,0.43523097,0.78190276,0.81873769,2.77861106,1.94795449,0.01297821,1.12492549
-5.91595798,4.23453651,0.00762390,0.44217879,0.78457154,0.81850507,2.77700260,1.96543681,0.01351022,1.12204155
-5.90995498,4.24502684,0.00744360,0.44813446,0.78694127,0.81672408,2.77521256,1.97716277,0.01406277,1.11838360
-5.90395198,4.24781832,0.00726817,0.45306258,0.78914999,0.81358016,2.77368133,1.98324637,0.01463353,1.11423846
-5.89794897,4.24345091,0.00710179,0.45693736,0.79129834,0.80925415,2.77271975,1.98386734,0.01521912,1.10984822
