energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.36663617,-1.45791738,0.00504244,-0.00139718,0.02113246,-0.08435397,0.81079590,-1.28931521,0.58522733,-0.35756782,0.78536029,-0.90166703,0.00000000,-0.00000000
-5.99399700,1.31771422,-1.45834603,0.00546820,-0.00133471,0.02063863,-0.08524860,0.76690741,-1.29634915,0.56364425,-0.35625394,0.75422863,-0.90092556,0.00000000,-0.00000000
-5.98799400,1.27095835,-1.45173291,0.00591582,-0.00128050,0.02022651,-0.08569831,0.72469126,-1.29662875,0.54343581,-0.35334054,0.72421122,-0.89586074,0.00000000,-0.00000000
-5.98199100,1.22730979,-1.43793877,0.00638286,-0.00123142,0.01992668,-0.08568167,0.68473905,-1.28994741,0.52501529,-0.34881111,0.69584282,-0.88640109,0.00000000,-0.00000000
-5.97598799,1.18760745,-1.41698467,0.00686618,-0.00118500,0.01977176,-0.08518710,0.64756768,-1.27624334,0.50874377,-0.34268660,0.66959564,-0.87257305,0.00000000,-0.00000000
-5.96998499,1.15256877,-1.38905716,0.00736199,-0.00113940,0.01979599,-0.08421344,0.61361127,-1.25560614,0.49492302,-0.33502644,0.64586876,-0.85450384,0.00000000,-0.00000000
-5.96398199,1.12277444,-1.35450867,0.00786584,-0.00109332,0.02003467,-0.08277019,0.58321589,-1.22827872,0.48379005,-0.32592863,0.62497990,-0.83242153,0.00000000,-0.00000000
-5.95797899,1.09865701,-1.31385280,0.00837271,-0.00104593,0.02052347,-0.08087742,0.55663695,-1.19465430,0.47551342,-0.31552864,0.60715966,-0.80665196,0.00000000,-0.00000000
-5.95197599,1.08049390,-1.26775470,0.00887711,-0.00099679,0.02129772,-0.07856537,0.53403926,-1.15526856,0.47019127,-0.30399732,0.59254849,-0.77761272,0.00000000,-0.00000000
-5.94597299,1.06840472,-1.21701678,0.00937321,-0.00094578,0.02239155,-0.07587361,0.51549933,-1.11078731,0.46785111,-0.29153770,0.58119624,-0.74580427,0.00000000,-0.00000000
-5.93996998,1.06235311,-1.16256022,0.00985490,-0.00089303,0.02383698,-0.07285004,0.50100994,-1.06199007,0.46845133,-0.27838092,0.57306445,-0.71179864,0.00000000,-0.00000000
-5.93396698,1.06215273,-1.10540308,0.01031602,-0.00083890,0.02566291,-0.06954949,0.49048650,-1.00975048,0.47188421,-0.26478133,0.56803110,-0.67622611,0.00000000,-0.00000000
-5.92796398,1.06747725,-1.04663587,0.01075045,-0.00078389,0.02789401,-0.06603220,0.48377484,-0.95501416,0.47798049,-0.25101104,0.56589781,-0.63976035,0.00000000,-0.00000000
-5.92196098,1.07787404,-0.98739548,0.01115231,-0.00072857,0.03054962,-0.06236213,0.48066032,-0.89877522,0.48651524,-0.23735404,0.56639905,-0.60310264,0.00000000,-0.00000000
-5.91595798,1.09278081,-0.92883847,0.01151607,-0.00067361,0.03364258,-0.05860520,0.48087759,-0.84205216,0.49721476,-0.22410012,0.56921312,-0.56696584,0.00000000,-0.00000000
-5.90995498,1.11154485,-0.87211462,0.01183674,-0.00061969,0.03717816,-0.05482755,0.48412088,-0.78586428,0.50976449,-0.21153885,0.57397448,-0.53205849,0.00000000,-0.00000000
-5.90395198,1.13344404,-0.81834168,0.01210995,-0.00056746,0.04115299,-0.05109379,0.49005432,-0.73120925,0.52381755,-0.19995369,0.58028702,-0.49906969,0.00000000,-0.00000000
-5.89794897,1.15770904,-0.76858184,0.01233215,-0.00051757,0.04555412,-0.04746549,0.49832203,-0.67904267,0.53900375,-0.18961644,0.58773765,-0.46865503,0.00000000,-0.00000000
-5.89194597,1.18354577,-0.72382072,0.01250064,-0.00047058,0.05035827,-0.04399972,0.50855763,-0.63026008,0.55493878,-0.18078213,0.59590993,-0.44142410,0.00000000,-0.00000000
-5.88594297,1.21015760,-0.68494891,0.01261367,-0.00042701,0.05553135,-0.04074790,0.52039293,-0.58568166,0.57123341,-0.17368442,0.60439716,-0.41792948,0.00000000,-0.00000000
-5.87993997,1.23676651,-0.65274668,0.01267054,-0.00038729,0.06102816,-0.03775483,0.53346556,-0.54603995,0.58750245,-0.16853158,0.61281437,-0.39865756,0.00000000,-0.00000000
-5.87393697,1.26263254,-0.62787144,0.01267161,-0.00035175,0.06679251,-0.03505793,0.54742543,-0.51197038,0.60337328,-0.16550294,0.62080903,-0.38402105,0.00000000,-0.00000000
-5.86793397,1.28707116,-0.61084827,0.01261830,-0.00032066,0.07275772,-0.03268686,0.56193983,-0.48400440,0.61849369,-0.16474597,0.62806998,-0.37435314,0.00000000,-0.00000000
-5.86193097,1.30946792,-0.60206302,0.01251312,-0.00029418,0.07884746,-0.03066319,0.57669726,-0.46256512,0.63253908,-0.16637380,0.63433437,-0.36990316,0.00000000,-0.00000000
-5.85592796,1.32929026,-0.60175790,0.01235960,-0.00027239,0.08497702,-0.02900043,0.59140988,-0.44796477,0.64521864,-0.17046319,0.63939241,-0.37083364,0.00000000,-0.00000000
-5.84992496,1.34609626,-0.61002928,0.01216230,-0.00025530,0.09105506,-0.02770421,0.60581488,-0.44040385,0.65628063,-0.17705297,0.64308998,-0.37721846,0.00000000,-0.00000000
-5.84392196,1.35954013,-0.62682739,0.01192664,-0.00024284,0.09698569,-0.02677257,0.61967468,-0.43997145,0.66551654,-0.18614281,0.64532894,-0.38904212,0.00000000,-0.00000000
-5.83791896,1.36937473,-0.65195780,0.01165887,-0.00023486,0.10267083,-0.02619648,0.63277633,-0.44664635,0.67276418,-0.19769240,0.64606538,-0.40619989,0.00000000,-0.00000000
