energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.72699941,0.00951627,0.33456132,0.75129509,0.86675255,0.97177014,1.41797265,0.00741887,1.36938244
-5.99399700,3.75683532,0.00965434,0.35138650,0.75137916,0.86779767,0.97429776,1.44304448,0.00687012,1.36178131
-5.98799400,3.79259945,0.00977387,0.36995673,0.75165119,0.86877922,0.97972925,1.47176767,0.00634734,1.35430991
-5.98199100,3.83420065,0.00987077,0.39013451,0.75205911,0.86974824,0.98795712,1.50405137,0.00585446,1.34708826
-5.97598799,3.88130688,0.00994100,0.41173270,0.75253043,0.87073669,0.99877576,1.53967489,0.00539433,1.34020249
-5.96998499,3.93335581,0.00998070,0.43451721,0.75297708,0.87175778,1.01188917,1.57829130,0.00496877,1.33370709
-5.96398199,3.98957348,0.00998637,0.45821141,0.75330066,0.87280696,1.02692182,1.61943541,0.00457857,1.32762800
-5.95797899,4.04899948,0.00995505,0.48250196,0.75339780,0.87386324,1.04343192,1.66253591,0.00422369,1.32196607
-5.95197599,4.11051764,0.00988446,0.50704602,0.75316537,0.87489088,1.06092666,1.70693102,0.00390327,1.31670065
-5.94597299,4.17289040,0.00977308,0.53147947,0.75250498,0.87584113,1.07887840,1.75188702,0.00361588,1.31179271
-5.93996998,4.23479571,0.00962024,0.55542594,0.75132686,0.87665400,1.09674148,1.79661898,0.00335955,1.30718763
-5.93396698,4.29486494,0.00942621,0.57850630,0.74955264,0.87726005,1.11396867,1.84031287,0.00313203,1.30281728
-5.92796398,4.35172066,0.00919213,0.60034823,0.74711728,0.87758209,1.13002693,1.88214839,0.00293083,1.29860156
-5.92196098,4.40401317,0.00892004,0.62059561,0.74396988,0.87753688,1.14441173,1.92132173,0.00275343,1.29444933
-5.91595798,4.45045488,0.00861278,0.63891738,0.74007368,0.87703683,1.15665979,1.95706758,0.00259734,1.29025919
-5.90995498,4.48985190,0.00827391,0.65501561,0.73540526,0.87599174,1.16635967,1.98867972,0.00246025,1.28591995
-5.90395198,4.52113212,0.00790759,0.66863250,0.72995322,0.87431064,1.17316028,2.01552979,0.00234007,1.28131140
-5.89794897,4.54336963,0.00751841,0.67955606,0.72371650,0.87190382,1.17677708,2.03708350,0.00223505,1.27630535
-5.89194597,4.55580489,0.00711131,0.68762448,0.71670260,0.86868502,1.17699612,2.05291416,0.00214376,1.27076726
-5.88594297,4.55786075,0.00669137,0.69272891,0.70892590,0.86457371,1.17367592,2.06271310,0.00206522,1.26455857
-5.87993997,4.54915398,0.00626367,0.69481478,0.70040629,0.85949760,1.16674747,2.06629677,0.00199882,1.25753979
-5.87393697,4.52950250,0.00583321,0.69388155,0.69116812,0.85339509,1.15621251,2.06361047,0.00194442,1.24957426
-5.86793397,4.49892792,0.00540471,0.68998110,0.68123964,0.84621774,1.14214036,2.05472869,0.00190226,1.24053254
-5.86193097,4.45765383,0.00498259,0.68321477,0.67065301,0.83793256,1.12466354,2.03985204,0.00187302,1.23029718
-5.85592796,4.40609957,0.00457081,0.67372928,0.65944460,0.82852387,1.10397237,2.01930097,0.00185775,1.21876766
-5.84992496,4.34486961,0.00417287,0.66171170,0.64765575,0.81799485,1.08030886,1.99350655,0.00185784,1.20586505
-5.84392196,4.27473881,0.00379176,0.64738365,0.63533366,0.80636840,1.05396002,1.96299836,0.00187497,1.19153625
-5.83791896,4.19663364,0.00342993,0.63099497,0.62253235,0.79368725,1.02525065,1.92839009,0.00191107,1.17575739
-5.83191596,4.11160960,0.00308929,0.61281712,0.60931346,0.78001340,0.99453601,1.89036304,0.00196822,1.15853608
-5.82591296,4.02082536,0.00277124,0.59313635,0.59574683,0.76542665,0.96219407,1.84964798,0.00204862,1.13991237
-5.81990995,3.92551405,0.00247671,0.57224704,0.58191050,0.75002232,0.92861778,1.80700595,0.00215444,1.11995816
-5.81390695,3.82695229,0.00220616,0.55044519,0.56789027,0.73390826,0.89420724,1.76320827,0.00228778,1.09877522
-5.80790395,3.72642775,0.00195969,0.52802232,0.55377859,0.71720122,0.85936185,1.71901653,0.00245051,1.07649158
-5.80190095,3.62520611,0.00173702,0.50525988,0.53967277,0.70002270,0.82447256,1.67516295,0.00264419,1.05325666
-5.79589795,3.52449835,0.00153760,0.48242416,0.52567264,0.68249463,0.78991434,1.63233158,0.00286997,1.02923530
-5.78989495,3.42542933,0.00136062,0.45976193,0.51187768,0.66473488,0.75603886,1.59114110,0.00312842,1.00460100
-5.78389195,3.32900878,0.00120508,0.43749673,0.49838373,0.64685307,0.72316765,1.55212947,0.00341947,0.97952872
-5.77788894,3.23610568,0.00106983,0.41582593,0.48527952,0.62894672,0.69158585,1.51574104,0.00374229,0.95418771
-5.77188594,3.14742694,0.00095364,0.39491845,0.47264321,0.61109802,0.66153664,1.48231642,0.00409522,0.92873464
-5.76588294,3.06350124,0.00085516,0.37491332,0.46053905,0.59337150,0.63321664,1.45208558,0.00447568,0.90330756
-5.75987994,2.98466873,0.00077303,0.35591888,0.44901450,0.57581254,0.60677243,1.42516420,0.00488019,0.87802094
-5.75387694,2.91107689,0.00070587,0.33801276,0.43809793,0.55844692,0.58229823,1.40155357,0.00530431,0.85296200
-5.74787394,2.84268291,0.00065229,0.32124250,0.42779702,0.54128142,0.55983507,1.38114399,0.00574271,0.82818866
-5.74187094,2.77926251,0.00061095,0.30562681,0.41809806,0.52430541,0.53937130,1.36372145,0.00618924,0.80372904
-5.73586793,2.72042470,0.00058051,0.29115744,0.40896615,0.50749327,0.52084472,1.34897753,0.00663700,0.77958265
-5.72986493,2.66563214,0.00055971,0.27780158,0.40034635,0.49080760,0.50414613,1.33652199,0.00707855,0.75572300
-5.72386193,2.61422606,0.00054731,0.26550472,0.39216568,0.47420297,0.48912429,1.32589768,0.00750603,0.73210160
-5.71785893,2.56545479,0.00054215,0.25419390,0.38433602,0.45762990,0.47559216,1.31659709,0.00791142,0.70865300
-5.71185593,2.51850470,0.00054312,0.24378126,0.37675754,0.44103904,0.46333416,1.30808010,0.00828670,0.68530055
-5.70585293,2.47253229,0.00054917,0.23416776,0.36932277,0.42438512,0.45211424,1.29979205,0.00862417,0.66196258
-5.69984992,2.42669603,0.00055930,0.22524700,0.36192086,0.40763056,0.44168444,1.29118165,0.00891661,0.63855870
-5.69384692,2.38018683,0.00057259,0.21690907,0.35444199,0.39074855,0.43179358,1.28171793,0.00915758,0.61501569
-5.68784392,2.33225587,0.00058816,0.20904412,0.34678162,0.37372543,0.42219587,1.27090581,0.00934159,0.59127288
-5.68184092,2.28223883,0.00060522,0.20154586,0.33884449,0.35656225,0.41265889,1.25829963,0.00946432,0.56728671
-5.67583792,2.22957575,0.00062298,0.19431457,0.33054809,0.33927558,0.40297084,1.24351438,0.00952273,0.54303411
-5.66983492,2.17382595,0.00064078,0.18725975,0.32182548,0.32189741,0.39294672,1.22623436,0.00951519,0.51851486
-5.66383192,2.11467776,0.00065795,0.18030226,0.31262751,0.30447432,0.38243322,1.20621901,0.00944152,0.49375261
-5.65782891,2.05195302,0.00067391,0.17337587,0.30292409,0.28706594,0.37131213,1.18330609,0.00930299,0.46879474
-5.65182591,1.98560656,0.00068814,0.16642832,0.29270480,0.26974289,0.35950233,1.15741219,0.00910230,0.44371112
-5.64582291,1.91572109,0.00070018,0.15942174,0.28197868,0.25258426,0.34696025,1.12853084,0.00884343,0.41859177
