energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,1.92108983,0.16621047,0.12312788,0.01179908,0.20984614,0.37955400,0.41870578,0.05467762,0.67309798
-5.99399700,2.00259663,0.17529228,0.12609703,0.01149809,0.22073820,0.41137415,0.43855579,0.05627215,0.69901153
-5.98799400,2.08580571,0.18528193,0.12900583,0.01113289,0.23171613,0.44571790,0.45874171,0.05775311,0.72601868
-5.98199100,2.17135529,0.19631872,0.13191891,0.01071276,0.24279165,0.48278165,0.47936145,0.05912310,0.75448811
-5.97598799,2.26000137,0.20855213,0.13490824,0.01024821,0.25398949,0.52278165,0.50054134,0.06038720,0.78482839
-5.96998499,2.35260135,0.22213731,0.13805150,0.00975070,0.26534769,0.56595209,0.52243437,0.06155283,0.81747773
-5.96398199,2.45009432,0.23723007,0.14143033,0.00923231,0.27691730,0.61254238,0.54521735,0.06262963,0.85289252
-5.95797899,2.55347795,0.25398132,0.14512863,0.00870550,0.28876166,0.66281377,0.56908711,0.06362930,0.89153517
-5.95197599,2.66378228,0.27253131,0.14923078,0.00818275,0.30095502,0.71703497,0.59425545,0.06456540,0.93386126
-5.94597299,2.78204064,0.29300358,0.15381998,0.00767635,0.31358055,0.77547689,0.62094318,0.06545323,0.98030649
-5.93996998,2.90925799,0.31549890,0.15897661,0.00719808,0.32672773,0.83840627,0.64937291,0.06630955,1.03127338
-5.93396698,3.04637711,0.34008935,0.16477667,0.00675901,0.34048909,0.90607838,0.67976102,0.06715240,1.08711810
-5.92796398,3.19424309,0.36681266,0.17129023,0.00636931,0.35495639,0.97872860,0.71230868,0.06800078,1.14813755
-5.92196098,3.35356691,0.39566706,0.17857997,0.00603804,0.37021630,1.05656315,0.74719242,0.06887435,1.21455689
-5.91595798,3.52488881,0.42660688,0.18669967,0.00577307,0.38634582,1.13974885,0.78455422,0.06979295,1.28651779
-5.90995498,3.70854244,0.45953894,0.19569270,0.00558093,0.40340740,1.22840232,0.82449177,0.07077617,1.36406746
-5.90395198,3.90462093,0.49432007,0.20559051,0.00546675,0.42144418,1.32257871,0.86704896,0.07184276,1.44714891
-5.89794897,4.11294600,0.53075593,0.21641103,0.00543417,0.44047532,1.42226019,0.91220726,0.07300997,1.53559255
-5.89194597,4.33304160,0.56860107,0.22815707,0.00548532,0.46049194,1.52734479,0.95987833,0.07429287,1.62910945
-5.88594297,4.56411308,0.60756064,0.24081475,0.00562083,0.48145353,1.63763568,1.00989815,0.07570358,1.72728670
-5.87993997,4.80503351,0.64729356,0.25435193,0.00583975,0.50328531,1.75283150,1.06202323,0.07725051,1.82958499
-5.87393697,5.05433810,0.68741724,0.26871688,0.00613961,0.52587664,1.87251817,1.11592911,0.07893764,1.93533890
-5.86793397,5.31022782,0.72751384,0.28383712,0.00651647,0.54908052,1.99616252,1.17121138,0.08076379,2.04376014
-5.86193097,5.57058299,0.76713789,0.29961857,0.00696492,0.57271440,2.12310836,1.22738952,0.08272208,2.15394398
-5.85592796,5.83298724,0.80582506,0.31594529,0.00747817,0.59656229,2.25257529,1.28391338,0.08479950,2.26487908
-5.84992496,6.09476210,0.84310200,0.33267965,0.00804820,0.62037816,2.38366061,1.34017249,0.08697669,2.37546079
-5.84392196,6.35301171,0.87849673,0.34966328,0.00866580,0.64389057,2.51534483,1.39550785,0.08922796,2.48450800
-5.83791896,6.60467724,0.91154948,0.36671871,0.00932082,0.66680840,2.64650072,1.44922601,0.09152155,2.59078317
-5.83191596,6.84659971,0.94182348,0.38365190,0.01000235,0.68882755,2.77590628,1.50061506,0.09382025,2.69301560
-5.82591296,7.07558988,0.96891543,0.40025549,0.01069892,0.70963842,2.90226152,1.54896206,0.09608219,2.78992717
-5.81990995,7.28850322,0.99246520,0.41631298,0.01139879,0.72893382,3.02420883,1.59357133,0.09826202,2.88026019
-5.81390695,7.48231808,1.01216459,0.43160352,0.01209025,0.74641728,3.14035687,1.63378319,0.10031231,2.96280657
-5.80790395,7.65421438,1.02776469,0.44590733,0.01276193,0.76181120,3.24930733,1.66899242,0.10218512,3.03643748
-5.80190095,7.80165065,1.03908169,0.45901161,0.01340310,0.77486493,3.34968407,1.69866585,0.10383375,3.10013261
-5.79589795,7.92243655,1.04600094,0.47071662,0.01400402,0.78536218,3.44016389,1.72235866,0.10521461,3.15300805
-5.78989495,8.01479865,1.04847917,0.48084169,0.01455623,0.79312776,3.51950798,1.73972868,0.10628900,3.19434178
-5.78389195,8.07743688,1.04654482,0.48923115,0.01505282,0.79803335,3.58659318,1.75054836,0.10702488,3.22359579
-5.77788894,8.10956963,1.04029645,0.49575949,0.01548869,0.80000210,3.64044189,1.75471395,0.10739845,3.24043402
-5.77188594,8.11096566,1.02989939,0.50033599,0.01586076,0.79901194,3.68024956,1.75225153,0.10739544,3.24473524
-5.76588294,8.08196146,1.01558084,0.50290815,0.01616802,0.79509747,3.70540869,1.74331986,0.10701216,3.23660027
-5.75987994,8.02346309,0.99762345,0.50346408,0.01641166,0.78835035,3.71552834,1.72820970,0.10625609,3.21635315
-5.75387694,7.93693218,0.97635778,0.50203348,0.01659501,0.77891814,3.71044817,1.70733973,0.10514608,3.18453602
-5.74787394,7.82435625,0.95215387,0.49868732,0.01672346,0.76700168,3.69024643,1.68124910,0.10371213,3.14189771
-5.74187094,7.68820407,0.92541220,0.49353598,0.01680424,0.75285095,3.65524127,1.65058693,0.10199468,3.08937644
-5.73586793,7.53136739,0.89655429,0.48672618,0.01684624,0.73675957,3.60598519,1.61609877,0.10004347,3.02807695
-5.72986493,7.35709094,0.86601338,0.47843660,0.01685961,0.71905809,3.54325274,1.57861076,0.09791609,2.95924307
-5.72386193,7.16889287,0.83422527,0.46887245,0.01685549,0.70010624,3.46802171,1.53901166,0.09567610,2.88422647
-5.71785893,6.97047837,0.80161970,0.45825927,0.01684553,0.68028434,3.38144850,1.49823340,0.09339098,2.80445282
-5.71185593,6.76564944,0.76861251,0.44683609,0.01684154,0.65998410,3.28483867,1.45723075,0.09112986,2.72138654
-5.70585293,6.55821372,0.73559866,0.43484844,0.01685499,0.63959922,3.17961364,1.41696064,0.08896120,2.63649545
-5.69984992,6.35189571,0.70294630,0.42254132,0.01689669,0.61951592,3.06727502,1.37836175,0.08695051,2.55121652
-5.69384692,6.15025315,0.67099208,0.41015247,0.01697634,0.60010375,2.94936787,1.34233499,0.08515815,2.46692404
-5.68784392,5.95660131,0.64003759,0.39790631,0.01710221,0.58170703,2.82744438,1.30972546,0.08363739,2.38490113
-5.68184092,5.77394760,0.61034709,0.38600865,0.01728090,0.56463715,2.70302939,1.28130622,0.08243274,2.30631554
-5.67583792,5.60493821,0.58214642,0.37464238,0.01751710,0.54916594,2.57758899,1.25776450,0.08157860,2.23220054
-5.66983492,5.45181818,0.55562302,0.36396427,0.01781346,0.53552039,2.45250329,1.23969042,0.08109838,2.16344108
-5.66383192,5.31640548,0.53092701,0.35410298,0.01817056,0.52387877,2.32904425,1.22756864,0.08100400,2.10076555
-5.65782891,5.20007912,0.50817312,0.34515815,0.01858688,0.51436836,2.20835909,1.22177279,0.08129585,2.04474307
-5.65182591,5.10378086,0.48744335,0.33720071,0.01905898,0.50706469,2.09145963,1.22256287,0.08196320,1.99578574
-5.64582291,5.02802915,0.46879025,0.33027400,0.01958157,0.50199237,1.97921749,1.23008525,0.08298494,1.95415561
-5.63981991,4.97294397,0.45224050,0.32439586,0.02014780,0.49912729,1.87236490,1.24437529,0.08433075,1.91997528
-5.63381691,4.93828046,0.43779876,0.31956126,0.02074948,0.49840011,1.77150063,1.26536195,0.08596250,1.89324166
-5.62781391,4.92346919,0.42545158,0.31574533,0.02137741,0.49970089,1.67710023,1.29287443,0.08783590,1.87384162
-5.62181091,4.92766090,0.41517119,0.31290668,0.02202164,0.50288449,1.58952986,1.32665007,0.08990221,1.86156884
-5.61580790,4.94977356,0.40691915,0.31099060,0.02267184,0.50777652,1.50906267,1.36634354,0.09211008,1.85614099
-5.60980490,4.98853962,0.40064964,0.30993222,0.02331757,0.51417978,1.43589689,1.41153664,0.09440728,1.85721639
-5.60380190,5.04255195,0.39631249,0.30965926,0.02394853,0.52188056,1.37017459,1.46174879,0.09674236,1.86440965
-5.59779890,5.11030712,0.39385577,0.31009448,0.02455485,0.53065502,1.31200043,1.51644770,0.09906606,1.87730586
-5.59179590,5.19024514,0.39322802,0.31115757,0.02512728,0.54027510,1.26145946,1.57506040,0.10133257,1.89547306
-5.58579290,5.28078537,0.39438013,0.31276672,0.02565732,0.55051400,1.21863357,1.63698437,0.10350046,1.91847298
-5.57978989,5.38035846,0.39726688,0.31483974,0.02613732,0.56115113,1.18361590,1.70159889,0.10553331,1.94587022
-5.57378689,5.48743480,0.40184817,0.31729486,0.02656061,0.57197639,1.15652300,1.76827667,0.10740011,1.97724002
-5.56778389,5.60054999,0.40809001,0.32005141,0.02692142,0.58279383,1.13750434,1.83639581,0.10907532,2.01217506
-5.56178089,5.71832815,0.41596532,0.32303037,0.02721496,0.59342474,1.12674918,1.90535216,0.11053873,2.05029163
-5.55577789,5.83950356,0.42545444,0.32615501,0.02743732,0.60371011,1.12449046,1.97457198,0.11177513,2.09123550
-5.54977489,5.96294152,0.43654553,0.32935175,0.02758544,0.61351263,1.13100583,2.04352500,0.11277382,2.13468783
-5.54377189,6.08765841,0.44923472,0.33255124,0.02765705,0.62271819,1.14661572,2.11173747,0.11352806,2.18037124
-5.53776888,6.21284112,0.46352607,0.33568976,0.02765062,0.63123704,1.17167839,2.17880500,0.11403444,2.22805603
-5.53176588,6.33786541,0.47943112,0.33871098,0.02756529,0.63900450,1.20658195,2.24440466,0.11429241,2.27756646
-5.52576288,6.46231223,0.49696829,0.34156799,0.02740089,0.64598131,1.25173342,2.30830584,0.11430371,2.32878667
-5.51975988,6.58598103,0.51616171,0.34422546,0.02715788,0.65215357,1.30754484,2.37037918,0.11407200,2.38166585
-5.51375688,6.70889847,0.53703969,0.34666193,0.02683741,0.65753226,1.37441644,2.43060284,0.11360264,2.43622194
-5.50775388,6.83132090,0.55963267,0.34887189,0.02644134,0.66215217,1.45271722,2.48906544,0.11290252,2.49254337
-5.50175088,6.95372927,0.58397071,0.35086764,0.02597228,0.66607027,1.54276321,2.54596508,0.11198001,2.55078800
