energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-3.35267634,2.22098994,2.22737894,0.21109199,0.40173148,0.00000000,0.89190087,0.00000000
-3.34667334,2.18824839,2.21367343,0.20538745,0.40500369,0.00000000,0.89526953,0.00000000
-3.34067034,2.15012505,2.19463102,0.19905479,0.40741158,0.00000000,0.89631167,0.00000000
-3.33466733,2.10712176,2.17058843,0.19217823,0.40892449,0.00000000,0.89504854,0.00000000
-3.32866433,2.05975638,2.14190415,0.18484365,0.40951721,0.00000000,0.89151923,0.00000000
-3.32266133,2.00854798,2.10894467,0.17713664,0.40916977,0.00000000,0.88577745,0.00000000
-3.31665833,1.95400439,2.07207261,0.16914083,0.40786733,0.00000000,0.87788858,0.00000000
-3.31065533,1.89661236,2.03163718,0.16093653,0.40560023,0.00000000,0.86792713,0.00000000
-3.30465233,1.83683041,1.98796707,0.15259971,0.40236407,0.00000000,0.85597451,0.00000000
-3.29864932,1.77508412,1.94136569,0.14420122,0.39815990,0.00000000,0.84211726,0.00000000
-3.29264632,1.71176372,1.89210890,0.13580635,0.39299440,0.00000000,0.82644580,0.00000000
-3.28664332,1.64722376,1.84044487,0.12747454,0.38688017,0.00000000,0.80905359,0.00000000
-3.28064032,1.58178439,1.78659609,0.11925933,0.37983595,0.00000000,0.79003680,0.00000000
-3.27463732,1.51573418,1.73076294,0.11120836,0.37188691,0.00000000,0.76949444,0.00000000
-3.26863432,1.44933378,1.67312893,0.10336356,0.36306498,0.00000000,0.74752889,0.00000000
-3.26263132,1.38282056,1.61386690,0.09576136,0.35340912,0.00000000,0.72424685,0.00000000
-3.25662831,1.31641357,1.55314602,0.08843297,0.34296566,0.00000000,0.69976053,0.00000000
-3.25062531,1.25031873,1.49113929,0.08140465,0.33178858,0.00000000,0.67418921,0.00000000
-3.24462231,1.18473413,1.42803097,0.07469802,0.31993985,0.00000000,0.64766080,0.00000000
-3.23861931,1.11985497,1.36402373,0.06833039,0.30748962,0.00000000,0.62031349,0.00000000
-3.23261631,1.05587825,1.29934523,0.06231513,0.29451644,0.00000000,0.59229736,0.00000000
-3.22661331,0.99300684,1.23425367,0.05666196,0.28110723,0.00000000,0.56377567,0.00000000
-3.22061031,0.93145297,1.16904211,0.05137737,0.26735728,0.00000000,0.53492596,0.00000000
-3.21460730,0.87144088,1.10404140,0.04646495,0.25336990,0.00000000,0.50594062,0.00000000
-3.20860430,0.81320867,1.03962147,0.04192585,0.23925598,0.00000000,0.47702701,0.00000000
-3.20260130,0.75700915,0.97619095,0.03775912,0.22513325,0.00000000,0.44840694,0.00000000
-3.19659830,0.70310979,0.91419499,0.03396215,0.21112534,0.00000000,0.42031563,0.00000000
-3.19059530,0.65179166,0.85411148,0.03053105,0.19736055,0.00000000,0.39299987,0.00000000
