energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.44528339,0.03396242,0.01043673,0.31904945,0.38069951,0.12534673,1.01139763,0.00000000
-5.99399700,1.53016427,0.03600050,0.01106230,0.33966252,0.40120717,0.13340092,1.07170606,0.00000000
-5.98799400,1.61229233,0.03793532,0.01171533,0.35981618,0.42076345,0.14129746,1.13017447,0.00000000
-5.98199100,1.69045142,0.03973914,0.01238759,0.37920788,0.43906868,0.14892974,1.18594138,0.00000000
-5.97598799,1.76347667,0.04138533,0.01307112,0.39753821,0.45584512,0.15619269,1.23817738,0.00000000
-5.96998499,1.83027626,0.04284905,0.01375816,0.41451656,0.47084242,0.16298464,1.28610080,0.00000000
-5.96398199,1.88985205,0.04410779,0.01444116,0.42986690,0.48384242,0.16920917,1.32899255,0.00000000
-5.95797899,1.94131842,0.04514194,0.01511269,0.44333353,0.49466315,0.17477697,1.36621001,0.00000000
-5.95197599,1.98391885,0.04593528,0.01576546,0.45468665,0.50316185,0.17960754,1.39719943,0.00000000
-5.94597299,2.01703990,0.04647536,0.01639226,0.46372747,0.50923704,0.18363084,1.42150659,0.00000000
-5.93996998,2.04022213,0.04675377,0.01698602,0.47029294,0.51282945,0.18678870,1.43878535,0.00000000
-5.93396698,2.05316775,0.04676643,0.01753974,0.47425959,0.51392198,0.18903608,1.44880402,0.00000000
-5.92796398,2.05574471,0.04651356,0.01804660,0.47554674,0.51253854,0.19034202,1.45144912,0.00000000
-5.92196098,2.04798728,0.04599977,0.01849999,0.47411854,0.50874201,0.19069041,1.44672664,0.00000000
-5.91595798,2.03009294,0.04523387,0.01889360,0.46998511,0.50263130,0.19008031,1.43476063,0.00000000
-5.90995498,2.00241576,0.04422863,0.01922149,0.46320241,0.49433770,0.18852605,1.41578911,0.00000000
-5.90395198,1.96545647,0.04300050,0.01947830,0.45387104,0.48402054,0.18605694,1.39015752,0.00000000
-5.89794897,1.91984935,0.04156919,0.01965927,0.44213383,0.47186255,0.18271666,1.35830974,0.00000000
-5.89194597,1.86634638,0.03995712,0.01976045,0.42817232,0.45806478,0.17856223,1.32077695,0.00000000
-5.88594297,1.80579905,0.03818898,0.01977882,0.41220225,0.44284153,0.17366275,1.27816468,0.00000000
-5.87993997,1.73913834,0.03629106,0.01971237,0.39446824,0.42641517,0.16809782,1.23113831,0.00000000
-5.87393697,1.66735335,0.03429068,0.01956027,0.37523761,0.40901122,0.16195562,1.18040753,0.00000000
-5.86793397,1.59146917,0.03221558,0.01932288,0.35479391,0.39085372,0.15533096,1.12671012,0.00000000
-5.86193097,1.51252472,0.03009331,0.01900186,0.33343004,0.37216095,0.14832300,1.07079550,0.00000000
-5.85592796,1.43155101,0.02795065,0.01860014,0.31144141,0.35314178,0.14103303,1.01340867,0.00000000
-5.84992496,1.34955057,0.02581311,0.01812192,0.28911930,0.33399242,0.13356218,0.95527483,0.00000000
-5.84392196,1.26747843,0.02370443,0.01757265,0.26674467,0.31489398,0.12600923,0.89708517,0.00000000
-5.83791896,1.18622538,0.02164619,0.01695888,0.24458265,0.29601051,0.11846853,0.83948432,0.00000000
-5.83191596,1.10660376,0.01965751,0.01628820,0.22287782,0.27748785,0.11102816,0.78305960,0.00000000
-5.82591296,1.02933616,0.01775481,0.01556911,0.20185054,0.25945295,0.10376834,0.72833253,0.00000000
-5.81990995,0.95504732,0.01595164,0.01481083,0.18169429,0.24201388,0.09676012,0.67575263,0.00000000
-5.81390695,0.88425927,0.01425866,0.01402320,0.16257422,0.22526039,0.09006447,0.62569362,0.00000000
-5.80790395,0.81738971,0.01268365,0.01321652,0.14462682,0.20926487,0.08373170,0.57845212,0.00000000
-5.80190095,0.75475370,0.01123161,0.01240136,0.12796073,0.19408374,0.07780132,0.53424869,0.00000000
-5.79589795,0.69656818,0.00990497,0.01158853,0.11265852,0.17975924,0.07230216,0.49323103,0.00000000
-5.78989495,0.64295933,0.00870376,0.01078889,0.09877954,0.16632137,0.06725299,0.45547925,0.00000000
-5.78389195,0.59397223,0.00762599,0.01001337,0.08636342,0.15379002,0.06266337,0.42101277,0.00000000
-5.77788894,0.54958244,0.00666788,0.00927287,0.07543434,0.14217731,0.05853485,0.38979874,0.00000000
-5.77188594,0.50970914,0.00582426,0.00857832,0.06600568,0.13148980,0.05486237,0.36176144,0.00000000
-5.76588294,0.47422925,0.00508892,0.00794067,0.05808503,0.12173086,0.05163589,0.33679246,0.00000000
-5.75987994,0.44299211,0.00445497,0.00737101,0.05167928,0.11290286,0.04884213,0.31476125,0.00000000
-5.75387694,0.41583423,0.00391519,0.00688063,0.04679969,0.10500926,0.04646635,0.29552565,0.00000000
-5.74787394,0.39259360,0.00346236,0.00648117,0.04346670,0.09805657,0.04449422,0.27894214,0.00000000
-5.74187094,0.37312316,0.00308961,0.00618476,0.04171440,0.09205607,0.04291354,0.26487546,0.00000000
-5.73586793,0.35730300,0.00279065,0.00600412,0.04159445,0.08702533,0.04171588,0.25320726,0.00000000
-5.72986493,0.34505086,0.00256008,0.00595272,0.04317930,0.08298936,0.04089801,0.24384361,0.00000000
-5.72386193,0.33633062,0.00239356,0.00604488,0.04656465,0.07998150,0.04046317,0.23672110,0.00000000
-5.71785893,0.33115855,0.00228803,0.00629582,0.05187089,0.07804389,0.04042196,0.23181128,0.00000000
-5.71185593,0.32960683,0.00224179,0.00672171,0.05924361,0.07722749,0.04079293,0.22912342,0.00000000
-5.70585293,0.33180451,0.00225468,0.00733958,0.06885283,0.07759166,0.04160287,0.22870535,0.00000000
-5.69984992,0.33793542,0.00232802,0.00816723,0.08089100,0.07920326,0.04288657,0.23064242,0.00000000
-5.69384692,0.34823329,0.00246471,0.00922297,0.09556973,0.08213513,0.04468633,0.23505450,0.00000000
-5.68784392,0.36297385,0.00266914,0.01052537,0.11311509,0.08646410,0.04705092,0.24209111,0.00000000
-5.68184092,0.38246421,0.00294707,0.01209278,0.13376150,0.09226841,0.05003421,0.25192473,0.00000000
-5.67583792,0.40702958,0.00330552,0.01394286,0.15774433,0.09962469,0.05369335,0.26474256,0.00000000
-5.66983492,0.43699781,0.00375254,0.01609196,0.18529113,0.10860435,0.05808662,0.28073673,0.00000000
-5.66383192,0.47268188,0.00429696,0.01855437,0.21661176,0.11926970,0.06327096,0.30009343,0.00000000
-5.65782891,0.51436107,0.00494802,0.02134161,0.25188752,0.13166967,0.06929921,0.32298122,0.00000000
-5.65182591,0.56226121,0.00571507,0.02446154,0.29125958,0.14583547,0.07621720,0.34953878,0.00000000
-5.64582291,0.61653473,0.00660708,0.02791756,0.33481713,0.16177616,0.08406069,0.37986264,0.00000000
-5.63981991,0.67724119,0.00763218,0.03170769,0.38258539,0.17947440,0.09285240,0.41399529,0.00000000
-5.63381691,0.74432907,0.00879719,0.03582386,0.43451434,0.19888253,0.10259902,0.45191404,0.00000000
-5.62781391,0.81761951,0.01010706,0.04025111,0.49046822,0.21991920,0.11328854,0.49352122,0.00000000
-5.62181091,0.89679287,0.01156437,0.04496704,0.55021670,0.24246666,0.12488792,0.53863604,0.00000000
-5.61580790,0.98137877,0.01316883,0.04994140,0.61342805,0.26636909,0.13734119,0.58698868,0.00000000
-5.60980490,1.07075036,0.01491681,0.05513587,0.67966492,0.29143178,0.15056811,0.63821678,0.00000000
-5.60380190,1.16412330,0.01680098,0.06050408,0.74838309,0.31742173,0.16446366,0.69186494,0.00000000
-5.59779890,1.26055997,0.01880999,0.06599196,0.81893379,0.34406941,0.17889809,0.74738720,0.00000000
-5.59179590,1.35897925,0.02092834,0.07153834,0.89056961,0.37107193,0.19371806,0.80415280,0.00000000
-5.58579290,1.45817181,0.02313632,0.07707586,0.96245446,0.39809758,0.20874847,0.86145525,0.00000000
-5.57978989,1.55682101,0.02541016,0.08253218,1.03367722,0.42479171,0.22379531,0.91852458,0.00000000
-5.57378689,1.65352896,0.02772236,0.08783149,1.10326933,0.45078377,0.23864935,0.97454263,0.00000000
-5.56778389,1.74684720,0.03004213,0.09289627,1.17022560,0.47569553,0.25309063,1.02866100,0.00000000
-5.56178089,1.83531126,0.03233611,0.09764921,1.23352791,0.49914999,0.26689367,1.08002127,0.00000000
-5.55577789,1.91747814,0.03456915,0.10201533,1.29217113,0.52078107,0.27983321,1.12777676,0.00000000
-5.54977489,1.99196537,0.03670530,0.10592418,1.34519024,0.54024342,0.29169034,1.17111545,0.00000000
-5.54377189,2.05749061,0.03870885,0.10931193,1.39168792,0.55722232,0.30225882,1.20928289,0.00000000
-5.53776888,2.11291005,0.04054547,0.11212353,1.43086138,0.57144309,0.31135134,1.24160474,0.00000000
-5.53176588,2.15725449,0.04218338,0.11431454,1.46202751,0.58267986,0.31880542,1.26750773,0.00000000
-5.52576288,2.18976133,0.04359445,0.11585282,1.48464526,0.59076317,0.32448882,1.28653843,0.00000000
-5.51975988,2.20990146,0.04475526,0.11671980,1.49833419,0.59558618,0.32830416,1.29837904,0.00000000
