energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.63589734,-3.04184848,0.16568184,-0.57582113,0.17338933,-0.38629436,0.83112386,-1.24838444,0.55134291,-0.69947645,0.00388938,-0.00508405,0.52283928,-0.76235776,0.01517507,-0.06091116,0.31584842,-0.89093295
-5.99399700,1.52846488,-2.97435303,0.15499627,-0.56075201,0.16346667,-0.38160019,0.77166632,-1.21434976,0.51863103,-0.68456628,0.00371038,-0.00511023,0.48814663,-0.74668469,0.01424259,-0.05913056,0.29473739,-0.86884278
-5.98799400,1.42965282,-2.90799818,0.14488510,-0.54495819,0.15358106,-0.37669385,0.71767388,-1.18089809,0.48970764,-0.67096057,0.00351643,-0.00512434,0.45726111,-0.73264841,0.01330986,-0.05726557,0.27431122,-0.84609951
-5.98199100,1.33951562,-2.84384078,0.13544369,-0.52850411,0.14384817,-0.37153365,0.66903429,-1.14863073,0.46443090,-0.65903414,0.00331093,-0.00512443,0.43005339,-0.72073396,0.01238059,-0.05533340,0.25472932,-0.82284310
-5.97598799,1.25794490,-2.78285525,0.12676409,-0.51146794,0.13438618,-0.36607941,0.62551294,-1.11813162,0.44258514,-0.64911196,0.00309744,-0.00510868,0.40630964,-0.71137890,0.01145992,-0.05334987,0.23614825,-0.79920974
-5.96998499,1.18469008,-2.72592284,0.11893247,-0.49394283,0.12531261,-0.36029675,0.58677364,-1.08995672,0.42389440,-0.64146300,0.00287965,-0.00507541,0.38574685,-0.70496440,0.01055401,-0.05132940,0.21871741,-0.77533324
-5.96398199,1.11938212,-2.67382237,0.11202681,-0.47603698,0.11674126,-0.35416096,0.55240124,-1.06462325,0.40803693,-0.63629597,0.00266123,-0.00502324,0.36802951,-0.70180801,0.00966962,-0.04928505,0.20257508,-0.75134599
-5.95797899,1.06155916,-2.62722245,0.10611469,-0.45787275,0.10877963,-0.34766005,0.52192512,-1.04259914,0.39466017,-0.63375666,0.00244579,-0.00495113,0.35278669,-0.70215784,0.00881374,-0.04722857,0.18784503,-0.72737956
-5.95197599,1.01069294,-2.58667528,0.10125152,-0.43958471,0.10152670,-0.34079705,0.49484266,-1.02429303,0.38339545,-0.63392713,0.00223679,-0.00485847,0.33962884,-0.70618861,0.00799326,-0.04517050,0.17463374,-0.70356469
-5.94597299,0.96621509,-2.55261192,0.09747890,-0.42131688,0.09507129,-0.33359121,0.47064167,-1.01004521,0.37387199,-0.63682660,0.00203751,-0.00474510,0.32816381,-0.71399932,0.00721471,-0.04312026,0.16302829,-0.68003083
-5.93996998,0.92754229,-2.52533924,0.09482353,-0.40321933,0.08949094,-0.32607841,0.44882107,-1.00011973,0.36572972,-0.64241387,0.00185098,-0.00461138,0.31801146,-0.72561273,0.00648399,-0.04108630,0.15309504,-0.65690518
-5.93396698,0.89409945,-2.50503857,0.09329644,-0.38544412,0.08485131,-0.31831039,0.42890924,-0.99469824,0.35863041,-0.65059136,0.00168003,-0.00445816,0.30881635,-0.74097651,0.00580631,-0.03907612,0.14487909,-0.63431131
-5.92796398,0.86534035,-2.49176603,0.09289266,-0.36814116,0.08120627,-0.31035325,0.41047950,-0.99387544,0.35226697,-0.66121034,0.00152721,-0.00428679,0.30025837,-0.75996611,0.00518606,-0.03709641,0.13840447,-0.61236745
-5.92196098,0.84076520,-2.48545473,0.09359143,-0.35145384,0.07859828,-0.30228502,0.39316237,-0.99765669,0.34637072,-0.67407720,0.00139485,-0.00409904,0.29206089,-0.78238900,0.00462681,-0.03515311,0.13367512,-0.59118448
-5.91595798,0.81993477,-2.48591864,0.09535684,-0.33551483,0.07705938,-0.29419266,0.37665448,-1.00595756,0.34071639,-0.68896067,0.00128508,-0.00389711,0.28399648,-0.80799036,0.00413131,-0.03325147,0.13067651,-0.57086386
-5.90995498,0.80248097,-2.49285817,0.09813892,-0.32044220,0.07661247,-0.28616853,0.36072403,-1.01860560,0.33512510,-0.70559939,0.00119984,-0.00368348,0.27589013,-0.83645975,0.00370166,-0.03139609,0.12937784,-0.55149537
-5.90395198,0.78811377,-2.50586724,0.10187531,-0.30633598,0.07727277,-0.27830661,0.34521296,-1.03534404,0.32946528,-0.72370977,0.00114089,-0.00346091,0.26762017,-0.86743874,0.00333933,-0.02959099,0.12973476,-0.53315506
-5.89794897,0.77662469,-2.52444175,0.10649320,-0.29327534,0.07904951,-0.27069857,0.33003601,-1.05583745,0.32365175,-0.74299376,0.00110990,-0.00323228,0.25911696,-0.90052906,0.00304536,-0.02783961,0.13169233,-0.51590320
-5.89194597,0.76788690,-2.54798910,0.11191175,-0.28131641,0.08194752,-0.26342995,0.31517696,-1.07967905,0.31764318,-0.76314618,0.00110838,-0.00300055,0.25035977,-0.93530098,0.00282050,-0.02614487,0.13518830,-0.49978257
-5.88594297,0.76185231,-2.57583864,0.11804477,-0.27049088,0.08596884,-0.25657668,0.30068247,-1.10639948,0.31143834,-0.78386136,0.00113779,-0.00276865,0.24137206,-0.97130187,0.00266536,-0.02450918,0.14015632,-0.48481706
-5.87993997,0.75854597,-2.60725270,0.12480358,-0.26080541,0.09111393,-0.25020194,0.28665394,-1.13547664,0.30507124,-0.80483892,0.00119945,-0.00253940,0.23221554,-1.00806428,0.00258058,-0.02293449,0.14652903,-0.47101060
-5.87393697,0.75805807,-2.64143792,0.13209997,-0.25224178,0.09738265,-0.24435367,0.27323787,-1.16634645,0.29860564,-0.82578837,0.00129459,-0.00231545,0.22298342,-1.04511371,0.00256692,-0.02142230,0.15424091,-0.45834668
-5.86793397,0.76053396,-2.67755691,0.13984918,-0.24475780,0.10477474,-0.23906277,0.26061515,-1.19841396,0.29212912,-0.84643259,0.00142428,-0.00209923,0.21379313,-1.08197564,0.00262540,-0.01997374,0.16323056,-0.44678826
-5.86193097,0.76616249,-2.71473979,0.14797261,-0.23828902,0.11328985,-0.23434211,0.24898986,-1.23106477,0.28574710,-0.86651008,0.00158942,-0.00189287,0.20477889,-1.11818168,0.00275736,-0.01858955,0.17344247,-0.43627838
-5.85592796,0.77516313,-2.75209578,0.15640035,-0.23275103,0.12292693,-0.23018632,0.23857781,-1.26367627,0.27957686,-0.88577597,0.00179063,-0.00169821,0.19608446,-1.15327504,0.00296453,-0.01727019,0.18482799,-0.42674130
-5.84992496,0.78777204,-2.78872476,0.16507326,-0.22804234,0.13368315,-0.22657251,0.22959547,-1.29562852,0.27374197,-0.90400202,0.00202824,-0.00151677,0.18785621,-1.18681489,0.00324899,-0.01601582,0.19734545,-0.41808431
-5.84392196,0.80422758,-2.82372875,0.17394448,-0.22404783,0.14555222,-0.22346173,0.22224944,-1.32631462,0.26836701,-0.92097581,0.00230216,-0.00134977,0.18023689,-1.21838013,0.00361319,-0.01482638,0.21095955,-0.41020009
-5.83791896,0.82475556,-2.85622371,0.18298049,-0.22064255,0.15852229,-0.22080137,0.21672690,-1.35515033,0.26357295,-0.93649929,0.00261183,-0.00119814,0.17336009,-1.24757233,0.00405986,-0.01370166,0.22563968,-0.40296986
