energy_ev,total_up,Au_p_up,Au_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,7.82582383,1.09134206,6.44452613,0.24865895,0.00276691,1.03378024,0.00000000
-5.99399700,7.79650165,1.08544743,6.40960597,0.24493065,0.00274390,1.04264236,0.00000000
-5.98799400,7.75133589,1.07861130,6.36125304,0.24118157,0.00271484,1.04909422,0.00000000
-5.98199100,7.69019727,1.07060379,6.29964693,0.23738497,0.00267981,1.05289277,0.00000000
-5.97598799,7.61324863,1.06122474,6.22521932,0.23351295,0.00263897,1.05383383,0.00000000
-5.96998499,7.52095919,1.05031468,6.13865437,0.22953883,0.00259260,1.05176159,0.00000000
-5.96398199,7.41410996,1.03776455,6.04088181,0.22543941,0.00254105,1.04657691,0.00000000
-5.95797899,7.29378994,1.02352362,5.93306285,0.22119732,0.00248476,1.03824370,0.00000000
-5.95197599,7.16138277,1.00760520,5.81656909,0.21680309,0.00242428,1.02679336,0.00000000
-5.94597299,7.01854401,0.99008996,5.69295506,0.21225705,0.00236019,1.01232673,0.00000000
-5.93996998,6.86716960,0.97112661,5.56392517,0.20757080,0.00229316,0.99501363,0.00000000
-5.93396698,6.70935639,0.95092995,5.43129609,0.20276833,0.00222388,0.97508987,0.00000000
-5.92796398,6.54735592,0.92977629,5.29695565,0.19788664,0.00215306,0.95285183,0.00000000
-5.92196098,6.38352295,0.90799652,5.16281951,0.19297588,0.00208143,0.92864892,0.00000000
-5.91595798,6.22026016,0.88596703,5.03078687,0.18809894,0.00200969,0.90287407,0.00000000
-5.90995498,6.05996098,0.86409888,4.90269652,0.18333060,0.00193849,0.87595283,0.00000000
-5.90395198,5.90495209,0.84282570,4.78028432,0.17875608,0.00186846,0.84833137,0.00000000
-5.89794897,5.75743735,0.82259061,4.66514335,0.17446931,0.00180014,0.82046396,0.00000000
-5.89194597,5.61944486,0.80383289,4.55868770,0.17057061,0.00173402,0.79280047,0.00000000
-5.88594297,5.49277848,0.78697464,4.46212076,0.16716420,0.00167048,0.76577418,0.00000000
-5.87993997,5.37897517,0.77240800,4.37640866,0.16435533,0.00160984,0.73979055,0.00000000
-5.87393697,5.27926929,0.76048328,4.30225960,0.16224728,0.00155233,0.71521718,0.00000000
-5.86793397,5.19456450,0.75149836,4.24010936,0.16093821,0.00149809,0.69237526,0.00000000
-5.86193097,5.12541414,0.74568961,4.19011333,0.16051803,0.00144717,0.67153279,0.00000000
-5.85592796,5.07201031,0.74322456,4.15214515,0.16106527,0.00139958,0.65289965,0.00000000
-5.84992496,5.03418182,0.74419644,4.12580210,0.16264409,0.00135526,0.63662453,0.00000000
-5.84392196,5.01140104,0.74862076,4.11041696,0.16530160,0.00131410,0.62279373,0.00000000
-5.83791896,5.00279944,0.75643378,4.10507629,0.16906537,0.00127594,0.61143168,0.00000000
-5.83191596,5.00719131,0.76749318,4.10864459,0.17394141,0.00124062,0.60250304,0.00000000
-5.82591296,5.02310523,0.78158053,4.11979401,0.17991267,0.00120797,0.59591625,0.00000000
-5.81990995,5.04882242,0.79840576,4.13703897,0.18693795,0.00117780,0.59152819,0.00000000
-5.81390695,5.08242133,0.81761349,4.15877488,0.19495165,0.00114994,0.58914985,0.00000000
-5.80790395,5.12182723,0.83879098,4.18332013,0.20386402,0.00112423,0.58855275,0.00000000
-5.80190095,5.16486577,0.86147777,4.20896043,0.21356227,0.00110055,0.58947598,0.00000000
-5.79589795,5.20931928,0.88517660,4.23399424,0.22391239,0.00107877,0.59163348,0.00000000
-5.78989495,5.25298427,0.90936568,4.25677808,0.23476173,0.00105882,0.59472175,0.00000000
-5.78389195,5.29372874,0.93351181,4.27577052,0.24594234,0.00104064,0.59842748,0.00000000
-5.77788894,5.32954761,0.95708427,4.28957335,0.25727493,0.00102420,0.60243522,0.00000000
-5.77188594,5.35861474,0.97956888,4.29696870,0.26857341,0.00100949,0.60643490,0.00000000
-5.76588294,5.37932990,1.00048219,4.29695077,0.27964986,0.00099650,0.61012901,0.00000000
-5.75987994,5.39035907,1.01938499,4.28875100,0.29031979,0.00098526,0.61323948,0.00000000
-5.75387694,5.39066688,1.03589495,4.27185587,0.30040742,0.00097578,0.61551392,0.00000000
-5.74787394,5.37953978,1.04969781,4.24601637,0.30975087,0.00096807,0.61673133,0.00000000
-5.74187094,5.35659932,1.06055662,4.21124906,0.31820696,0.00096213,0.61670694,0.00000000
-5.73586793,5.32180481,1.06831873,4.16782832,0.32565549,0.00095795,0.61529616,0.00000000
-5.72986493,5.27544549,1.07292005,4.11627044,0.33200274,0.00095547,0.61239754,0.00000000
-5.72386193,5.21812224,1.07438639,4.05731004,0.33718398,0.00095464,0.60795451,0.00000000
-5.71785893,5.15071992,1.07283176,3.99186981,0.34116505,0.00095534,0.60195598,0.00000000
-5.71185593,5.07437130,1.06845350,3.92102513,0.34394266,0.00095744,0.59443569,0.00000000
-5.70585293,4.99041421,1.06152454,3.84596491,0.34554365,0.00096077,0.58547024,0.00000000
-5.69984992,4.90034388,1.05238296,3.76795055,0.34602301,0.00096511,0.57517607,0.00000000
-5.69384692,4.80576232,1.04141935,3.68827465,0.34546098,0.00097023,0.56370525,0.00000000
-5.68784392,4.70832717,1.02906235,3.60822143,0.34395919,0.00097586,0.55124041,0.00000000
-5.68184092,4.60970189,1.01576330,3.52903030,0.34163617,0.00098172,0.53798895,0.00000000
-5.67583792,4.51150953,1.00198037,3.45186409,0.33862235,0.00098751,0.52417677,0.00000000
-5.66983492,4.41529173,0.98816310,3.37778306,0.33505489,0.00099295,0.51004178,0.00000000
-5.66383192,4.32247441,0.97473798,3.30772536,0.33107252,0.00099775,0.49582744,0.00000000
