energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,3.45304170,-3.01947425,3.47816029,-3.78445242,1.00018457,-0.59479134,0.00987115,-0.00755290,0.89651760,-0.70943001,0.01381524,-0.00899941,1.20269051,-1.27252489,0.62586745,-0.68019438,0.15744849,-0.12591256
-5.99399700,3.46694723,-3.06340097,3.46692562,-3.84840835,1.00276780,-0.59462051,0.01008405,-0.00755866,0.91087718,-0.70695012,0.01458846,-0.00966691,1.19805389,-1.30651390,0.62039224,-0.69727909,0.15881451,-0.12942397
-5.98799400,3.48119897,-3.09754770,3.45435749,-3.89743074,1.00494375,-0.59274439,0.01030185,-0.00752563,0.92434257,-0.70188674,0.01551605,-0.01036712,1.19456209,-1.33667633,0.61524107,-0.71208265,0.16021280,-0.13256750
-5.98199100,3.49516967,-3.12231163,3.43991780,-3.93152276,1.00656501,-0.58947277,0.01052837,-0.00745694,0.93666758,-0.69462067,0.01659759,-0.01109844,1.19206494,-1.36283517,0.61029504,-0.72449225,0.16163406,-0.13533785
-5.97598799,3.50806544,-3.13830684,3.42291445,-3.95096501,1.00743140,-0.58515564,0.01076721,-0.00735706,0.94755525,-0.68558871,0.01782907,-0.01185968,1.19036548,-1.38489914,0.60542033,-0.73444409,0.16306434,-0.13774069
-5.96998499,3.51895364,-3.14634333,3.40253710,-3.95630350,1.00729783,-0.58017279,0.01102143,-0.00723164,0.95666819,-0.67527189,0.01920261,-0.01265006,1.18922670,-1.40286233,0.60047396,-0.74192341,0.16448500,-0.13979258
-5.96398199,3.52679800,-3.14740221,3.37790010,-3.94833150,1.00588529,-0.57492297,0.01129335,-0.00708746,0.96364233,-0.66418261,0.02070646,-0.01346933,1.18837889,-1.41680242,0.59530938,-0.74696367,0.16587284,-0.14152060
-5.95797899,3.53049934,-3.14260787,3.34809047,-3.92806579,1.00289429,-0.56981266,0.01158432,-0.00693214,0.96810338,-0.65285094,0.02232493,-0.01431784,1.18752730,-1.42687766,0.58978196,-0.74964503,0.16720020,-0.14296180
-5.95197599,3.52893993,-3.13319782,3.31221831,-3.89671790,0.99802006,-0.56524517,0.01189450,-0.00677399,0.96968522,-0.64181070,0.02403852,-0.01519650,1.18635993,-1.43332247,0.58375381,-0.75009209,0.16843531,-0.14416233
-5.94597299,3.52102949,-3.12049100,3.26946704,-3.85566102,0.99096874,-0.56161004,0.01222272,-0.00662178,0.96804908,-0.63158551,0.02582414,-0.01610690,1.18455523,-1.43644181,0.57709805,-0.74847094,0.16954266,-0.14517626
-5.93996998,3.50575060,-3.10585508,3.21914082,-3.80639340,0.98147358,-0.55927317,0.01256639,-0.00648443,0.96290246,-0.62267532,0.02765545,-0.01705119,1.18178958,-1.43660425,0.56970235,-0.74498552,0.17048353,-0.14606424
