energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,2.29407613,0.00567360,0.48154013,1.56159076,0.00000000,0.89033066,0.00000000,1.57078153,0.60490579
-5.99399700,2.26502062,0.00547468,0.47537156,1.55597701,0.00000000,0.88884852,0.00000000,1.53983142,0.59250404
-5.98799400,2.23339900,0.00527762,0.46947059,1.54710264,0.00000000,0.88516960,0.00000000,1.50984644,0.57967833
-5.98199100,2.19915868,0.00508144,0.46377280,1.53492052,0.00000000,0.87919515,0.00000000,1.48064307,0.56648465
-5.97598799,2.16224672,0.00488543,0.45819404,1.51941455,0.00000000,0.87085953,0.00000000,1.45200410,0.55296337
-5.96998499,2.12261816,0.00468912,0.45263481,1.50060297,0.00000000,0.86013328,0.00000000,1.42369228,0.53914051
-5.96398199,2.08024535,0.00449241,0.44698552,1.47854152,0.00000000,0.84702520,0.00000000,1.39546508,0.52502991
-5.95797899,2.03512773,0.00429551,0.44113232,1.45332628,0.00000000,0.83158353,0.00000000,1.36708971,0.51063635
-5.95197599,1.98730181,0.00409900,0.43496317,1.42509615,0.00000000,0.81389619,0.00000000,1.33835769,0.49595921
-5.94597299,1.93685055,0.00390375,0.42837395,1.39403472,0.00000000,0.79408998,0.00000000,1.30909820,0.48099669
-5.93996998,1.88391182,0.00371095,0.42127428,1.36037131,0.00000000,0.77232895,0.00000000,1.27918953,0.46575015
-5.93396698,1.82868524,0.00352201,0.41359270,1.32438093,0.00000000,0.74881186,0.00000000,1.24856810,0.45022847
-5.92796398,1.77143706,0.00333853,0.40528104,1.28638311,0.00000000,0.72376886,0.00000000,1.21723447,0.43445215
-5.92196098,1.71250269,0.00316226,0.39631772,1.24673910,0.00000000,0.69745742,0.00000000,1.18525618,0.41845690
-5.91595798,1.65228643,0.00299499,0.38670983,1.20584764,0.00000000,0.67015772,0.00000000,1.15276706,0.40229660
-5.90995498,1.59125836,0.00283853,0.37649380,1.16413901,0.00000000,0.64216740,0.00000000,1.11996322,0.38604543
-5.90395198,1.52994838,0.00269464,0.36573488,1.12206733,0.00000000,0.61379599,0.00000000,1.08709564,0.36979909
-5.89794897,1.46893734,0.00256499,0.35452504,1.08010148,0.00000000,0.58535899,0.00000000,1.05445992,0.35367509
-5.89194597,1.40884576,0.00245110,0.34297989,1.03871449,0.00000000,0.55717187,0.00000000,1.02238351,0.33781204
