energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,1.71603904,-1.71603904,0.00154722,-0.00154722,0.04876777,-0.04876777,0.54681646,-0.54681646,0.36308573,-0.36308573,0.02104073,-0.02104073,0.96979514,-0.96979514,0.48652233,-0.48652234,0.15313182,-0.15313182
-5.99399700,1.73789473,-1.73789473,0.00151907,-0.00151907,0.04949495,-0.04949495,0.56075182,-0.56075182,0.37084179,-0.37084179,0.01940840,-0.01940840,0.98325249,-0.98325249,0.50198285,-0.50198285,0.15513756,-0.15513756
-5.98799400,1.75937281,-1.75937281,0.00149841,-0.00149841,0.05019908,-0.05019908,0.57476364,-0.57476364,0.37826675,-0.37826675,0.01780861,-0.01780861,0.99654512,-0.99654512,0.51756088,-0.51756088,0.15733774,-0.15733774
-5.98199100,1.78058356,-1.78058356,0.00148399,-0.00148399,0.05088295,-0.05088295,0.58884496,-0.58884496,0.38536903,-0.38536903,0.01625854,-0.01625854,1.00971862,-1.00971862,0.53314892,-0.53314892,0.15978295,-0.15978295
-5.97598799,1.80161128,-1.80161128,0.00147477,-0.00147477,0.05154770,-0.05154770,0.60297541,-0.60297541,0.39215898,-0.39215898,0.01477299,-0.01477299,1.02280519,-1.02280519,0.54863492,-0.54863492,0.16251780,-0.16251780
-5.96998499,1.82250782,-1.82250781,0.00146998,-0.00146998,0.05219269,-0.05219269,0.61711898,-0.61711898,0.39864729,-0.39864729,0.01336429,-0.01336429,1.03582014,-1.03582014,0.56390307,-0.56390307,0.16557918,-0.16557918
-5.96398199,1.84328739,-1.84328739,0.00146911,-0.00146911,0.05281534,-0.05281534,0.63122235,-0.63122235,0.40484345,-0.40484345,0.01204232,-0.01204232,1.04875916,-1.04875916,0.57883470,-0.57883470,0.16899478,-0.16899478
-5.95797899,1.86392315,-1.86392315,0.00147203,-0.00147203,0.05341123,-0.05341123,0.64521398,-0.64521398,0.41075417,-0.41075417,0.01081457,-0.01081457,1.06159642,-1.06159642,0.59330946,-0.59330946,0.17278173,-0.17278173
-5.95197599,1.88434546,-1.88434546,0.00147896,-0.00147896,0.05397413,-0.05397413,0.65900385,-0.65900386,0.41638199,-0.41638199,0.00968632,-0.00968632,1.07428367,-1.07428367,0.60720657,-0.60720657,0.17694567,-0.17694567
-5.94597299,1.90444205,-1.90444205,0.00149054,-0.00149054,0.05449625,-0.05449625,0.67248409,-0.67248409,0.42172414,-0.42172414,0.00866096,-0.00866096,1.08675023,-1.08675023,0.62040628,-0.62040628,0.18148012,-0.18148012
-5.93996998,1.92406004,-1.92406004,0.00150787,-0.00150787,0.05496853,-0.05496853,0.68553022,-0.68553022,0.42677157,-0.42677157,0.00774021,-0.00774021,1.09890402,-1.09890402,0.63279137,-0.63279137,0.18636613,-0.18636613
-5.93396698,1.94300968,-1.94300968,0.00153251,-0.00153251,0.05538096,-0.05538096,0.69800323,-0.69800323,0.43150845,-0.43150845,0.00692452,-0.00692452,1.11063354,-1.11063354,0.64424879,-0.64424879,0.19157251,-0.19157251
-5.92796398,1.96106989,-1.96106988,0.00156655,-0.00156655,0.05572307,-0.05572307,0.70975223,-0.70975223,0.43591195,-0.43591195,0.00621343,-0.00621343,1.12181068,-1.12181068,0.65467123,-0.65467123,0.19705633,-0.19705633
-5.92196098,1.97799519,-1.97799519,0.00161260,-0.00161260,0.05598439,-0.05598439,0.72061776,-0.72061776,0.43995259,-0.43995259,0.00560590,-0.00560590,1.13229444,-1.13229444,0.66395876,-0.66395876,0.20276388,-0.20276388
-5.91595798,1.99352416,-1.99352416,0.00167380,-0.00167380,0.05615494,-0.05615494,0.73043548,-0.73043548,0.44359493,-0.44359493,0.00510069,-0.00510069,1.14193529,-1.14193529,0.67202035,-0.67202035,0.20863214,-0.20863214
-5.90995498,2.00738892,-2.00738892,0.00175385,-0.00175385,0.05622583,-0.05622583,0.73904043,-0.73904043,0.44679890,-0.44679890,0.00469665,-0.00469665,1.15058019,-1.15058019,0.67877536,-0.67877536,0.21459052,-0.21459052
-5.90395198,2.01932567,-2.01932567,0.00185698,-0.00185698,0.05618977,-0.05618977,0.74627149,-0.74627149,0.44952147,-0.44952147,0.00439304,-0.00439304,1.15807813,-1.15807813,0.68415495,-0.68415494,0.22056304,-0.22056304
-5.89794897,2.02908582,-2.02908582,0.00198792,-0.00198792,0.05604167,-0.05604167,0.75197610,-0.75197610,0.45171891,-0.45171891,0.00418972,-0.00418972,1.16428593,-1.16428593,0.68810340,-0.68810340,0.22647080,-0.22647080
-5.89194597,2.03644756,-2.03644756,0.00215188,-0.00215188,0.05577913,-0.05577913,0.75601516,-0.75601516,0.45334941,-0.45334941,0.00408735,-0.00408735,1.16907441,-1.16907441,0.69057938,-0.69057938,0.23223467,-0.23223467
-5.88594297,2.04122745,-2.04122745,0.00235445,-0.00235445,0.05540299,-0.05540299,0.75826777,-0.75826777,0.45437605,-0.45437605,0.00408746,-0.00408746,1.17233439,-1.17233439,0.69155711,-0.69155711,0.23777811,-0.23777811
