energy_ev,total_up,Au_p_up,Au_d_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.61461106,0.14578469,0.37750195,0.17438588,0.03392464,0.00028162,0.03591492,0.00146194,0.15308523
-5.99399700,0.57867650,0.13163137,0.36066108,0.15921524,0.03217130,0.00024988,0.03239514,0.00128983,0.14279140
-5.98799400,0.54757068,0.11825889,0.34726922,0.14495189,0.03067419,0.00022126,0.02907818,0.00113360,0.13331356
-5.98199100,0.52143445,0.10574981,0.33742842,0.13167217,0.02941795,0.00019588,0.02598646,0.00099371,0.12463277
-5.97598799,0.50034494,0.09416422,0.33120374,0.11942953,0.02838614,0.00017379,0.02313650,0.00087024,0.11671751
-5.96998499,0.48431933,0.08354060,0.32862496,0.10825542,0.02756148,0.00015502,0.02053912,0.00076305,0.10952537
-5.96398199,0.47331930,0.07389707,0.32968838,0.09816097,0.02692624,0.00013953,0.01819979,0.00067173,0.10300515
-5.95797899,0.46725581,0.06523326,0.33435827,0.08913902,0.02646250,0.00012724,0.01611907,0.00059570,0.09709918
-5.95197599,0.46599362,0.05753238,0.34256797,0.08116645,0.02615254,0.00011806,0.01429317,0.00053421,0.09174576
-5.94597299,0.46935530,0.05076353,0.35422028,0.07420676,0.02597911,0.00011186,0.01271451,0.00048642,0.08688163
-5.93996998,0.47712443,0.04488410,0.36918719,0.06821261,0.02592566,0.00010851,0.01137228,0.00045142,0.08244422
-5.93396698,0.48904799,0.03984215,0.38730899,0.06312826,0.02597652,0.00010786,0.01025306,0.00042825,0.07837365
-5.92796398,0.50483781,0.03557866,0.40839284,0.05889185,0.02611700,0.00010975,0.00934134,0.00041590,0.07461451
-5.92196098,0.52417137,0.03202970,0.43221112,0.05543744,0.02633342,0.00011401,0.00862008,0.00041340,0.07111711
-5.91595798,0.54669212,0.02912834,0.45849971,0.05269670,0.02661310,0.00012047,0.00807115,0.00041973,0.06783841
-5.90995498,0.57200973,0.02680633,0.48695676,0.05060037,0.02694424,0.00012894,0.00767579,0.00043391,0.06474257
-5.90395198,0.59970062,0.02499563,0.51724210,0.04907933,0.02731585,0.00013926,0.00741499,0.00045497,0.06180103
-5.89794897,0.62930927,0.02362957,0.54897781,0.04806546,0.02771758,0.00015123,0.00726978,0.00048195,0.05899233
-5.89194597,0.66035063,0.02264394,0.58175028,0.04749221,0.02813964,0.00016465,0.00722158,0.00051390,0.05630167
-5.88594297,0.69231403,0.02197779,0.61511398,0.04729501,0.02857272,0.00017934,0.00725240,0.00054987,0.05372024
-5.87993997,0.72466892,0.02157410,0.64859712,0.04741157,0.02900794,0.00019509,0.00734509,0.00058895,0.05124440
-5.87393697,0.75687252,0.02138030,0.68170937,0.04778208,0.02943689,0.00021169,0.00748352,0.00063022,0.04887494
-5.86793397,0.78837943,0.02134868,0.71395150,0.04834935,0.02985179,0.00022893,0.00765273,0.00067277,0.04661624
-5.86193097,0.81865312,0.02143672,0.74482681,0.04905909,0.03024562,0.00024662,0.00783911,0.00071572,0.04447558
-5.85592796,0.84717899,0.02160728,0.77385409,0.04986011,0.03061247,0.00026453,0.00803048,0.00075821,0.04246259
-5.84992496,0.87347863,0.02182888,0.80058154,0.05070469,0.03094787,0.00028248,0.00821626,0.00079942,0.04058884
-5.84392196,0.89712473,0.02207574,0.82460132,0.05154902,0.03124919,0.00030027,0.00838752,0.00083855,0.03886767
-5.83791896,0.91775603,0.02232795,0.84556396,0.05235363,0.03151612,0.00031775,0.00853708,0.00087490,0.03731409
-5.83191596,0.93509161,0.02257143,0.86319203,0.05308403,0.03175111,0.00033477,0.00865954,0.00090780,0.03594498
-5.82591296,0.94894372,0.02279802,0.87729248,0.05371123,0.03195980,0.00035119,0.00875134,0.00093667,0.03477929
-5.81990995,0.95922862,0.02300530,0.88776678,0.05421236,0.03215146,0.00036692,0.00881073,0.00096103,0.03383838
-5.81390695,0.96597445,0.02319650,0.89461851,0.05457114,0.03233921,0.00038191,0.00883776,0.00098051,0.03314642
-5.80790395,0.96932585,0.02338026,0.89795766,0.05477835,0.03254026,0.00039610,0.00883422,0.00099484,0.03273066
-5.80190095,0.96954463,0.02357026,0.89800140,0.05483205,0.03277591,0.00040951,0.00880350,0.00100386,0.03262168
-5.79589795,0.96700626,0.02378478,0.89507092,0.05473773,0.03307142,0.00042216,0.00875052,0.00100755,0.03285345
-5.78989495,0.96219199,0.02404618,0.88958437,0.05450813,0.03345568,0.00043410,0.00868149,0.00100600,0.03346318
-5.78389195,0.95567661,0.02438014,0.88204586,0.05416292,0.03396064,0.00044540,0.00860375,0.00099940,0.03449090
-5.77788894,0.94811210,0.02481490,0.87303075,0.05372809,0.03462060,0.00045616,0.00852551,0.00098806,0.03597875
