energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,4.84351921,0.09064981,0.00000000,1.40076740,0.88964153,2.93606820,0.00000000
-5.99399700,4.94015543,0.08776034,0.00000000,1.42652962,0.92443774,2.99734647,0.00000000
-5.98799400,5.03800811,0.08513080,0.00000000,1.45103937,0.96085285,3.05811455,0.00000000
-5.98199100,5.13492913,0.08273338,0.00000000,1.47356294,0.99840238,3.11709343,0.00000000
-5.97598799,5.22875423,0.08054317,0.00000000,1.49340858,1.03656379,3.17300584,0.00000000
-5.96998499,5.31732341,0.07853801,0.00000000,1.50993731,1.07477984,3.22458948,0.00000000
-5.96398199,5.39850264,0.07669807,0.00000000,1.52257259,1.11246334,3.27061091,0.00000000
-5.95797899,5.47020799,0.07500525,0.00000000,1.53080893,1.14900342,3.30988076,0.00000000
-5.95197599,5.53043287,0.07344255,0.00000000,1.53421949,1.18377363,3.34127062,0.00000000
-5.94597299,5.57727889,0.07199343,0.00000000,1.53246270,1.21614193,3.36373154,0.00000000
-5.93996998,5.60899004,0.07064119,0.00000000,1.52528785,1.24548251,3.37631420,0.00000000
-5.93396698,5.62398972,0.06936855,0.00000000,1.51253954,1.27118923,3.37819015,0.00000000
-5.92796398,5.62091951,0.06815741,0.00000000,1.49416089,1.29269042,3.36867339,0.00000000
-5.92196098,5.59867810,0.06698873,0.00000000,1.47019541,1.30946446,3.34724157,0.00000000
-5.91595798,5.55645886,0.06584271,0.00000000,1.44078720,1.32105561,3.31355560,0.00000000
-5.90995498,5.49378381,0.06469918,0.00000000,1.40617961,1.32708951,3.26747663,0.00000000
-5.90395198,5.41053238,0.06353810,0.00000000,1.36671195,1.32728748,3.20907945,0.00000000
-5.89794897,5.30696277,0.06234027,0.00000000,1.32281448,1.32147914,3.13866110,0.00000000
-5.89194597,5.18372454,0.06108813,0.00000000,1.27500144,1.30961249,3.05674409,0.00000000
-5.88594297,5.04186098,0.05976655,0.00000000,1.22386235,1.29176095,2.96407356,0.00000000
-5.87993997,4.88280051,0.05836367,0.00000000,1.17005161,1.26812699,2.86160808,0.00000000
-5.87393697,4.70833672,0.05687166,0.00000000,1.11427668,1.23904184,2.75050408,0.00000000
-5.86793397,4.52059717,0.05528727,0.00000000,1.05728498,1.20496122,2.63209415,0.00000000
-5.86193097,4.32200168,0.05361235,0.00000000,0.99984993,1.16645706,2.50785990,0.00000000
-5.85592796,4.11521113,0.05185401,0.00000000,0.94275638,1.12420549,2.37939996,0.00000000
-5.84992496,3.90306839,0.05002470,0.00000000,0.88678566,1.07897116,2.24839436,0.00000000
-5.84392196,3.68853323,0.04814193,0.00000000,0.83270081,1.03158871,2.11656627,0.00000000
-5.83791896,3.47461315,0.04622788,0.00000000,0.78123203,0.98294171,1.98564249,0.00000000
-5.83191596,3.26429253,0.04430867,0.00000000,0.73306291,0.93393994,1.85731379,0.00000000
-5.82591296,3.06046215,0.04241357,0.00000000,0.68881741,0.88549559,1.73319645,0.00000000
-5.81990995,2.86585133,0.04057398,0.00000000,0.64904808,0.83849937,1.61479616,0.00000000
-5.81390695,2.68296466,0.03882240,0.00000000,0.61422558,0.79379704,1.50347520,0.00000000
-5.80790395,2.51402525,0.03719126,0.00000000,0.58472971,0.75216735,1.40042388,0.00000000
-5.80190095,2.36092583,0.03571183,0.00000000,0.56084212,0.71430191,1.30663693,0.00000000
-5.79589795,2.22518920,0.03441320,0.00000000,0.54274088,0.68078761,1.22289532,0.00000000
-5.78989495,2.10793895,0.03332135,0.00000000,0.53049696,0.65209228,1.14975390,0.00000000
-5.78389195,2.00988106,0.03245839,0.00000000,0.52407288,0.62855370,1.08753507,0.00000000
-5.77788894,1.93129683,0.03184201,0.00000000,0.52332355,0.61037267,1.03632842,0.00000000
