energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,9.97975386,0.06504065,0.80923236,5.76421195,2.73849335,0.07842231,3.83144720,1.42108231,0.41572621
-5.99399700,10.12124937,0.06487652,0.82963687,5.96108972,2.78271609,0.07607330,3.86061816,1.42488288,0.42245350
-5.98799400,10.24390230,0.06453148,0.84832196,6.14081557,2.82030780,0.07383113,3.88486467,1.42690636,0.42839270
-5.98199100,10.34425536,0.06400734,0.86489635,6.29973409,2.85032643,0.07171095,3.90309182,1.42669634,0.43343581
-5.97598799,10.41901389,0.06330748,0.87897764,6.43438783,2.87190709,0.06972386,3.91422790,1.42383690,0.43747743
-5.96998499,10.46516783,0.06243692,0.89020421,6.54162695,2.88429257,0.06787713,3.91726978,1.41797148,0.44041886
-5.96398199,10.48011008,0.06140241,0.89824717,6.61871400,2.88686185,0.06617460,3.91132764,1.40881984,0.44217224
-5.95797899,10.46174501,0.06021241,0.90282182,6.66341877,2.87915546,0.06461709,3.89566663,1.39619196,0.44266461
-5.95197599,10.40858160,0.05887717,0.90369804,6.67409910,2.86089612,0.06320289,3.86974317,1.37999821,0.44184155
-5.94597299,10.31980592,0.05740864,0.90070917,6.64976344,2.83200358,0.06192823,3.83323382,1.36025528,0.43967018
-5.93996998,10.19532914,0.05582037,0.89375899,6.59011215,2.79260279,0.06078768,3.78605522,1.33708722,0.43614153
-5.93396698,10.03580827,0.05412739,0.88282637,6.49555547,2.74302499,0.05977456,3.72837379,1.31072179,0.43127189
-5.92796398,9.84263850,0.05234592,0.86796757,6.36720707,2.68380129,0.05888117,3.66060495,1.28148220,0.42510327
-5.92196098,9.61791749,0.05049311,0.84931590,6.20685340,2.61564938,0.05809901,3.58340182,1.24977458,0.41770276
-5.91595798,9.36438349,0.04858670,0.82707895,6.01690026,2.53945364,0.05741888,3.49763413,1.21607207,0.40916105
-5.90995498,9.08533073,0.04664457,0.80153343,5.80029901,2.45623986,0.05683092,3.40435879,1.18089633,0.39958996
-5.90395198,8.78450648,0.04468441,0.77301798,5.56045600,2.36714571,0.05632454,3.30478372,1.14479750,0.38911928
-5.89794897,8.46599544,0.04272320,0.74192422,5.30112913,2.27338848,0.05588841,3.20022730,1.10833383,0.37789304
-5.89194597,8.13409738,0.04077687,0.70868660,5.02631659,2.17623151,0.05551033,3.09207562,1.07205207,0.36606553
-5.88594297,7.79320427,0.03885985,0.67377136,4.74014237,2.07695123,0.05517719,2.98173999,1.03646969,0.35379709
-5.87993997,7.44768297,0.03698482,0.63766520,4.44674357,1.97680590,0.05487494,2.87061718,1.00205986,0.34125008
-5.87393697,7.10176886,0.03516242,0.60086411,4.15016398,1.87700777,0.05458862,2.76005422,0.96924001,0.32858529
-5.86793397,6.75947504,0.03340105,0.56386277,3.85425796,1.77869956,0.05430250,2.65131960,0.93836435,0.31595868
-5.86193097,6.42452040,0.03170687,0.52714486,3.56260785,1.68293605,0.05400027,2.54558205,0.90972071,0.30351896
-5.85592796,6.10027872,0.03008375,0.49117468,3.27845716,1.59067142,0.05366533,2.44389739,0.88353147,0.29140584
-5.84992496,5.78974928,0.02853342,0.45639011,3.00466119,1.50275215,0.05328125,2.34720371,0.85995844,0.27974907
-5.84392196,5.49554836,0.02705567,0.42319715,2.74365529,1.41991543,0.05283217,2.25632410,0.83911096,0.26866823
-5.83791896,5.21991938,0.02564861,0.39196600,2.49744046,1.34279240,0.05230334,2.17197601,0.82105649,0.25827322
-5.83191596,4.96475866,0.02430903,0.36302849,2.26758494,1.27191533,0.05168168,2.09478565,0.80583266,0.24866524
-5.82591296,4.73165249,0.02303273,0.33667689,2.05523979,1.20772766,0.05095634,2.02530561,0.79345990,0.23993811
-5.81990995,4.52192114,0.02181496,0.31316360,1.86116609,1.15059569,0.05011916,1.96403359,0.78395341,0.23217984
-5.81390695,4.33666476,0.02065076,0.29270177,1.68577094,1.10082074,0.04916516,1.91143028,0.77733367,0.22547398
-5.80790395,4.17680670,0.01953536,0.27546617,1.52914925,1.05865039,0.04809284,1.86793434,0.77363441,0.21990083
-5.80190095,4.04312987,0.01846451,0.26159444,1.39112866,1.02428789,0.04690439,1.83397274,0.77290761,0.21553814
-5.79589795,3.93630270,0.01743473,0.25118808,1.27131473,0.99789878,0.04560577,1.80996530,0.77522489,0.21246120
-5.78989495,3.85689235,0.01644354,0.24431323,1.16913427,0.97961409,0.04420662,1.79632240,0.78067524,0.21074228
-5.78389195,3.80536378,0.01548960,0.24100092,1.08387490,0.96952981,0.04271997,1.79343570,0.78935911,0.21044925
-5.77788894,3.78206459,0.01457277,0.24124684,1.01471944,0.96770275,0.04116190,1.80166212,0.80137929,0.21164350
-5.77188594,3.78719687,0.01369411,0.24501053,0.96077453,0.97414288,0.03955092,1.82130194,0.81682924,0.21437726
-5.76588294,3.82077827,0.01285580,0.25221413,0.92109295,0.98880299,0.03790742,1.85257231,0.83577953,0.21869036
-5.75987994,3.88259566,0.01206102,0.26274086,0.89469003,1.01156650,0.03625288,1.89557811,0.85826360,0.22460671
-5.75387694,3.97215520,0.01131377,0.27643342,0.88055468,1.04223441,0.03460913,1.95028202,0.88426376,0.23213072
-5.74787394,4.08863345,0.01061863,0.29309263,0.87765604,1.08051263,0.03299759,2.01647622,0.91369847,0.24124380
-5.74187094,4.23083395,0.00998058,0.31247655,0.88494670,1.12600097,0.03143851,2.09375792,0.94641202,0.25190147
-5.73586793,4.39715367,0.00940470,0.33430047,0.90136407,1.17818490,0.02995032,2.18151073,0.98216745,0.26403099
-5.72986493,4.58556320,0.00889595,0.35823803,0.92583077,1.23643110,0.02854904,2.27889385,1.02064330,0.27752996
-5.72386193,4.79360381,0.00845895,0.38392363,0.95725558,1.29998772,0.02724782,2.38484030,1.06143471,0.29226603
-5.71785893,5.01840343,0.00809775,0.41095647,0.99453559,1.36798990,0.02605667,2.49806515,1.10405908,0.30807775
-5.71185593,5.25671247,0.00781565,0.43890614,1.03656063,1.43947078,0.02498220,2.61708402,1.14796606,0.32477668
-5.70585293,5.50495932,0.00761512,0.46731990,1.08222018,1.51337796,0.02402769,2.74024158,1.19255153,0.34215075
-5.69984992,5.75932396,0.00749761,0.49573143,1.13041317,1.58859504,0.02319313,2.86574893,1.23717495,0.35996870
-5.69384692,6.01582709,0.00746354,0.52367095,1.18006039,1.66396751,0.02247548,2.99172870,1.28117925,0.37798556
-5.68784392,6.27043127,0.00751230,0.55067626,1.23011932,1.73833201,0.02186902,3.11626573,1.32391219,0.39594877
-5.68184092,6.51914977,0.00764221,0.57630449,1.27960063,1.81054778,0.02136575,3.23746115,1.36474817,0.41360491
-5.67583792,6.75815828,0.00785061,0.60014400,1.32758567,1.87952903,0.02095588,3.35348751,1.40310951,0.43070655
-5.66983492,6.98390479,0.00813396,0.62182595,1.37324413,1.94427676,0.02062837,3.46264241,1.43848592,0.44701905
-5.66383192,7.19321252,0.00848792,0.64103512,1.41585086,2.00390861,0.02037136,3.56339832,1.47045160,0.46232693
-5.65782891,7.38337177,0.00890752,0.65751953,1.45480106,2.05768569,0.02017277,3.65444639,1.49867894,0.47643964
-5.65182591,7.55221681,0.00938730,0.67109830,1.48962305,2.10503494,0.02002068,3.73473267,1.52294852,0.48919644
-5.64582291,7.69818473,0.00992148,0.68166766,1.51998798,2.14556639,0.01990375,3.80348520,1.54315508,0.50047021
-5.63981991,7.82035457,0.01050414,0.68920455,1.54571591,2.17908447,0.01981159,3.86023137,1.55930928,0.51017013
-5.63381691,7.91846530,0.01112940,0.69376800,1.56677816,2.20559303,0.01973498,3.90480506,1.57153567,0.51824312
-5.62781391,7.99291303,0.01179156,0.69549795,1.58329574,2.22529412,0.01966610,3.93734391,1.58006702,0.52467412
-5.62181091,8.04472808,0.01248529,0.69461178,1.59553392,2.23858033,0.01959861,3.95827725,1.58523566,0.52948521
-5.61580790,8.07553368,0.01320574,0.69139859,1.60389344,2.24602149,0.01952770,3.96830582,1.58746233,0.53273366
-5.60980490,8.08748872,0.01394864,0.68621165,1.60889855,2.24834601,0.01945010,3.96837443,1.58724330,0.53450920
-5.60380190,8.08321717,0.01471043,0.67945911,1.61118261,2.24641784,0.01936397,3.95963920,1.58513642,0.53493047
-5.59779890,8.06572738,0.01548825,0.67159356,1.61147175,2.24120971,0.01926877,3.94343079,1.58174662,0.53414104
-5.59179590,8.03832420,0.01627998,0.66310063,1.61056712,2.23377382,0.01916515,3.92121526,1.57771150,0.53230498
-5.58579290,8.00451726,0.01708420,0.65448725,1.60932656,2.22521080,0.01905471,3.89455400,1.57368738,0.52960238
-5.57978989,7.96792800,0.01790018,0.64626973,1.60864591,2.21663797,0.01893985,3.86506389,1.57033613,0.52622467
-5.57378689,7.93219821,0.01872770,0.63896211,1.60944064,2.20915780,0.01882352,3.83437891,1.56831300,0.52237018
-5.56778389,7.90090222,0.01956704,0.63306509,1.61262806,2.20382749,0.01870905,3.80411395,1.56825541,0.51823980
-5.56178089,7.87746454,0.02041875,0.62905565,1.61911030,2.20163045,0.01859992,3.77583142,1.57077279,0.51403289
-5.55577789,7.86508444,0.02128357,0.62737778,1.62975822,2.20345034,0.01849961,3.75101111,1.57643738,0.50994348
-5.54977489,7.86666843,0.02216222,0.62843410,1.64539631,2.21004836,0.01841141,3.73102339,1.58577566,0.50615678
-5.54377189,7.88477141,0.02305529,0.63257875,1.66678844,2.22204427,0.01833831,3.71710577,1.59926047,0.50284599
-5.53776888,7.92154682,0.02396306,0.64011137,1.69462435,2.23990143,0.01828283,3.71034286,1.61730349,0.50016933
-5.53176588,7.97870595,0.02488539,0.65127218,1.72950683,2.26391633,0.01824698,3.71164927,1.64024802,0.49826740
-5.52576288,8.05748638,0.02582160,0.66623814,1.77193920,2.29421256,0.01823217,3.72175550,1.66836196,0.49726071
-5.51975988,8.15862926,0.02677038,0.68512008,1.82231318,2.33073934,0.01823916,3.74119631,1.70183090,0.49724751
-5.51375688,8.28236511,0.02772977,0.70796070,1.88089692,2.37327459,0.01826806,3.77030158,1.74075141,0.49830171
-5.50775388,8.42840787,0.02869704,0.73473347,1.94782327,2.42143217,0.01831834,3.80918935,1.78512467,0.50047114
-5.50175088,8.59595673,0.02966876,0.76534220,2.02307836,2.47467308,0.01838884,3.85776104,1.83485050,0.50377598
-5.49574787,8.78370542,0.03064074,0.79962142,2.10649078,2.53232022,0.01847783,3.91569890,1.88972213,0.50820747
-5.48974487,8.98985881,0.03160810,0.83733744,2.19772169,2.59357616,0.01858305,3.98246575,1.94942209,0.51372700
-5.48374187,9.21215663,0.03256525,0.87819015,2.29625645,2.65754340,0.01870179,4.05730735,2.01351937,0.52026558
-5.47773887,9.44790426,0.03350600,0.92181569,2.40139841,2.72324659,0.01883096,4.13925773,2.08146846,0.52772382
-5.47173587,9.69401087,0.03442356,0.96778990,2.51226549,2.78965605,0.01896721,4.22714785,2.15261057,0.53597249
-5.46573287,9.94703496,0.03531061,1.01563284,2.62779060,2.85571212,0.01910699,4.31961825,2.22617745,0.54485383
-5.45972986,10.20323759,0.03615941,1.06481431,2.74672641,2.92034969,0.01924669,4.41513597,2.30129816,0.55418358
-5.45372686,10.45864351,0.03696184,1.11476056,2.86765543,2.98252249,0.01938272,4.51201632,2.37700907,0.56375388
-5.44772386,10.70911028,0.03770954,1.16486223,2.98900600,3.04122666,0.01951168,4.60844977,2.45226734,0.57333710
-5.44172086,10.95040504,0.03839402,1.21448348,3.10907444,3.09552314,0.01963048,4.70253410,2.52596773,0.58269063
-5.43571786,11.17828846,0.03900683,1.26297240,3.22605373,3.14455858,0.01973647,4.79231173,2.59696287,0.59156244
-5.42971486,11.38860482,0.03953970,1.30967242,3.33806839,3.18758441,0.01982763,4.87581177,2.66408649,0.59969764
-5.42371186,11.57737662,0.03998479,1.35393467,3.44321504,3.22397362,0.01990273,4.95109609,2.72617909,0.60684556
-5.41770885,11.74090164,0.04033491,1.39513104,3.53960778,3.25323512,0.01996150,5.01630835,2.78211555,0.61276741
-5.41170585,11.87584966,0.04058375,1.43266742,3.62542706,3.27502523,0.02000480,5.06972455,2.83083352,0.61724423
-5.40570285,11.97935578,0.04072619,1.46599698,3.69897042,3.28915596,0.02003479,5.10980333,2.87136183,0.62008471
-5.39969985,12.04910678,0.04075853,1.49463288,3.75870316,3.29559992,0.02005511,5.13523421,2.90284756,0.62113275
