energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,2.21680403,0.44796498,1.63205043,0.00302793,0.03897918,0.39117340,0.00000000,0.29920767,0.06070962
-5.99399700,2.24554193,0.45409865,1.65869317,0.00308548,0.03826859,0.39302248,0.00000000,0.30162181,0.06074126
-5.98799400,2.26806699,0.45919550,1.68073426,0.00316990,0.03745923,0.39384255,0.00000000,0.30305276,0.06073557
-5.98199100,2.28315760,0.46295900,1.69721667,0.00327421,0.03654260,0.39343769,0.00000000,0.30336009,0.06064998
-5.97598799,2.28978358,0.46513375,1.70732474,0.00339160,0.03551343,0.39164686,0.00000000,0.30243328,0.06044635
-5.96998499,2.28713258,0.46551078,1.71040496,0.00351557,0.03436996,0.38834783,0.00000000,0.30019414,0.06009178
-5.96398199,2.27462934,0.46393143,1.70598143,0.00363995,0.03311405,0.38345969,0.00000000,0.29659817,0.05955932
-5.95797899,2.25194720,0.46028967,1.69376582,0.00375904,0.03175113,0.37694412,0.00000000,0.29163481,0.05882842
-5.95197599,2.21901169,0.45453289,1.67366130,0.00386767,0.03029004,0.36880518,0.00000000,0.28532654,0.05788522
-5.94597299,2.17599633,0.44666116,1.64576076,0.00396126,0.02874270,0.35908777,0.00000000,0.27772711,0.05672264
-5.93996998,2.12331111,0.43672499,1.61033949,0.00403592,0.02712362,0.34787489,0.00000000,0.26891880,0.05534018
-5.93396698,2.06158440,0.42482182,1.56784279,0.00408846,0.02544942,0.33528380,0.00000000,0.25900891,0.05374368
-5.92796398,1.99163919,0.41109137,1.51886930,0.00411647,0.02373819,0.32146136,0.00000000,0.24812580,0.05194480
-5.92196098,1.91446504,0.39571006,1.46415075,0.00411832,0.02200885,0.30657865,0.00000000,0.23641437,0.04996039
-5.91595798,1.83118669,0.37888473,1.40452916,0.00409319,0.02028059,0.29082522,0.00000000,0.22403154,0.04781179
-5.90995498,1.74303092,0.36084598,1.34093222,0.00404101,0.01857217,0.27440315,0.00000000,0.21114151,0.04552397
-5.90395198,1.65129266,0.34184125,1.27434801,0.00396247,0.01690148,0.25752120,0.00000000,0.19791133,0.04312475
-5.89794897,1.55730171,0.32212794,1.20579968,0.00385895,0.01528504,0.24038920,0.00000000,0.18450666,0.04064385
-5.89194597,1.46239092,0.30196683,1.13632102,0.00373246,0.01373762,0.22321284,0.00000000,0.17108805,0.03811210
-5.88594297,1.36786689,0.28161591,1.06693345,0.00358554,0.01227206,0.20618916,0.00000000,0.15780760,0.03556058
-5.87993997,1.27498364,0.26132481,0.99862510,0.00342119,0.01089905,0.18950264,0.00000000,0.14480635,0.03301991
-5.87393697,1.18491996,0.24132996,0.93233219,0.00324276,0.00962714,0.17332214,0.00000000,0.13221220,0.03051957
-5.86793397,1.09876054,0.22185055,0.86892321,0.00305383,0.00846279,0.15779856,0.00000000,0.12013847,0.02808733
-5.86193097,1.01748122,0.20308534,0.80918576,0.00285815,0.00741054,0.14306343,0.00000000,0.10868308,0.02574883
-5.85592796,0.94193810,0.18521037,0.75381645,0.00265951,0.00647319,0.12922812,0.00000000,0.09792833,0.02352719
-5.84992496,0.87286067,0.16837750,0.70341349,0.00246166,0.00565210,0.11638390,0.00000000,0.08794112,0.02144282
-5.84392196,0.81084844,0.15271376,0.65847214,0.00226824,0.00494750,0.10460255,0.00000000,0.07877372,0.01951328
-5.83791896,0.75637096,0.13832146,0.61938270,0.00208274,0.00435881,0.09393749,0.00000000,0.07046478,0.01775328
-5.83191596,0.70977085,0.12527895,0.58643096,0.00190840,0.00388493,0.08442540,0.00000000,0.06304079,0.01617473
-5.82591296,0.67126933,0.11364190,0.55980083,0.00174823,0.00352457,0.07608812,0.00000000,0.05651753,0.01478686
-5.81990995,0.64097404,0.10344506,0.53957897,0.00160497,0.00327651,0.06893470,0.00000000,0.05090180,0.01359650
-5.81390695,0.61888861,0.09470424,0.52576118,0.00148108,0.00313978,0.06296362,0.00000000,0.04619308,0.01260822
-5.80790395,0.60492356,0.08741865,0.51826023,0.00137876,0.00311383,0.05816492,0.00000000,0.04238512,0.01182469
-5.80190095,0.59890823,0.08157312,0.51691494,0.00129995,0.00319862,0.05452229,0.00000000,0.03946752,0.01124692
-5.79589795,0.60060325,0.07714046,0.52150016,0.00124634,0.00339462,0.05201492,0.00000000,0.03742699,0.01087449
-5.78989495,0.60971308,0.07408357,0.53173738,0.00121941,0.00370279,0.05061911,0.00000000,0.03624845,0.01070588
-5.78389195,0.62589842,0.07235746,0.54730559,0.00122042,0.00412440,0.05030960,0.00000000,0.03591588,0.01073859
-5.77788894,0.64878789,0.07191093,0.56785211,0.00125046,0.00466088,0.05106051,0.00000000,0.03641290,0.01096936
-5.77188594,0.67798877,0.07268799,0.59300302,0.00131043,0.00531359,0.05284599,0.00000000,0.03772296,0.01139428
-5.76588294,0.71309644,0.07462893,0.62237287,0.00140107,0.00608350,0.05564047,0.00000000,0.03982939,0.01200883
-5.75987994,0.75370220,0.07767110,0.65557330,0.00152293,0.00697088,0.05941863,0.00000000,0.04271512,0.01280789
-5.75387694,0.79939931,0.08174941,0.69222035,0.00167640,0.00797501,0.06415499,0.00000000,0.04636219,0.01378575
-5.74787394,0.84978708,0.08679655,0.73194021,0.00186166,0.00909378,0.06982336,0.00000000,0.05075105,0.01493598
-5.74187094,0.90447305,0.09274307,0.77437326,0.00207872,0.01032346,0.07639602,0.00000000,0.05585984,0.01625135
-5.73586793,0.96307319,0.09951728,0.81917632,0.00232736,0.01165838,0.08384282,0.00000000,0.06166350,0.01772373
-5.72986493,1.02521041,0.10704525,0.86602309,0.00260712,0.01309075,0.09213030,0.00000000,0.06813296,0.01934394
-5.72386193,1.09051158,0.11525074,0.91460304,0.00291736,0.01461052,0.10122077,0.00000000,0.07523438,0.02110169
-5.71785893,1.15860349,0.12405540,0.96461877,0.00325719,0.01620534,0.11107158,0.00000000,0.08292852,0.02298554
-5.71185593,1.22910816,0.13337915,1.01578237,0.00362551,0.01786060,0.12163467,0.00000000,0.09117037,0.02498281
-5.70585293,1.30163807,0.14314091,1.06781102,0.00402106,0.01955964,0.13285628,0.00000000,0.09990893,0.02707973
-5.69984992,1.37579180,0.15325966,1.12042231,0.00444245,0.02128398,0.14467714,0.00000000,0.10908740,0.02926151
-5.69384692,1.45115068,0.16365594,1.17332983,0.00488822,0.02301371,0.15703299,0.00000000,0.11864357,0.03151258
-5.68784392,1.52727694,0.17425373,1.22623942,0.00535692,0.02472796,0.16985553,0.00000000,0.12851058,0.03381687
-5.68184092,1.60371383,0.18498272,1.27884654,0.00584722,0.02640546,0.18307385,0.00000000,0.13861806,0.03615819
-5.67583792,1.67998801,0.19578096,1.33083516,0.00635800,0.02802511,0.19661620,0.00000000,0.14889341,0.03852068
-5.66983492,1.75561444,0.20659773,1.38187852,0.00688848,0.02956666,0.21041220,0.00000000,0.15926349,0.04088931
-5.66383192,1.83010382,0.21739660,1.43164173,0.00743837,0.03101130,0.22439531,0.00000000,0.16965640,0.04325040
-5.65782891,1.90297248,0.22815851,1.47978653,0.00800798,0.03234233,0.23850557,0.00000000,0.18000341,0.04559225
-5.65182591,1.97375434,0.23888477,1.52597792,0.00859838,0.03354568,0.25269244,0.00000000,0.19024102,0.04790560
-5.64582291,2.04201464,0.24959975,1.56989243,0.00921151,0.03461039,0.26691759,0.00000000,0.20031289,0.05018425
-5.63981991,2.10736463,0.26035317,1.61122779,0.00985031,0.03552901,0.28115763,0.00000000,0.21017173,0.05242542
-5.63381691,2.16947659,0.27122175,1.64971338,0.01051877,0.03629785,0.29540643,0.00000000,0.21978097,0.05463018
-5.62781391,2.22809838,0.28231004,1.68512097,0.01122202,0.03691707,0.30967708,0.00000000,0.22911614,0.05680365
-5.62181091,2.28306641,0.29375030,1.71727497,0.01196635,0.03739066,0.32400318,0.00000000,0.23816591,0.05895506
-5.61580790,2.33431631,0.30570133,1.74606174,0.01275912,0.03772629,0.33843931,0.00000000,0.24693269,0.06109772
-5.60980490,2.38189032,0.31834594,1.77143700,0.01360869,0.03793497,0.35306069,0.00000000,0.25543271,0.06324867
-5.60380190,2.42594057,0.33188719,1.79343097,0.01452429,0.03803065,0.36796170,0.00000000,0.26369560,0.06542826
-5.59779890,2.46672762,0.34654319,1.81215049,0.01551570,0.03802964,0.38325332,0.00000000,0.27176331,0.06765940
-5.59179590,2.50461374,0.36254054,1.82777792,0.01659303,0.03795004,0.39905941,0.00000000,0.27968857,0.06996675
-5.58579290,2.54005075,0.38010641,1.84056623,0.01776627,0.03781104,0.41551175,0.00000000,0.28753257,0.07237556
-5.57978989,2.57356228,0.39945946,1.85083053,0.01904487,0.03763223,0.43274403,0.00000000,0.29536225,0.07491051
-5.57378689,2.60572093,0.42079974,1.85893587,0.02043720,0.03743288,0.45088481,0.00000000,0.30324700,0.07759437
-5.56778389,2.63712084,0.44429784,1.86528183,0.02195004,0.03723131,0.47004964,0.00000000,0.31125493,0.08044650
-5.56178089,2.66834662,0.47008371,1.87028424,0.02358795,0.03704421,0.49033272,0.00000000,0.31944885,0.08348146
-5.55577789,2.69993985,0.49823550,1.87435488,0.02535273,0.03688613,0.51179823,0.00000000,0.32788211,0.08670761
-5.54977489,2.73236471,0.52876898,1.87788000,0.02724284,0.03676896,0.53447193,0.00000000,0.33659441,0.09012575
-5.54377189,2.76597424,0.56162796,1.88119871,0.02925287,0.03670165,0.55833327,0.00000000,0.34560779,0.09372807
-5.53776888,2.80097919,0.59667646,1.88458228,0.03137321,0.03668986,0.58330862,0.00000000,0.35492303,0.09749721
-5.53176588,2.83742117,0.63369296,1.88821561,0.03358969,0.03673588,0.60926594,0.00000000,0.36451669,0.10140574
-5.52576288,2.87515194,0.67236739,1.89218194,0.03588347,0.03683860,0.63601148,0.00000000,0.37433890,0.10541595
-5.51975988,2.91382028,0.71230128,1.89645175,0.03823110,0.03699357,0.66328876,0.00000000,0.38431215,0.10948009
-5.51375688,2.95286792,0.75301141,1.90087678,0.04060474,0.03719326,0.69078015,0.00000000,0.39433131,0.11354101
-5.50775388,2.99153519,0.79393711,1.90518981,0.04297263,0.03742731,0.71811137,0.00000000,0.40426476,0.11753330
-5.50175088,3.02887707,0.83445140,1.90901046,0.04529973,0.03768295,0.74485880,0.00000000,0.41395701,0.12138482
-5.49574787,3.06378927,0.87387559,1.91185711,0.04754862,0.03794549,0.77055960,0.00000000,0.42323250,0.12501866
-5.48974487,3.09504396,0.91149731,1.91316460,0.04968051,0.03819889,0.79472447,0.00000000,0.43190071,0.12835542
-5.48374187,3.12133376,0.94659111,1.91230712,0.05165647,0.03842632,0.81685247,0.00000000,0.43976234,0.13131576
-5.47773887,3.14132225,0.97844123,1.90862530,0.05343865,0.03861083,0.83644755,0.00000000,0.44661638,0.13382311
-5.47173587,3.15369909,1.00636545,1.90145634,0.05499173,0.03873607,0.85303602,0.00000000,0.45226777,0.13580645
-5.46573287,3.15723692,1.02973923,1.89016573,0.05628417,0.03878689,0.86618428,0.00000000,0.45653537,0.13720296
-5.45972986,3.15084773,1.04801901,1.87417902,0.05728952,0.03875009,0.87551599,0.00000000,0.45925986,0.13796053
-5.45372686,3.13363566,1.06076371,1.85301213,0.05798758,0.03861507,0.88072784,0.00000000,0.46031116,0.13803999
-5.44772386,3.10494398,1.06765346,1.82629860,0.05836536,0.03837442,0.88160330,0.00000000,0.45959514,0.13741690
-5.44172086,3.06439362,1.06850464,1.79381247,0.05841781,0.03802451,0.87802349,0.00000000,0.45705911,0.13608282
-5.43571786,3.01191153,1.06328067,1.75548559,0.05814832,0.03756605,0.86997484,0.00000000,0.45269602,0.13404614
-5.42971486,2.94774750,1.05209799,1.71141855,0.05756889,0.03700448,0.85755302,0.00000000,0.44654688,0.13133222
