energy_ev,total_up,Al_p_up,Al_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,4.83226002,0.18095011,0.00000000,2.06855956,1.37213471,0.03071280,3.09944894
-5.99399700,4.77092145,0.17447612,0.00000000,2.01781356,1.37218959,0.03051821,3.07727669
-5.98799400,4.71403864,0.16819106,0.00000000,1.96893496,1.37426380,0.03049267,3.05801602
-5.98199100,4.66179893,0.16214316,0.00000000,1.92212561,1.37836901,0.03061742,3.04162296
-5.97598799,4.61410591,0.15637013,0.00000000,1.87746819,1.38443851,0.03087077,3.02787061
-5.96998499,4.57059400,0.15089917,0.00000000,1.83493708,1.39232638,0.03122872,3.01635998
-5.96398199,4.53065469,0.14574736,0.00000000,1.79441353,1.40180973,0.03166553,3.00653790
-5.95797899,4.49347339,0.14092254,0.00000000,1.75570437,1.41259414,0.03215450,2.99772169
-5.95197599,4.45807566,0.13642459,0.00000000,1.71856354,1.42432233,0.03266868,2.98912939
-5.94597299,4.42338062,0.13224701,0.00000000,1.68271534,1.43658559,0.03318170,2.97991447
-5.93996998,4.38825914,0.12837884,0.00000000,1.64787823,1.44893773,0.03366859,2.96920333
-5.93396698,4.35159376,0.12480665,0.00000000,1.61378813,1.46091079,0.03410655,2.95613388
-5.92796398,4.31233751,0.12151652,0.00000000,1.58021971,1.47203183,0.03447568,2.93989330
-5.92196098,4.26956845,0.11849600,0.00000000,1.54700487,1.48184012,0.03475963,2.91975334
-5.91595798,4.22253706,0.11573573,0.00000000,1.51404704,1.48990371,0.03494608,2.89510122
-5.90995498,4.17070399,0.11323075,0.00000000,1.48133081,1.49583474,0.03502711,2.86546493
-5.90395198,4.11376631,0.11098136,0.00000000,1.44892601,1.49930270,0.03499939,2.83053162
-5.89794897,4.05167071,0.10899343,0.00000000,1.41698630,1.50004501,0.03486414,2.79015837
-5.89194597,3.98461318,0.10727821,0.00000000,1.38574196,1.49787440,0.03462693,2.74437500
-5.88594297,3.91302521,0.10585151,0.00000000,1.35548752,1.49268284,0.03429730,2.69337893
-5.87993997,3.83754743,0.10473244,0.00000000,1.32656470,1.48444187,0.03388814,2.63752260
-5.87393697,3.75899223,0.10394161,0.00000000,1.29934168,1.47319930,0.03341504,2.57729425
-5.86793397,3.67829750,0.10349912,0.00000000,1.27418976,1.45907264,0.03289536,2.51329323
-5.86193097,3.59647414,0.10342215,0.00000000,1.25145873,1.44223964,0.03234741,2.44620128
-5.85592796,3.51455029,0.10372264,0.00000000,1.23145242,1.42292650,0.03178942,2.37675120
-5.84992496,3.43351535,0.10440496,0.00000000,1.21440560,1.40139439,0.03123868,2.30569477
-5.84392196,3.35426694,0.10546384,0.00000000,1.20046384,1.37792522,0.03071062,2.23377139
-5.83791896,3.27756371,0.10688269,0.00000000,1.18966731,1.35280733,0.03021810,2.16167906
-5.83191596,3.20398648,0.10863241,0.00000000,1.18193966,1.32632203,0.02977079,2.09004915
-5.82591296,3.13391001,0.11067084,0.00000000,1.17708266,1.29873170,0.02937469,2.01942609
-5.81990995,3.06748679,0.11294285,0.00000000,1.17477705,1.27027024,0.02903194,1.95025288
-5.81390695,3.00464383,0.11538117,0.00000000,1.17458989,1.24113637,0.02874077,1.88286314
-5.80790395,2.94509261,0.11790793,0.00000000,1.17598795,1.21149028,0.02849564,1.81747982
-5.80190095,2.88835181,0.12043680,0.00000000,1.17835695,1.18145368,0.02828765,1.75422067
-5.79589795,2.83378150,0.12287570,0.00000000,1.18102562,1.15111363,0.02810500,1.69311000
-5.78989495,2.78062730,0.12513002,0.00000000,1.18329359,1.12052956,0.02793374,1.63409607
-5.78389195,2.72807202,0.12710602,0.00000000,1.18446193,1.08974348,0.02775846,1.57707323
-5.77788894,2.67529244,0.12871443,0.00000000,1.18386482,1.05879261,0.02756316,1.52190759
-5.77188594,2.62151812,0.12987396,0.00000000,1.18090102,1.02772389,0.02733213,1.46846493
-5.76588294,2.56608959,0.13051462,0.00000000,1.17506356,0.99660948,0.02705068,1.41663954
-5.75987994,2.50851282,0.13058057,0.00000000,1.16596639,0.96556243,0.02670597,1.36638242
-5.75387694,2.44850750,0.13003254,0.00000000,1.15336664,0.93475162,0.02628763,1.31772765
-5.74787394,2.38604664,0.12884953,0.00000000,1.13718166,0.90441513,0.02578827,1.27081542
-5.74187094,2.32138573,0.12702979,0.00000000,1.11749986,0.87487122,0.02520386,1.22591082
-5.73586793,2.25508002,0.12459103,0.00000000,1.09458502,0.84652620,0.02453389,1.18341729
-5.72986493,2.18798904,0.12156987,0.00000000,1.06887379,0.81987866,0.02378145,1.14388404
-5.72386193,2.12126816,0.11802051,0.00000000,1.04096655,0.79551965,0.02295305,1.10800694
-5.71785893,2.05634741,0.11401278,0.00000000,1.01161192,0.77412843,0.02205837,1.07662272
-5.71185593,1.99489833,0.10962952,0.00000000,0.98168564,0.75646387,0.02110981,1.05069627
-5.70585293,1.93879002,0.10496366,0.00000000,0.95216449,0.74335146,0.02012202,1.03130143
-5.69984992,1.89003599,0.10011487,0.00000000,0.92409636,0.73566605,0.01911127,1.01959552
-5.69384692,1.85073352,0.09518610,0.00000000,0.89856738,0.73431093,0.01809483,1.01678834
-5.68784392,1.82299753,0.09028008,0.00000000,0.87666738,0.74019337,0.01709032,1.02410618
-5.68184092,1.80889109,0.08549607,0.00000000,0.85945461,0.75419753,0.01611508,1.04275191
-5.67583792,1.81035453,0.08092667,0.00000000,0.84792099,0.77715516,0.01518558,1.07386206
-5.66983492,1.82913533,0.07665520,0.00000000,0.84295873,0.80981501,0.01431687,1.11846199
-5.66383192,1.86672073,0.07275339,0.00000000,0.84532935,0.85281164,0.01352215,1.17742041
-5.65782891,1.92427494,0.06927961,0.00000000,0.85563597,0.90663474,0.01281240,1.25140457
-5.65182591,2.00258281,0.06627772,0.00000000,0.87429948,0.97159967,0.01219613,1.34083750
-5.64582291,2.10200154,0.06377634,0.00000000,0.90153935,1.04782040,0.01167918,1.44585881
-5.63981991,2.22242198,0.06178874,0.00000000,0.93735952,1.13518586,0.01126470,1.56629041
-5.63381691,2.36324102,0.06031320,0.00000000,0.98153991,1.23334063,0.01095314,1.70160892
-5.62781391,2.52334609,0.05933383,0.00000000,1.03363373,1.34167112,0.01074238,1.85092596
-5.62181091,2.70111291,0.05882177,0.00000000,1.09297093,1.45929803,0.01062787,2.01297785
-5.61580790,2.89441719,0.05873668,0.00000000,1.15866784,1.58507607,0.01060290,2.18612591
-5.60980490,3.10066079,0.05902851,0.00000000,1.22964290,1.71760142,0.01065885,2.36836806
-5.60380190,3.31681236,0.05963947,0.00000000,1.30463847,1.85522749,0.01078552,2.55736273
