energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.72301301,0.00888032,0.00000000,0.00095718,0.14183110,0.32240860,0.00000000,0.22467108,0.23220614
-5.99399700,0.70346471,0.00881407,0.00000000,0.00094489,0.13732944,0.31412567,0.00000000,0.22055858,0.22315298
-5.98799400,0.68874863,0.00876078,0.00000000,0.00092673,0.13434176,0.30712977,0.00000000,0.21700365,0.21648025
-5.98199100,0.67895631,0.00872157,0.00000000,0.00090306,0.13292450,0.30141516,0.00000000,0.21401524,0.21227244
-5.97598799,0.67410658,0.00869781,0.00000000,0.00087434,0.13309851,0.29697411,0.00000000,0.21159821,0.21056172
-5.96998499,0.67413802,0.00869095,0.00000000,0.00084116,0.13484831,0.29379249,0.00000000,0.20975085,0.21132711
-5.96398199,0.67890296,0.00870230,0.00000000,0.00080416,0.13812231,0.29184539,0.00000000,0.20846240,0.21449463
-5.95797899,0.68816359,0.00873289,0.00000000,0.00076406,0.14283369,0.29109298,0.00000000,0.20771095,0.21993861
-5.95197599,0.70159043,0.00878329,0.00000000,0.00072158,0.14886212,0.29147706,0.00000000,0.20746170,0.22748406
-5.94597299,0.71876358,0.00885343,0.00000000,0.00067749,0.15605636,0.29291833,0.00000000,0.20766603,0.23691016
-5.93996998,0.73917709,0.00894253,0.00000000,0.00063252,0.16423748,0.29531483,0.00000000,0.20826118,0.24795482
-5.93396698,0.76224671,0.00904901,0.00000000,0.00058736,0.17320305,0.29854169,0.00000000,0.20917093,0.26032035
-5.92796398,0.78732096,0.00917045,0.00000000,0.00054268,0.18273180,0.30245222,0.00000000,0.21030717,0.27368013
-5.92196098,0.81369567,0.00930362,0.00000000,0.00049907,0.19258915,0.30688057,0.00000000,0.21157238,0.28768630
-5.91595798,0.84063149,0.00944460,0.00000000,0.00045705,0.20253310,0.31164578,0.00000000,0.21286297,0.30197823
-5.90995498,0.86737424,0.00958884,0.00000000,0.00041707,0.21232063,0.31655718,0.00000000,0.21407338,0.31619169
-5.90395198,0.89317720,0.00973140,0.00000000,0.00037948,0.22171433,0.32142098,0.00000000,0.21510063,0.32996853
-5.89794897,0.91732475,0.00986710,0.00000000,0.00034460,0.23048908,0.32604760,0.00000000,0.21584930,0.34296646
-5.89194597,0.93915639,0.00999079,0.00000000,0.00031265,0.23843854,0.33025966,0.00000000,0.21623651,0.35486881
-5.88594297,0.95809013,0.01009759,0.00000000,0.00028378,0.24538133,0.33389991,0.00000000,0.21619677,0.36539379
-5.87993997,0.97364422,0.01018312,0.00000000,0.00025812,0.25116655,0.33683902,0.00000000,0.21568627,0.37430303
-5.87393697,0.98545607,0.01024377,0.00000000,0.00023573,0.25567849,0.33898249,0.00000000,0.21468655,0.38140891
-5.86793397,0.99329764,0.01027685,0.00000000,0.00021664,0.25884026,0.34027654,0.00000000,0.21320715,0.38658047
-5.86193097,0.99708615,0.01028080,0.00000000,0.00020088,0.26061623,0.34071241,0.00000000,0.21128721,0.38974763
-5.85592796,0.99688971,0.01025528,0.00000000,0.00018843,0.26101321,0.34032888,0.00000000,0.20899572,0.39090339
-5.84992496,0.99292724,0.01020125,0.00000000,0.00017931,0.26008009,0.33921275,0.00000000,0.20643055,0.39010403
-5.84392196,0.98556264,0.01012095,0.00000000,0.00017348,0.25790620,0.33749718,0.00000000,0.20371608,0.38746705
-5.83791896,0.97529317,0.01001784,0.00000000,0.00017096,0.25461825,0.33535783,0.00000000,0.20099960,0.38316718
-5.83191596,0.96273253,0.00989646,0.00000000,0.00017173,0.25037603,0.33300687,0.00000000,0.19844656,0.37743029
-5.82591296,0.94858907,0.00976227,0.00000000,0.00017579,0.24536705,0.33068517,0.00000000,0.19623486,0.37052568
-5.81990995,0.93364020,0.00962139,0.00000000,0.00018313,0.23980043,0.32865270,0.00000000,0.19454844,0.36275694
-5.81390695,0.91870386,0.00948033,0.00000000,0.00019373,0.23390001,0.32717783,0.00000000,0.19357034,0.35445175
