energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,2.94956693,0.09607325,0.01021756,2.76038574,0.88549703,0.00405335,1.16265623
-5.99399700,2.96000337,0.10099438,0.01021881,2.76103861,0.89359311,0.00379107,1.18308116
-5.98799400,2.96685762,0.10571475,0.01020362,2.75744062,0.90080011,0.00352847,1.20262450
-5.98199100,2.96996438,0.11015856,0.01017273,2.74971268,0.90695599,0.00326902,1.22085188
-5.97598799,2.96904477,0.11424849,0.01012665,2.73789648,0.91185919,0.00301576,1.23727078
-5.96998499,2.96372146,0.11790803,0.01006554,2.72195899,0.91527649,0.00277122,1.25134883
-5.96398199,2.95354065,0.12106384,0.00998934,2.70180305,0.91695313,0.00253746,1.26253509
-5.95797899,2.93799990,0.12364829,0.00989780,2.67728301,0.91662447,0.00231603,1.27028333
-5.95197599,2.91658016,0.12560191,0.00979049,2.64822469,0.91402886,0.00210800,1.27407624
-5.94597299,2.88878038,0.12687574,0.00966696,2.61444822,0.90892090,0.00191397,1.27344931
-5.93996998,2.85415255,0.12743335,0.00952679,2.57579236,0.90108441,0.00173420,1.26801324
-5.93396698,2.81233555,0.12725258,0.00936966,2.53213870,0.89034453,0.00156857,1.25747373
-5.92796398,2.76308554,0.12632675,0.00919547,2.48343432,0.87657828,0.00141671,1.24164763
-5.92196098,2.70630161,0.12466541,0.00900437,2.42971133,0.85972304,0.00127800,1.22047469
-5.91595798,2.64204501,0.12229456,0.00879687,2.37110218,0.83978246,0.00115172,1.19402437
-5.90995498,2.57055113,0.11925618,0.00857380,2.30784982,0.81682968,0.00103702,1.16249731
-5.90395198,2.49223364,0.11560738,0.00833639,2.24031197,0.79100765,0.00093300,1.12622154
-5.89794897,2.40768063,0.11141889,0.00808624,2.16895942,0.76252651,0.00083878,1.08564369
-5.89194597,2.31764305,0.10677320,0.00782528,2.09436845,0.73165835,0.00075349,1.04131560
-5.88594297,2.22301633,0.10176233,0.00755575,2.01720777,0.69872962,0.00067634,0.99387726
-5.87993997,2.12481610,0.09648529,0.00728013,1.93822104,0.66411158,0.00060658,0.94403674
-5.87393697,2.02414950,0.09104545,0.00700103,1.85820572,0.62820938,0.00054358,0.89254832
-5.86793397,1.92218350,0.08554785,0.00672116,1.77798981,0.59145029,0.00048677,0.84018975
-5.86193097,1.82011206,0.08009656,0.00644323,1.69840763,0.55427168,0.00043570,0.78773973
-5.85592796,1.71912348,0.07479225,0.00616985,1.62027604,0.51710931,0.00038996,0.73595652
-5.84992496,1.62036960,0.06972988,0.00590347,1.54437254,0.48038641,0.00034928,0.68555859
-5.84392196,1.52493821,0.06499689,0.00564631,1.47141608,0.44450403,0.00031340,0.63720797
-5.83791896,1.43382957,0.06067153,0.00540034,1.40205188,0.40983299,0.00028218,0.59149675
-5.83191596,1.34793797,0.05682174,0.00516721,1.33684058,0.37670762,0.00025550,0.54893713
-5.82591296,1.26803880,0.05350432,0.00494823,1.27625235,0.34542148,0.00023330,0.50995512
-5.81990995,1.19478116,0.05076455,0.00474443,1.22066593,0.31622504,0.00021560,0.47488779
-5.81390695,1.12868600,0.04863611,0.00455651,1.17037239,0.28932519,0.00020242,0.44398389
