energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.93996998,1.61864218,-1.14228954,0.00207973,-0.01498465,0.18205410,-0.17316747,0.51554000,-0.26481137,0.00000000,-0.00000000,0.93970643,-0.32195455,0.36739696,-0.33199388,0.78961102,-0.52940032,0.00000000,-0.00000000
-5.93396698,1.71603552,-1.06751036,0.00228443,-0.01318554,0.19688385,-0.15542292,0.54428161,-0.25412112,0.00000000,-0.00000000,0.99717227,-0.30334877,0.39197405,-0.30654019,0.83231932,-0.50382991,0.00000000,-0.00000000
-5.92796398,1.81457914,-1.00840466,0.00252516,-0.01163033,0.21219546,-0.13997376,0.57242447,-0.24732362,0.00000000,-0.00000000,1.05237898,-0.28967015,0.41868051,-0.28563396,0.87475028,-0.48563435,0.00000000,-0.00000000
-5.92196098,1.91310420,-0.96528725,0.00280655,-0.01030711,0.22790219,-0.12683376,0.59952511,-0.24455645,0.00000000,-0.00000000,1.10443331,-0.28117950,0.44736481,-0.26924531,0.91626234,-0.47502566,0.00000000,-0.00000000
-5.91595798,2.01054470,-0.93825203,0.00313401,-0.00920181,0.24391818,-0.11598802,0.62518424,-0.24590462,0.00000000,-0.00000000,1.15250660,-0.27808860,0.47787685,-0.25727744,0.95628244,-0.47210778,0.00000000,-0.00000000
-5.90995498,2.10597865,-0.92718560,0.00351370,-0.00829877,0.26016000,-0.10739657,0.64906363,-0.25140178,0.00000000,-0.00000000,1.19586448,-0.28056132,0.51007077,-0.24957268,0.99433111,-0.47688047,0.00000000,-0.00000000
-5.90395198,2.19866301,-0.93178216,0.00395253,-0.00758126,0.27654767,-0.10099792,0.67090109,-0.26103162,0.00000000,-0.00000000,1.23389401,-0.28871420,0.54380634,-0.24591885,1.03004427,-0.48924413,0.00000000,-0.00000000
-5.89794897,2.28806055,-0.95155872,0.00445808,-0.00703202,0.29300512,-0.09671245,0.69052268,-0.27472926,0.00000000,-0.00000000,1.26612682,-0.30261615,0.57894873,-0.24605583,1.06319061,-0.50900511,0.00000000,-0.00000000
-5.89194597,2.37385685,-0.98587020,0.00503845,-0.00663367,0.30945996,-0.09444542,0.70785141,-0.29238268,0.00000000,-0.00000000,1.29225714,-0.32228713,0.61536659,-0.24968215,1.09368346,-0.53588144,0.00000000,-0.00000000
-5.88594297,2.45596662,-1.03392386,0.00570213,-0.00636912,0.32584279,-0.09408949,0.72291194,-0.31383397,0.00000000,-0.00000000,1.31215358,-0.34769555,0.65292885,-0.25646163,1.12158637,-0.56950869,0.00000000,-0.00000000
-5.87993997,2.53452843,-1.09479320,0.00645771,-0.00622198,0.34208587,-0.09552680,0.73583088,-0.33888065,0.00000000,-0.00000000,1.32586414,-0.37875464,0.69150024,-0.26602985,1.14711175,-0.60944597,0.00000000,-0.00000000
-5.87393697,2.60988810,-1.16743105,0.00731365,-0.00617681,0.35812151,-0.09863050,0.74683235,-0.36727689,0.00000000,-0.00000000,1.33361389,-0.41531769,0.73093603,-0.27800064,1.17061245,-0.65518228,0.00000000,-0.00000000
-5.86793397,2.68257124,-1.25068237,0.00827788,-0.00621951,0.37388030,-0.10326588,0.75622893,-0.39873491,0.00000000,-0.00000000,1.33579539,-0.45717276,0.77107650,-0.29197241,1.19256629,-0.70614302,0.00000000,-0.00000000
-5.86193097,2.75324630,-1.34329691,0.00935747,-0.00633745,0.38928924,-0.10929105,0.76440834,-0.43292674,0.00000000,-0.00000000,1.33295213,-0.50403713,0.81174152,-0.30753447,1.21355417,-0.76169709,0.00000000,-0.00000000
-5.85592796,2.82267988,-1.44394230,0.01055816,-0.00651978,0.40427027,-0.11655738,0.77181613,-0.46948632,0.00000000,-0.00000000,1.32575588,-0.55555204,0.85272595,-0.32427324,1.23423244,-0.82116454,0.00000000,-0.00000000
-5.84992496,2.89168671,-1.55121786,0.01188402,-0.00675756,0.41873915,-0.12490980,0.77893537,-0.50801235,0.00000000,-0.00000000,1.31497874,-0.61127837,0.89379623,-0.34177848,1.25530090,-0.88382506,0.00000000,-0.00000000
-5.84392196,2.96107679,-1.66366968,0.01333694,-0.00704394,0.43260511,-0.13418700,0.78626400,-0.54807187,0.00000000,-0.00000000,1.30146148,-0.67069381,0.93468884,-0.35964936,1.27746768,-0.94892731,0.00000000,-0.00000000
-5.83791896,3.03160273,-1.77980714,0.01491625,-0.00737422,0.44577131,-0.14422184,0.79429106,-0.58920478,0.00000000,-0.00000000,1.28607945,-0.73319217,0.97511085,-0.37750039,1.30141282,-1.01569918,0.00000000,-0.00000000
-5.83191596,3.10391006,-1.89812121,0.01661837,-0.00774597,0.45813625,-0.15484189,0.80347286,-0.63092937,0.00000000,-0.00000000,1.26970788,-0.79808543,1.01474302,-0.39496716,1.32775228,-1.08335908,0.00000000,-0.00000000
-5.82591296,3.17849339,-2.01710438,0.01843650,-0.00815898,0.46959624,-0.16587038,0.81421024,-0.67274888,0.00000000,-0.00000000,1.25318809,-0.86460880,1.05324539,-0.41171179,1.35700409,-1.15112791,0.00000000,-0.00000000
-5.81990995,3.25566071,-2.13527231,0.02036039,-0.00861529,0.48004884,-0.17712751,0.82682806,-0.71415905,0.00000000,-0.00000000,1.23729629,-0.93192932,1.09026552,-0.42742786,1.38955850,-1.21824183,0.00000000,-0.00000000
-5.81390695,3.33550812,-2.25118655,0.02237625,-0.00911903,0.48939717,-0.18843223,0.84155801,-0.75465657,0.00000000,-0.00000000,1.22271630,-0.99915795,1.12544902,-0.44184484,1.42565354,-1.28396522,0.00000000,-0.00000000
-5.80790395,3.41790608,-2.36347811,0.02446673,-0.00967627,0.49755494,-0.19960448,0.85852542,-0.79374823,0.00000000,-0.00000000,1.21001748,-1.06536511,1.15845207,-0.45473184,1.46535732,-1.34760380,0.00000000,-0.00000000
-5.80190095,3.50249835,-2.47087097,0.02661105,-0.01029475,0.50445203,-0.21046783,0.87774097,-0.83096050,0.00000000,-0.00000000,1.19963865,-1.12959944,1.18895538,-0.46590044,1.50855803,-1.40851717,0.00000000,-0.00000000
-5.79589795,3.58871332,-2.57220471,0.02878531,-0.01098362,0.51004015,-0.22085248,0.89909746,-0.86584936,0.00000000,-0.00000000,1.19187870,-1.19090918,1.21667902,-0.47520676,1.55496208,-1.46613054,0.00000000,-0.00000000
-5.78989495,3.67578748,-2.66645551,0.03096284,-0.01175296,0.51429847,-0.23059849,0.92237199,-0.89800980,0.00000000,-0.00000000,1.18689392,-1.24836548,1.24139723,-0.48255235,1.60410055,-1.51994498,0.00000000,-0.00000000
-5.78389195,3.76279936,-2.75275428,0.03311481,-0.01261337,0.51723884,-0.23955908,0.94723325,-0.92708484,0.00000000,-0.00000000,1.18470211,-1.30108679,1.26295268,-0.48788413,1.65534361,-1.56954576,0.00000000,-0.00000000
-5.77788894,3.84871237,-2.83040120,0.03521080,-0.01357543,0.51891019,-0.24760395,0.97325364,-0.95277350,0.00000000,-0.00000000,1.18519277,-1.34826322,1.28126915,-0.49119323,1.70792206,-1.61460840,0.00000000,-0.00000000
