energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,7.11110301,0.00198048,1.71808830,0.70286734,0.20044606,3.07648838,3.91873416,0.01808074,1.08305565
-5.99399700,7.11831820,0.00209078,1.74063862,0.69092728,0.19291438,3.10996530,3.95901534,0.01747543,1.05498033
-5.98799400,7.11343587,0.00222884,1.75934812,0.67878821,0.18500348,3.13892948,3.99075842,0.01699795,1.02680884
-5.98199100,7.09734989,0.00239604,1.77424370,0.66679625,0.17679301,3.16417447,4.01412546,0.01664198,0.99897455
-5.97598799,7.07152892,0.00259357,1.78551257,0.65530895,0.16837881,3.18678653,4.02961709,0.01640339,0.97196286
-5.96998499,7.03794828,0.00282246,1.79349182,0.64467936,0.15986977,3.20809825,4.03804788,0.01628002,0.94629085
-5.96398199,6.99899896,0.00308339,1.79865064,0.63524036,0.15138439,3.22963108,4.04050598,0.01627132,0.92248629
-5.95797899,6.95737805,0.00337672,1.80156609,0.62729010,0.14304724,3.25302950,4.03829891,0.01637808,0.90106708
-5.95197599,6.91596545,0.00370239,1.80289341,0.62107943,0.13498539,3.27999012,4.03288770,0.01660204,0.88252224
-5.94597299,6.87769290,0.00405990,1.80333238,0.61680178,0.12732508,3.31218912,4.02581258,0.01694555,0.86729516
-5.93996998,6.84541167,0.00444827,1.80359139,0.61458618,0.12018867,3.35121178,4.01861398,0.01741120,0.85577004
-5.93396698,6.82176528,0.00486602,1.80435113,0.61449373,0.11369192,3.39848744,4.01275284,0.01800162,0.84826181
-5.92796398,6.80907382,0.00531125,1.80622991,0.61651767,0.10794175,3.45523319,4.00953460,0.01871918,0.84501011
-5.92196098,6.80923534,0.00578158,1.80975231,0.62058713,0.10303449,3.52240902,4.01004092,0.01956589,0.84617712
-5.91595798,6.82364933,0.00627426,1.81532304,0.62657428,0.09905453,3.60068637,4.01507298,0.02054323,0.85184925
-5.90995498,6.85316578,0.00678622,1.82320745,0.63430450,0.09607353,3.69043140,4.02510946,0.02165211,0.86204228
-5.90395198,6.89806207,0.00731412,1.83351953,0.64356903,0.09414991,3.79170334,4.04028173,0.02289285,0.87670919
-5.89794897,6.95804827,0.00785445,1.84621826,0.65413933,0.09332883,3.90426742,4.06036740,0.02426519,0.89575023
-5.89194597,7.03229982,0.00840360,1.86111229,0.66578236,0.09364236,4.02762102,4.08480283,0.02576826,0.91902412
-5.88594297,7.11951499,0.00895796,1.87787261,0.67827589,0.09510983,4.16103079,4.11271357,0.02740060,0.94635966
-5.87993997,7.21799321,0.00951395,1.89605228,0.69142294,0.09773841,4.30357814,4.14296108,0.02916009,0.97756681
-5.87393697,7.32572909,0.01006812,1.91511213,0.70506452,0.10152359,4.45420974,4.17420281,0.03104393,1.01244644
-5.86793397,7.44051623,0.01061717,1.93445065,0.71908983,0.10644977,4.61178960,4.20496218,0.03304849,1.05079808
-5.86193097,7.56005463,0.01115800,1.95343624,0.73344350,0.11249070,4.77514945,4.23370433,0.03516911,1.09242520
-5.85592796,7.68205521,0.01168769,1.97144007,0.74812919,0.11960991,4.94313401,4.25891320,0.03739997,1.13713765
-5.84992496,7.80433570,0.01220355,1.98786735,0.76320950,0.12776088,5.11463873,4.27916576,0.03973377,1.18475125
-5.84392196,7.92490274,0.01270306,2.00218547,0.77880210,0.13688731,5.28863766,4.29319911,0.04216151,1.23508475
-5.83791896,8.04201635,0.01318387,2.01394739,0.79507238,0.14692313,5.46420049,4.29996709,0.04467222,1.28795435
-5.83191596,8.15423390,0.01364376,2.02280913,0.81222295,0.15779262,5.64049813,4.29868354,0.04725276,1.34316664
-5.82591296,8.26043276,0.01408061,2.02854057,0.83048067,0.16941044,5.81679754,4.28885034,0.04988766,1.40051044
-5.81990995,8.35981172,0.01449239,2.03102938,0.85008199,0.18168184,5.99244706,4.27026939,0.05255905,1.45974854
-5.81390695,8.45187307,0.01487712,2.03027817,0.87125743,0.19450298,6.16685424,4.24303873,0.05524672,1.52061011
-5.80790395,8.53638830,0.01523291,2.02639539,0.89421604,0.20776150,6.33945901,4.20753376,0.05792829,1.58278461
-5.80190095,8.61335142,0.01555793,2.01958111,0.91913091,0.22133736,6.50970486,4.16437572,0.06057958,1.64591800
-5.79589795,8.68292436,0.01585046,2.01010874,0.94612638,0.23510406,6.67701127,4.11438994,0.06317511,1.70961179
-5.78989495,8.74537931,0.01610895,1.99830421,0.97526770,0.24893019,6.84075019,4.05855701,0.06568870,1.77342528
-5.78389195,8.80104274,0.01633208,1.98452414,1.00655374,0.26268137,7.00022923,3.99796014,0.06809433,1.83688123
-5.77788894,8.85024530,0.01651882,1.96913436,1.03991300,0.27622261,7.15468330,3.93373220,0.07036694,1.89947481
-5.77188594,8.89328105,0.01666852,1.95249030,1.07520321,0.28942088,7.30327618,3.86700533,0.07248350,1.96068555
-5.76588294,8.93037856,0.01678101,1.93492013,1.11221425,0.30214811,7.44511229,3.79886592,0.07442391,2.01999163
-5.75987994,8.96168533,0.01685662,1.91671173,1.15067429,0.31428420,7.57925823,3.73031712,0.07617205,2.07688594
-5.75387694,8.98726565,0.01689629,1.89810387,1.19025863,0.32572021,7.70477290,3.66225019,0.07771663,2.13089295
-5.74787394,9.00711105,0.01690159,1.87928178,1.23060067,0.33636146,7.82074423,3.59542544,0.07905201,2.18158536
-5.74187094,9.02116162,0.01687475,1.86037703,1.27130437,0.34613047,7.92632992,3.53046286,0.08017881,2.22859978
-5.73586793,9.02933532,0.01681864,1.84147122,1.31195733,0.35496952,8.02079942,3.46784169,0.08110427,2.27165034
-5.72986493,9.03156236,0.01673674,1.82260283,1.35214398,0.36284286,8.10357394,3.40790792,0.08184248,2.31053955
-5.72386193,9.02782109,0.01663310,1.80377635,1.39145803,0.36973834,8.17426174,3.35088789,0.08241421,2.34516581
-5.71785893,9.01817215,0.01651223,1.78497283,1.42951365,0.37566836,8.23268579,3.29690648,0.08284657,2.37552700
-5.71185593,9.00278760,0.01637900,1.76616078,1.46595495,0.38067019,8.27890178,3.24600764,0.08317238,2.40172012
-5.70585293,8.98197276,0.01623858,1.74730663,1.50046328,0.38480550,8.31320498,3.19817569,0.08342927,2.42393696
-5.69984992,8.95617861,0.01609622,1.72838388,1.53276244,0.38815917,8.33612497,3.15335546,0.08365861,2.44245595
-5.69384692,8.92600385,0.01595720,1.70938037,1.56262149,0.39083742,8.34840850,3.11147004,0.08390421,2.45763085
-5.68784392,8.89218639,0.01582670,1.69030325,1.58985550,0.39296524,8.35099102,3.07243511,0.08421101,2.46987672
-5.68184092,8.85558467,0.01570963,1.67118145,1.61432430,0.39468329,8.34495868,3.03616915,0.08462359,2.47965396
-5.67583792,8.81715039,0.01561058,1.65206568,1.63592972,0.39614437,8.33150262,3.00259948,0.08518475,2.48745125
-5.66983492,8.77789423,0.01553371,1.63302608,1.65461161,0.39750948,8.31186838,2.97166421,0.08593411,2.49376818
-5.66383192,8.73884703,0.01548266,1.61414800,1.67034306,0.39894376,8.28730299,2.94331063,0.08690687,2.49909829
-5.65782891,8.70101887,0.01546052,1.59552638,1.68312528,0.40061229,8.25900298,2.91749088,0.08813263,2.50391328
-5.65182591,8.66535864,0.01546973,1.57725921,1.69298242,0.40267598,8.22806568,2.89415572,0.08963453,2.50864892
-5.64582291,8.63271630,0.01551209,1.55944068,1.69995681,0.40528756,8.19544673,2.87324747,0.09142851,2.51369311
-5.63981991,8.60381016,0.01558870,1.54215474,1.70410465,0.40858789,8.16192559,2.85469301,0.09352285,2.51937635
-5.63381691,8.57920049,0.01569993,1.52546931,1.70549252,0.41270243,8.12808059,2.83839781,0.09591801,2.52596475
-5.62781391,8.55927091,0.01584541,1.50943174,1.70419459,0.41773830,8.09427464,2.82424151,0.09860664,2.53365559
-5.62181091,8.54421776,0.01602399,1.49406581,1.70029075,0.42378151,8.06065160,2.81207579,0.10157388,2.54257523
-5.61580790,8.53404789,0.01623376,1.47937031,1.69386537,0.43089477,8.02714320,2.80172451,0.10479786,2.55277920
-5.60980490,8.52858403,0.01647199,1.46531936,1.68500671,0.43911562,7.99348550,2.79298633,0.10825040,2.56425417
-5.60380190,8.52747723,0.01673514,1.45186435,1.67380681,0.44845506,7.95924361,2.78563955,0.11189785,2.57692139
-5.59779890,8.53022494,0.01701890,1.43893729,1.66036163,0.45889659,7.92384299,2.77944879,0.11570209,2.59064134
-5.59179590,8.53619359,0.01731812,1.42645530,1.64477134,0.47039561,7.88660527,2.77417295,0.11962155,2.60521930
-5.58579290,8.54464404,0.01762695,1.41432597,1.62714062,0.48287940,7.84678687,2.76957400,0.12361241,2.62041147
-5.57978989,8.55475875,0.01793881,1.40245311,1.60757870,0.49624743,7.80361814,2.76542578,0.12762964,2.63593157
-5.57378689,8.56566918,0.01824651,1.39074273,1.58619934,0.51037226,7.75634138,2.76152231,0.13162819,2.65145761
-5.56778389,8.57648239,0.01854239,1.37910859,1.56312043,0.52510088,7.70424604,2.75768514,0.13556404,2.66663894
-5.56178089,8.58630607,0.01881840,1.36747740,1.53846339,0.54025673,7.64669987,2.75376912,0.13939519,2.68110336
-5.55577789,8.59427126,0.01906630,1.35579304,1.51235230,0.55564216,7.58317486,2.74966645,0.14308261,2.69446442
-5.54977489,8.59955241,0.01927786,1.34401990,1.48491297,0.57104163,7.51326750,2.74530884,0.14659103,2.70632890
-5.54377189,8.60138474,0.01944507,1.33214502,1.45627183,0.58622545,7.43671290,2.74066765,0.14988960,2.71630445
-5.53776888,8.59907870,0.01956032,1.32017912,1.42655491,0.60095412,7.35339276,2.73575221,0.15295245,2.72400746
-5.53176588,8.59203178,0.01961668,1.30815634,1.39588697,0.61498322,7.26333753,2.73060653,0.15575911,2.72907105
-5.52576288,8.57973785,0.01960810,1.29613300,1.36439077,0.62806868,7.16672302,2.72530463,0.15829472,2.73115323
-5.51975988,8.56179414,0.01952959,1.28418522,1.33218660,0.63997242,7.06386215,2.71994491,0.16055016,2.72994493
-5.51375688,8.53790610,0.01937746,1.27240571,1.29939213,0.65046815,6.95519259,2.71464383,0.16252201,2.72517781
-5.50775388,8.50789018,0.01914939,1.26089991,1.26612252,0.65934704,6.84126092,2.70952934,0.16421234,2.71663162
-5.50175088,8.47167452,0.01884460,1.24978150,1.23249075,0.66642329,6.72270412,2.70473426,0.16562841,2.70414077
-5.49574787,8.42929759,0.01846386,1.23916764,1.19860814,0.67153914,6.60022928,2.70038996,0.16678222,2.68759987
-5.48974487,8.38090448,0.01800952,1.22917396,1.16458506,0.67456925,6.47459201,2.69662045,0.16768992,2.66696789
-5.48374187,8.32674085,0.01748544,1.21990971,1.13053144,0.67542423,6.34657443,2.69353697,0.16837120,2.64227066
-5.47773887,8.26714415,0.01689693,1.21147287,1.09655739,0.67405316,6.21696334,2.69123325,0.16884849,2.61360156
-5.47173587,8.20253219,0.01625054,1.20394569,1.06277344,0.67044489,6.08652899,2.68978116,0.16914619,2.58112010
-5.46573287,8.13338878,0.01555393,1.19739061,1.02929053,0.66462815,5.95600512,2.68922701,0.16928978,2.54504838
-5.45972986,8.06024657,0.01481562,1.19184666,0.99621964,0.65667043,5.82607071,2.68958809,0.16930495,2.50566539
-5.45372686,7.98366734,0.01404475,1.18732646,0.96367091,0.64667553,5.69733366,2.69084955,0.16921670,2.46329922
-5.44772386,7.90421996,0.01325080,1.18381384,0.93175241,0.63478012,5.57031704,2.69296152,0.16904840,2.41831748
-5.44172086,7.82245667,0.01244337,1.18126223,0.90056834,0.62114918,5.44544789,2.69583633,0.16882099,2.37111609
-5.43571786,7.73888836,0.01163187,1.17959367,0.87021701,0.60597067,5.32304908,2.69934597,0.16855214,2.32210688
-5.42971486,7.65395982,0.01082532,1.17869871,0.84078839,0.58944966,5.20333431,2.70331984,0.16825546,2.27170451
-5.42371186,7.56802596,0.01003211,1.17843704,0.81236151,0.57180204,5.08640633,2.70754294,0.16793990,2.22031306
-5.41770885,7.48133024,0.00925983,1.17863907,0.78500185,0.55324823,4.97225867,2.71175474,0.16760920,2.16831301
-5.41170585,7.39398662,0.00851514,1.17910830,0.75875873,0.53400700,4.86078077,2.71564917,0.16726143,2.11604902
-5.40570285,7.30596610,0.00780361,1.17962470,0.73366306,0.51428970,4.75176653,2.71887590,0.16688880,2.06381911
-5.39969985,7.21708938,0.00712973,1.17994908,0.70972539,0.49429514,4.64492625,2.72104345,0.16647757,2.01186573
-5.39369685,7.12702638,0.00649683,1.17982839,0.68693461,0.47420520,4.53990183,2.72172443,0.16600816,1.96036915
-5.38769385,7.03530372,0.00590715,1.17900206,0.66525722,0.45418147,4.43628498,2.72046324,0.16545554,1.90944348
-5.38169085,6.94132057,0.00536184,1.17720931,0.64463751,0.43436275,4.33363811,2.71678652,0.16478972,1.85913560
-5.37568784,6.84437316,0.00486108,1.17419736,0.62499850,0.41486377,4.23151765,2.71021642,0.16397664,1.80942718
-5.36968484,6.74368761,0.00440417,1.16973033,0.60624376,0.39577479,4.12949912,2.70028656,0.16297911,1.76023959
-5.36368184,6.63846044,0.00398965,1.16359889,0.58826024,0.37716233,4.02720339,2.68656064,0.16175803,1.71144174
-5.35767884,6.52790557,0.00361545,1.15563003,0.57092174,0.35907067,3.92432353,2.66865305,0.16027380,1.66286050
-5.35167584,6.41130609,0.00327903,1.14569705,0.55409326,0.34152422,3.82065115,2.64625094,0.15848778,1.61429326
-5.34567284,6.28806882,0.00297751,1.13372912,0.53763582,0.32453040,3.71610152,2.61913686,0.15636391,1.56552201
-5.33966983,6.15777916,0.00270779,1.11972007,0.52141184,0.30808307,3.61073630,2.58721109,0.15387028,1.51632851
-5.33366683,6.02025360,0.00246672,1.10373606,0.50529056,0.29216607,3.50478296,2.55051236,0.15098064,1.46650968
