energy_ev,total_up,Cu_p_up,Cu_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,4.52415036,2.71491929,2.11761752,0.05983075,0.01114259,0.00842942,1.97263495
-5.99399700,4.54370428,2.73574305,2.12112738,0.06191321,0.01140907,0.00839558,1.98183177
-5.98799400,4.54162887,2.74374118,2.11458297,0.06385976,0.01162606,0.00835849,1.98127719
-5.98199100,4.51875935,2.73908447,2.09855040,0.06565119,0.01179176,0.00832588,1.97123802
-5.97598799,4.47638239,2.72219974,2.07380989,0.06727261,0.01190547,0.00830644,1.95216772
-5.96998499,4.41619203,2.69375119,2.04133087,0.06871379,0.01196750,0.00830954,1.92468935
-5.96398199,4.34023390,2.65461504,2.00224181,0.06996932,0.01197919,0.00834494,1.88957371
-5.95797899,4.25084053,2.60584910,1.95779601,0.07103867,0.01194281,0.00842247,1.84771383
-5.95197599,4.15056065,2.54865873,1.90933481,0.07192610,0.01186147,0.00855160,1.80009695
-5.94597299,4.04208555,2.48436115,1.85824984,0.07264033,0.01173901,0.00874112,1.74777524
-5.93996998,3.92817562,2.41434955,1.80594563,0.07319418,0.01157986,0.00899870,1.69183658
-5.93396698,3.81158972,2.34005884,1.75380409,0.07360400,0.01138893,0.00933054,1.63337631
-5.92796398,3.69502006,2.26293408,1.70315188,0.07388904,0.01117144,0.00974103,1.57347116
-5.92196098,3.58103438,2.18440289,1.65523162,0.07407066,0.01093279,0.01023239,1.51315603
-5.91595798,3.47202714,2.10585246,1.61117783,0.07417162,0.01067847,0.01080449,1.45340426
-5.90995498,3.37018055,2.02861154,1.57199783,0.07421520,0.01041390,0.01145460,1.39511183
-5.90395198,3.27743593,1.95393754,1.53855786,0.07422442,0.01014435,0.01217735,1.33908553
-5.89794897,3.19547524,1.88300836,1.51157455,0.07422128,0.00987489,0.01296465,1.28603527
-5.89194597,3.12571236,1.81691846,1.49161118,0.07422608,0.00961027,0.01380585,1.23657016
-5.88594297,3.06929293,1.75667845,1.47907870,0.07425681,0.00935493,0.01468784,1.19119805
-5.87993997,3.02710185,1.70321704,1.47424055,0.07432874,0.00911293,0.01559539,1.15032816
-5.87393697,2.99977658,1.65738461,1.47722098,0.07445406,0.00888795,0.01651151,1.11427607
-5.86793397,2.98772491,1.61995707,1.48801589,0.07464178,0.00868328,0.01741787,1.08327065
-5.86193097,2.99114542,1.59163914,1.50650549,0.07489765,0.00850182,0.01829535,1.05746213
-5.85592796,3.01004898,1.57306599,1.53246806,0.07522437,0.00834608,0.01912462,1.03693083
-5.84992496,3.04427973,1.56480255,1.56559397,0.07562180,0.00821821,0.01988669,1.02169588
-5.84392196,3.09353419,1.56733976,1.60549930,0.07608738,0.00811995,0.02056356,1.01172342
-5.83791896,3.15737721,1.58108749,1.65173834,0.07661651,0.00805267,0.02113881,1.00693380
-5.83191596,3.23525400,1.60636391,1.70381453,0.07720307,0.00801737,0.02159809,1.00720744
-5.82591296,3.32649743,1.64338152,1.76118933,0.07783983,0.00801462,0.02192965,1.01238909
-5.81990995,3.43033052,1.69223016,1.82328880,0.07851892,0.00804460,0.02212469,1.02229025
