energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,2.04855218,0.08642972,0.08603019,0.58495348,0.22271016,0.29097079,0.81887084,0.59869419,0.00000000
-5.99399700,2.02273870,0.08691251,0.08379796,0.56810221,0.21572031,0.27792687,0.83311275,0.58834185,0.00000000
-5.98799400,2.01926192,0.08845913,0.08235768,0.55703498,0.21065251,0.26820244,0.85818452,0.58497042,0.00000000
-5.98199100,2.03874634,0.09106766,0.08175618,0.55198325,0.20758167,0.26176090,0.89431478,0.58872916,0.00000000
-5.97598799,2.08140164,0.09471236,0.08202656,0.55306226,0.20654274,0.25850020,0.94154168,0.59964543,0.00000000
-5.96998499,2.14699430,0.09934348,0.08318669,0.56026564,0.20752867,0.25825576,0.99969522,0.61761764,0.00000000
-5.96398199,2.23482615,0.10488755,0.08523785,0.57346205,0.21048924,0.26080458,1.06838265,0.64240996,0.00000000
-5.95797899,2.34372175,0.11124823,0.08816365,0.59239392,0.21533082,0.26587016,1.14697787,0.67364935,0.00000000
-5.95197599,2.47202580,0.11830767,0.09192931,0.61667862,0.22191707,0.27312863,1.23461590,0.71082526,0.00000000
-5.94597299,2.61761240,0.12592846,0.09648123,0.64581231,0.23007072,0.28221566,1.33019345,0.75329242,0.00000000
-5.93996998,2.77790703,0.13395618,0.10174710,0.67917665,0.23957648,0.29273440,1.43237642,0.80027716,0.00000000
-5.93396698,2.94992225,0.14222258,0.10763642,0.71604840,0.25018499,0.30426421,1.53961486,0.85088751,0.00000000
-5.92796398,3.13030734,0.15054918,0.11404164,0.75561220,0.26161790,0.31637012,1.65016588,0.90412710,0.00000000
-5.92196098,3.31541155,0.15875141,0.12083979,0.79697616,0.27357388,0.32861275,1.76212442,0.95891311,0.00000000
-5.91595798,3.50136016,0.16664316,0.12789466,0.83919036,0.28573556,0.34055868,1.87346153,1.01409770,0.00000000
-5.90995498,3.68414162,0.17404147,0.13505954,0.88126768,0.29777711,0.35179075,1.98206931,1.06849285,0.00000000
