energy_ev,total_up,Cd_p_up,Cd_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-6.00000000,0.08142009,0.02023346,0.00989478,0.00831221,0.00000000,0.00056191,0.00806882
-5.99399700,0.06737246,0.01668587,0.00817922,0.00691214,0.00000000,0.00048035,0.00677054
-5.98799400,0.05573939,0.01373562,0.00675337,0.00576272,0.00000000,0.00041749,0.00572746
-5.98199100,0.04628275,0.01131978,0.00558853,0.00484107,0.00000000,0.00037258,0.00492286
-5.97598799,0.03878937,0.00938141,0.00465885,0.00412708,0.00000000,0.00034518,0.00434397
-5.96998499,0.03307508,0.00787053,0.00394193,0.00360371,0.00000000,0.00033525,0.00398269
-5.96398199,0.02898767,0.00674475,0.00341920,0.00325733,0.00000000,0.00034317,0.00383621
-5.95797899,0.02640888,0.00596972,0.00307624,0.00307788,0.00000000,0.00036977,0.00390757
-5.95197599,0.02525558,0.00551940,0.00290298,0.00305891,0.00000000,0.00041640,0.00420617
-5.94597299,0.02548010,0.00537609,0.00289387,0.00319754,0.00000000,0.00048494,0.00474816
-5.93996998,0.02706993,0.00553045,0.00304791,0.00349432,0.00000000,0.00057783,0.00555683
-5.93396698,0.03004659,0.00598126,0.00336865,0.00395298,0.00000000,0.00069810,0.00666292
-5.92796398,0.03446406,0.00673514,0.00386413,0.00458011,0.00000000,0.00084939,0.00810471
-5.92196098,0.04040639,0.00780617,0.00454673,0.00538470,0.00000000,0.00103595,0.00992820
-5.91595798,0.04798473,0.00921537,0.00543301,0.00637762,0.00000000,0.00126266,0.01218690
-5.90995498,0.05733380,0.01099013,0.00654337,0.00757098,0.00000000,0.00153502,0.01494167
-5.90395198,0.06860749,0.01316348,0.00790181,0.00897744,0.00000000,0.00185918,0.01826022
-5.89794897,0.08197400,0.01577331,0.00953540,0.01060941,0.00000000,0.00224187,0.02221643
-5.89194597,0.09761022,0.01886147,0.01147386,0.01247817,0.00000000,0.00269048,0.02688939
-5.88594297,0.11569548,0.02247270,0.01374890,0.01459297,0.00000000,0.00321294,0.03236225
-5.87993997,0.13640491,0.02665351,0.01639351,0.01696009,0.00000000,0.00381783,0.03872071
-5.87393697,0.15990226,0.03145096,0.01944122,0.01958194,0.00000000,0.00451424,0.04605128
-5.86793397,0.18633256,0.03691131,0.02292518,0.02245612,0.00000000,0.00531187,0.05443928
-5.86193097,0.21581475,0.04307862,0.02687725,0.02557467,0.00000000,0.00622096,0.06396662
-5.85592796,0.24843449,0.04999332,0.03132693,0.02892335,0.00000000,0.00725230,0.07470942
-5.84992496,0.28423742,0.05769075,0.03630043,0.03248118,0.00000000,0.00841723,0.08673546
-5.84392196,0.32322324,0.06619971,0.04181951,0.03622010,0.00000000,0.00972765,0.10010163
-5.83791896,0.36534069,0.07554108,0.04790054,0.04010493,0.00000000,0.01119601,0.11485135
-5.83191596,0.41048391,0.08572650,0.05455349,0.04409362,0.00000000,0.01283534,0.13101216
-5.82591296,0.45849021,0.09675723,0.06178104,0.04813773,0.00000000,0.01465924,0.14859344
-5.81990995,0.50913952,0.10862313,0.06957784,0.05218329,0.00000000,0.01668187,0.16758442
-5.81390695,0.56215559,0.12130178,0.07792981,0.05617186,0.00000000,0.01891799,0.18795258
-5.80790395,0.61720894,0.13475790,0.08681370,0.06004190,0.00000000,0.02138289,0.20964236
-5.80190095,0.67392155,0.14894292,0.09619681,0.06373040,0.00000000,0.02409240,0.23257445
-5.79589795,0.73187306,0.16379479,0.10603681,0.06717457,0.00000000,0.02706286,0.25664548
-5.78989495,0.79060834,0.17923797,0.11628188,0.07031370,0.00000000,0.03031110,0.28172829
-5.78389195,0.84964615,0.19518377,0.12687095,0.07309107,0.00000000,0.03385435,0.30767264
-5.77788894,0.90848845,0.21153071,0.13773418,0.07545568,0.00000000,0.03771025,0.33430649
-5.77188594,0.96663013,0.22816528,0.14879356,0.07736397,0.00000000,0.04189678,0.36143772
-5.76588294,1.02356879,0.24496276,0.15996376,0.07878122,0.00000000,0.04643225,0.38885628
