energy_ev,total_up,Bi_p_up,Bi_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,7.94179103,1.14727653,0.06855007,2.85557246,6.00956915,1.14589236,0.00000000
-5.99399700,7.69439805,1.08284276,0.06529591,2.75055404,5.82086987,1.13332238,0.00000000
-5.98799400,7.46608122,1.01931635,0.06206620,2.64878501,5.64726186,1.12617262,0.00000000
-5.98199100,7.26021621,0.95755687,0.05890019,2.55173166,5.49142164,1.12457831,0.00000000
-5.97598799,7.07964283,0.89836190,0.05583404,2.46070115,5.35561807,1.12855821,0.00000000
-5.96998499,6.92665505,0.84245120,0.05290052,2.37683211,5.24170139,1.13802599,0.00000000
-5.96398199,6.80300964,0.79045407,0.05012874,2.30109325,5.15110594,1.15280450,0.00000000
-5.95797899,6.70995035,0.74290014,0.04754410,2.23428894,5.08486412,1.17264207,0.00000000
-5.95197599,6.64824362,0.70021336,0.04516829,2.17707054,5.04362905,1.19722974,0.00000000
-5.94597299,6.61822191,0.66270916,0.04301943,2.12995176,5.02770270,1.22621849,0.00000000
-5.93996998,6.61983008,0.63059447,0.04111224,2.09332620,5.03706679,1.25923539,0.00000000
-5.93396698,6.65267111,0.60397020,0.03945825,2.06748528,5.07141336,1.29589790,0.00000000
-5.92796398,6.71604744,0.58283585,0.03806596,2.05263491,5.13017285,1.33582558,0.00000000
-5.92196098,6.80899555,0.56709578,0.03694107,2.04890925,5.21253792,1.37864872,0.00000000
-5.91595798,6.93031199,0.55656681,0.03608658,2.05638054,5.31748187,1.42401370,0.00000000
-5.90995498,7.07857039,0.55098670,0.03550290,2.07506424,5.44377164,1.47158503,0.00000000
-5.90395198,7.25213007,0.55002333,0.03518786,2.10491922,5.58997589,1.52104436,0.00000000
-5.89794897,7.44913795,0.55328429,0.03513674,2.14584325,5.75446942,1.57208700,0.00000000
-5.89194597,7.66752619,0.56032667,0.03534219,2.19766457,5.93543603,1.62441646,0.00000000
-5.88594297,7.90500892,0.57066711,0.03579424,2.26013059,6.13087202,1.67773813,0.00000000
-5.87993997,8.15908145,0.58379180,0.03648020,2.33289530,6.33859290,1.73175265,0.00000000
-5.87393697,8.42702561,0.59916666,0.03738475,2.41550698,6.55624568,1.78615020,0.00000000
-5.86793397,8.70592439,0.61624751,0.03848991,2.50739804,6.78132893,1.84060631,0.00000000
-5.86193097,8.99268843,0.63449025,0.03977530,2.60787872,7.01122207,1.89478008,0.00000000
-5.85592796,9.28409602,0.65336105,0.04121828,2.71613607,7.24322469,1.94831519,0.00000000
-5.84992496,9.57684697,0.67234630,0.04279438,2.83123949,7.47460577,2.00084416,0.00000000
-5.84392196,9.86762970,0.69096234,0.04447770,2.95215344,7.70266180,2.05199569,0.00000000
-5.83791896,10.15319922,0.70876463,0.04624147,3.07775769,7.92478157,2.10140494,0.00000000
-5.83191596,10.43046296,0.72535621,0.04805870,3.20687461,8.13851505,2.14872627,0.00000000
-5.82591296,10.69656993,0.74039510,0.04990276,3.33830272,8.34164248,2.19364748,0.00000000
-5.81990995,10.94899817,0.75360040,0.05174817,3.47085499,8.53223999,2.23590486,0.00000000
-5.81390695,11.18563525,0.76475674,0.05357114,3.60340010,8.70873725,2.27529779,0.00000000
-5.80790395,11.40484613,0.77371696,0.05535027,3.73490427,8.86996347,2.31170177,0.00000000
-5.80190095,11.60552353,0.78040267,0.05706697,3.86447153,9.01517796,2.34507899,0.00000000
-5.79589795,11.78711663,0.78480271,0.05870591,3.99137968,9.14408258,2.37548516,0.00000000
-5.78989495,11.94963495,0.78696941,0.06025517,4.11510989,9.25681422,2.40307210,0.00000000
-5.78389195,12.09362596,0.78701283,0.06170634,4.23536759,9.35391678,2.42808538,0.00000000
-5.77788894,12.22012631,0.78509308,0.06305439,4.35209333,9.43629325,2.45085682,0.00000000
-5.77188594,12.33058839,0.78141113,0.06429736,4.46546225,9.50513992,2.47179192,0.00000000
-5.76588294,12.42678557,0.77619839,0.06543595,4.57587183,9.56186584,2.49135270,0.00000000
-5.75987994,12.51070069,0.76970566,0.06647290,4.68391808,9.60800173,2.51003651,0.00000000
-5.75387694,12.58440385,0.76219186,0.06741238,4.79036091,9.64510337,2.52835204,0.00000000
-5.74787394,12.64992610,0.75391303,0.06825923,4.89608037,9.67465487,2.54679343,0.00000000
-5.74187094,12.70913605,0.74511229,0.06901826,5.00202544,9.69797738,2.56581405,0.00000000
-5.73586793,12.76362644,0.73601095,0.06969355,5.10915813,9.71614859,2.58580125,0.00000000
-5.72986493,12.81461717,0.72680134,0.07028789,5.21839534,9.72993775,2.60705342,0.00000000
-5.72386193,12.86288026,0.71764163,0.07080227,5.33055145,9.73976002,2.62976066,0.00000000
-5.71785893,12.90869100,0.70865265,0.07123557,5.44628441,9.74565293,2.65399007,0.00000000
-5.71185593,12.95180813,0.69991697,0.07158442,5.56604786,9.74727623,2.67967655,0.00000000
-5.70585293,12.99148395,0.69147997,0.07184322,5.69005183,9.74393524,2.70661953,0.00000000
-5.69984992,13.02650383,0.68335287,0.07200436,5.81823346,9.73462625,2.73448601,0.00000000
-5.69384692,13.05525259,0.67551733,0.07205863,5.95023956,9.71810132,2.76281962,0.00000000
-5.68784392,13.07580408,0.66793130,0.07199569,6.08542133,9.69294877,2.79105542,0.00000000
-5.68184092,13.08602876,0.66053573,0.07180477,6.22284176,9.65768461,2.81853968,0.00000000
-5.67583792,13.08371338,0.65326166,0.07147534,6.36129513,9.61084988,2.84455377,0.00000000
-5.66983492,13.06668626,0.64603732,0.07099787,6.49933776,9.55110837,2.86834111,0.00000000
-5.66383192,13.03294153,0.63879475,0.07036455,6.63532876,9.47733944,2.88913584,0.00000000
-5.65782891,12.98075595,0.63147577,0.06956995,6.76747894,9.38872100,2.90619220,0.00000000
-5.65182591,12.90879265,0.62403674,0.06861161,6.89390603,9.28479825,2.91881331,0.00000000
-5.64582291,12.81618678,0.61645221,0.06749045,7.01269408,9.16553500,2.92637821,0.00000000
-5.63981991,12.70260954,0.60871715,0.06621112,7.12195490,9.03134508,2.92836623,0.00000000
-5.63381691,12.56830796,0.60084779,0.06478209,7.21988938,8.88310256,2.92437789,0.00000000
-5.62781391,12.41411953,0.59288113,0.06321559,7.30484665,8.72213101,2.91415163,0.00000000
-5.62181091,12.24146173,0.58487326,0.06152746,7.37537923,8.55017254,2.89757600,0.00000000
-5.61580790,12.05229810,0.57689659,0.05973678,7.43029258,8.36933883,2.87469708,0.00000000
-5.60980490,11.84908336,0.56903633,0.05786533,7.46868743,8.18204713,2.84572108,0.00000000
-5.60380190,11.63469091,0.56138636,0.05593709,7.48999387,7.99094450,2.81101219,0.00000000
-5.59779890,11.41232693,0.55404480,0.05397750,7.49399613,7.79882457,2.77108606,0.00000000
-5.59179590,11.18543534,0.54710951,0.05201283,7.48084755,7.60854073,2.72659920,0.00000000
-5.58579290,10.95759832,0.54067370,0.05006942,7.45107504,7.42291986,2.67833476,0.00000000
-5.57978989,10.73243660,0.53482200,0.04817308,7.40557319,7.24468065,2.62718523,0.00000000
-5.57378689,10.51351375,0.52962691,0.04634842,7.34558785,7.07635962,2.57413259,0.00000000
-5.56778389,10.30424783,0.52514596,0.04461831,7.27268973,6.92024789,2.52022652,0.00000000
-5.56178089,10.10783326,0.52141951,0.04300349,7.18873851,6.77834063,2.46656105,0.00000000
-5.55577789,9.92717508,0.51846931,0.04152217,7.09583849,6.65230060,2.41425039,0.00000000
-5.54977489,9.76483664,0.51629774,0.04018985,6.99628670,6.54343625,2.36440431,0.00000000
-5.54377189,9.62300152,0.51488772,0.03901917,6.89251502,6.45269416,2.31810361,0.00000000
-5.53776888,9.50344906,0.51420324,0.03801989,6.78702785,6.38066480,2.27637615,0.00000000
-5.53176588,9.40754291,0.51419041,0.03719900,6.68233702,6.32760010,2.24017388,0.00000000
-5.52576288,9.33623101,0.51477888,0.03656078,6.58089581,6.29344060,2.21035133,0.00000000
-5.51975988,9.29005514,0.51588361,0.03610707,6.48503418,6.27784995,2.18764597,0.00000000
-5.51375688,9.26916824,0.51740696,0.03583745,6.39689691,6.28025395,2.17266076,0.00000000
-5.50775388,9.27335710,0.51924074,0.03574952,6.31838678,6.29988168,2.16584945,0.00000000
-5.50175088,9.30206856,0.52126855,0.03583917,6.25111429,6.33580607,2.16750482,0.00000000
-5.49574787,9.35443741,0.52336801,0.03610079,6.19635559,6.38698184,2.17775014,0.00000000
-5.48974487,9.42931424,0.52541306,0.03652755,6.15501978,6.45227894,2.19653435,0.00000000
-5.48374187,9.52529239,0.52727621,0.03711158,6.12762649,6.53051007,2.22363080,0.00000000
-5.47773887,9.64073297,0.52883081,0.03784418,6.11429440,6.62045173,2.25863994,0.00000000
-5.47173587,9.77378798,0.52995325,0.03871594,6.11474065,6.72085835,2.30099586,0.00000000
-5.46573287,9.92242129,0.53052514,0.03971691,6.12829121,6.83046996,2.34997662,0.00000000
-5.45972986,10.08442825,0.53043553,0.04083667,6.15390141,6.94801413,2.40471822,0.00000000
-5.45372686,10.25745453,0.52958305,0.04206445,6.19018603,7.07220346,2.46423181,0.00000000
-5.44772386,10.43901506,0.52787804,0.04338918,6.23545752,7.20173006,2.52742398,0.00000000
-5.44172086,10.62651417,0.52524458,0.04479956,6.28777124,7.33525863,2.59311941,0.00000000
-5.43571786,10.81726779,0.52162242,0.04628416,6.34497621,7.47141997,2.66008550,0.00000000
-5.42971486,11.00852851,0.51696873,0.04783141,6.40476972,7.60880644,2.72705822,0.00000000
-5.42371186,11.19751420,0.51125952,0.04942974,6.46475432,7.74597074,2.79276871,0.00000000
-5.41770885,11.38144026,0.50449082,0.05106757,6.52249579,7.88142913,2.85596978,0.00000000
-5.41170585,11.55755581,0.49667936,0.05273347,6.57558048,8.01366992,2.91546176,0.00000000
-5.40570285,11.72318309,0.48786276,0.05441613,6.62167096,8.14116734,2.97011705,0.00000000
-5.39969985,11.87575977,0.47809918,0.05610450,6.65855872,8.26240087,3.01890281,0.00000000
-5.39369685,12.01288295,0.46746639,0.05778783,6.68421306,8.37587944,3.06090125,0.00000000
-5.38769385,12.13235380,0.45606015,0.05945574,6.69682536,8.48016968,3.09532713,0.00000000
-5.38169085,12.23222143,0.44399216,0.06109829,6.69484799,8.57392699,3.12154222,0.00000000
-5.37568784,12.31082469,0.43138728,0.06270604,6.67702739,8.65592824,3.13906633,0.00000000
-5.36968484,12.36683033,0.41838050,0.06427010,6.64243092,8.72510449,3.14758490,0.00000000
-5.36368184,12.39926614,0.40511350,0.06578223,6.59046693,8.78057223,3.14695309,0.00000000
-5.35767884,12.40754797,0.39173099,0.06723487,6.52089796,8.82166178,3.13719632,0.00000000
-5.35167584,12.39149938,0.37837707,0.06862121,6.43384656,8.84794146,3.11850745,0.00000000
-5.34567284,12.35136306,0.36519173,0.06993532,6.32979374,8.85923636,3.09124061,0.00000000
