energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,2.96204597,0.02479538,0.16139048,0.46258839,0.68739717,0.30545656,1.83688703,0.00000000
-5.99399700,3.05522848,0.02538993,0.16824384,0.48377436,0.70761250,0.31696480,1.89001374,0.00000000
-5.98799400,3.14971014,0.02600982,0.17507339,0.50484642,0.72815290,0.32849615,1.94423156,0.00000000
-5.98199100,3.24424904,0.02664754,0.18176321,0.52547688,0.74865259,0.33988650,1.99886781,0.00000000
-5.97598799,3.33753781,0.02729480,0.18820051,0.54534044,0.76873845,0.35097501,2.05319213,0.00000000
-5.96998499,3.42824073,0.02794283,0.19427829,0.56412249,0.78804024,0.36160809,2.10643868,0.00000000
-5.96398199,3.51503251,0.02858256,0.19989784,0.58152703,0.80620086,0.37164315,2.15783004,0.00000000
-5.95797899,3.59663727,0.02920485,0.20497107,0.59728427,0.82288640,0.38095196,2.20660175,0.00000000
-5.95197599,3.67186627,0.02980072,0.20942255,0.61115736,0.83779558,0.38942359,2.25202660,0.00000000
-5.94597299,3.73965325,0.03036156,0.21319126,0.62294834,0.85066835,0.39696683,2.29343795,0.00000000
-5.93996998,3.79908631,0.03087927,0.21623204,0.63250284,0.86129335,0.40351207,2.33025115,0.00000000
-5.93396698,3.84943536,0.03134646,0.21851662,0.63971374,0.86951402,0.40901258,2.36198251,0.00000000
-5.92796398,3.89017470,0.03175659,0.22003430,0.64452345,0.87523331,0.41344533,2.38826541,0.00000000
-5.92196098,3.92100001,0.03210408,0.22079222,0.64692502,0.87841679,0.41681123,2.40886290,0.00000000
-5.91595798,3.94183968,0.03238441,0.22081538,0.64696199,0.87909418,0.41913499,2.42367689,0.00000000
-5.90995498,3.95286022,0.03259426,0.22014616,0.64472708,0.87735924,0.42046449,2.43275333,0.00000000
-5.90395198,3.95446574,0.03273158,0.21884358,0.64035986,0.87336818,0.42086991,2.43628364,0.00000000
-5.89794897,3.94729151,0.03279565,0.21698228,0.63404346,0.86733639,0.42044246,2.43460212,0.00000000
-5.89194597,3.93219171,0.03278712,0.21465109,0.62600037,0.85953377,0.41929282,2.42817953,0.00000000
