energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,0.94065967,0.00234690,0.05612892,0.58316084,0.19311838,0.15720656,0.21768316,0.00337749,0.40833652
-5.99399700,1.00064133,0.00248903,0.05872089,0.63179319,0.20920335,0.16471725,0.22521180,0.00365241,0.44163032
-5.98799400,1.07026018,0.00265447,0.06196850,0.68710448,0.22661133,0.17417717,0.23530299,0.00396984,0.47887933
-5.98199100,1.14879376,0.00284049,0.06582691,0.74864917,0.24520915,0.18546294,0.24778473,0.00432710,0.51977707
-5.97598799,1.23531788,0.00304391,0.07023787,0.81582806,0.26483775,0.19841194,0.26243500,0.00472065,0.56392912
-5.96998499,1.32872155,0.00326110,0.07513079,0.88789457,0.28531476,0.21282492,0.27898642,0.00514616,0.61085794
-5.96398199,1.42772737,0.00348809,0.08042409,0.96396562,0.30643783,0.22846960,0.29713214,0.00559854,0.66001028
-5.95797899,1.53091750,0.00372066,0.08602688,1.04303753,0.32798887,0.24508507,0.31653270,0.00607203,0.71076744
-5.95197599,1.63676488,0.00395444,0.09184090,1.12400660,0.34973903,0.26238721,0.33682402,0.00656034,0.76245825
-5.94597299,1.74366952,0.00418507,0.09776274,1.20569445,0.37145449,0.28007483,0.35762613,0.00705677,0.81437471
-5.93996998,1.84999890,0.00440828,0.10368623,1.28687731,0.39290289,0.29783656,0.37855269,0.00755440,0.86578992
-5.93396698,1.95413153,0.00462009,0.10950502,1.36631864,0.41386029,0.31535833,0.39922093,0.00804627,0.91597796
-5.92796398,2.05450258,0.00481691,0.11511520,1.44280389,0.43411859,0.33233111,0.41926173,0.00852557,0.96423508
-5.92196098,2.14964976,0.00499569,0.12041794,1.51517622,0.45349295,0.34845883,0.43832956,0.00898588,1.00990139
-5.91595798,2.23825788,0.00515403,0.12532197,1.58237176,0.47182920,0.36346598,0.45611188,0.00942138,1.05238244
-5.90995498,2.31920033,0.00529030,0.12974590,1.64345270,0.48901079,0.37710487,0.47233762,0.00982698,1.09116959
-5.90395198,2.39157541,0.00540371,0.13362023,1.69763700,0.50496500,0.38916192,0.48678445,0.01019859,1.12585825
-5.89794897,2.45473596,0.00549435,0.13688894,1.74432285,0.51966807,0.39946302,0.49928440,0.01053316,1.15616322
-5.89194597,2.50831053,0.00556321,0.13951066,1.78310700,0.53314890,0.40787750,0.50972764,0.01082886,1.18193015
-5.88594297,2.55221498,0.00561216,0.14145932,1.81379571,0.54549106,0.41432059,0.51806419,0.01108509,1.20314248
-5.87993997,2.58665347,0.00564391,0.14272426,1.83640767,0.55683279,0.41875431,0.52430343,0.01130247,1.21992320
-5.87393697,2.61210843,0.00566187,0.14330979,1.85116868,0.56736477,0.42118666,0.52851147,0.01148285,1.23253136
-5.86793397,2.62931962,0.00567004,0.14323428,1.85849810,0.57732561,0.42166924,0.53080632,0.01162914,1.24135288
-5.86193097,2.63925274,0.00567287,0.14252878,1.85898771,0.58699499,0.42029330,0.53135130,0.01174520,1.24688616
-5.85592796,2.64305874,0.00567505,0.14123522,1.85337382,0.59668439,0.41718460,0.53034665,0.01183561,1.24972271
-5.84992496,2.64202539,0.00568131,0.13940436,1.84250394,0.60672587,0.41249716,0.52802008,0.01190549,1.25052358
-5.84392196,2.63752294,0.00569622,0.13709356,1.82729963,0.61745893,0.40640635,0.52461633,0.01196021,1.24999240
-5.83791896,2.63094616,0.00572397,0.13436443,1.80871711,0.62921606,0.39910154,0.52038650,0.01200511,1.24884620
-5.83191596,2.62365533,0.00576818,0.13128057,1.78770770,0.64230735,0.39077875,0.51557739,0.01204529,1.24778523
-5.82591296,2.61691845,0.00583170,0.12790538,1.76517964,0.65700489,0.38163362,0.51042148,0.01208531,1.24746297
-5.81990995,2.61185737,0.00591646,0.12430013,1.74196328,0.67352758,0.37185486,0.50512788,0.01212896,1.24845768
-5.81390695,2.60940013,0.00602338,0.12052234,1.71878095,0.69202703,0.36161871,0.49987466,0.01217913,1.25124690
-5.80790395,2.61024149,0.00615225,0.11662443,1.69622282,0.71257524,0.35108433,0.49480275,0.01223759,1.25618580
-5.80190095,2.61481343,0.00630171,0.11265283,1.67472982,0.73515488,0.34039044,0.49001182,0.01230494,1.26349055
-5.79589795,2.62326686,0.00646930,0.10864741,1.65458384,0.75965257,0.32965315,0.48555800,0.01238056,1.27322747
-5.78989495,2.63546534,0.00665145,0.10464125,1.63590570,0.78585578,0.31896508,0.48145367,0.01246264,1.28530843
