energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,1.07907835,0.01914342,0.03869215,0.00351028,0.00000000,0.01997634,0.59186851,0.26913579,0.29638857
-5.99399700,1.03734958,0.01829757,0.03757257,0.00333714,0.00000000,0.01955735,0.56480460,0.26091967,0.28943200
-5.98799400,0.99780665,0.01741468,0.03670684,0.00318593,0.00000000,0.01910821,0.53916016,0.25400831,0.28278300
-5.98199100,0.96082039,0.01650705,0.03613998,0.00305910,0.00000000,0.01863070,0.51517092,0.24859120,0.27648820
-5.97598799,0.92671530,0.01558675,0.03591768,0.00295898,0.00000000,0.01812615,0.49303958,0.24485701,0.27058856
-5.96998499,0.89578362,0.01466544,0.03608655,0.00288778,0.00000000,0.01759561,0.47294344,0.24299654,0.26512400
-5.96398199,0.86829999,0.01375424,0.03669422,0.00284773,0.00000000,0.01704005,0.45504234,0.24320531,0.26013799
-5.95797899,0.84453506,0.01286356,0.03778932,0.00284108,0.00000000,0.01646063,0.43948661,0.24568517,0.25568169
-5.95197599,0.82476730,0.01200306,0.03942120,0.00287016,0.00000000,0.01585886,0.42642397,0.25064473,0.25181720
-5.94597299,0.80929173,0.01118159,0.04163946,0.00293743,0.00000000,0.01523683,0.41600530,0.25829844,0.24861979
-5.93996998,0.79842496,0.01040715,0.04449314,0.00304548,0.00000000,0.01459729,0.40838842,0.26886386,0.24617880
-5.93396698,0.79250606,0.00968695,0.04802964,0.00319697,0.00000000,0.01394373,0.40373998,0.28255736,0.24459717
-5.92796398,0.79189299,0.00902737,0.05229324,0.00339469,0.00000000,0.01328049,0.40223497,0.29958807,0.24398951
-5.92196098,0.79695472,0.00843407,0.05732345,0.00364141,0.00000000,0.01261260,0.40405411,0.32015030,0.24447886
-5.91595798,0.80805934,0.00791203,0.06315306,0.00393985,0.00000000,0.01194582,0.40937907,0.34441476,0.24619216
-5.90995498,0.82555881,0.00746564,0.06980600,0.00429256,0.00000000,0.01128640,0.41838586,0.37251884,0.24925472
-5.90395198,0.84977120,0.00709873,0.07729515,0.00470183,0.00000000,0.01064097,0.43123677,0.40455645,0.25378401
-5.89794897,0.88096119,0.00681471,0.08562013,0.00516955,0.00000000,0.01001632,0.44807125,0.44056793,0.25988298
-5.89194597,0.91932012,0.00661655,0.09476526,0.00569711,0.00000000,0.00941917,0.46899621,0.48053046,0.26763337
-5.88594297,0.96494649,0.00650690,0.10469770,0.00628525,0.00000000,0.00885596,0.49407632,0.52434973,0.27708927
-5.87993997,1.01782805,0.00648810,0.11536600,0.00693397,0.00000000,0.00833260,0.52332481,0.57185312,0.28827134
-5.87393697,1.07782645,0.00656219,0.12669907,0.00764238,0.00000000,0.00785432,0.55669511,0.62278499,0.30116197
-5.86793397,1.14466523,0.00673089,0.13860578,0.00840869,0.00000000,0.00742547,0.59407395,0.67680445,0.31570159
-5.86193097,1.21792186,0.00699559,0.15097515,0.00923004,0.00000000,0.00704940,0.63527610,0.73348578,0.33178644
