energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
-6.00000000,4.84653138,0.78231602,2.09573155,0.47768032,0.00824821,0.06387730,2.21791760
-5.99399700,4.84314287,0.77755586,2.09788564,0.47226510,0.00817923,0.06344267,2.22186647
-5.98799400,4.82416870,0.77087423,2.09472283,0.46520909,0.00806354,0.06275840,2.21949374
-5.98199100,4.79202768,0.76282094,2.08736362,0.45678309,0.00790447,0.06185533,2.21196057
-5.97598799,4.74961223,0.75404293,2.07708947,0.44732159,0.00770636,0.06077214,2.20062828
-5.96998499,4.70023555,0.74527266,2.06532077,0.43721628,0.00747441,0.05955474,2.18703387
-5.96398199,4.64757012,0.73731490,2.05359290,0.42690827,0.00721458,0.05825532,2.17286246
-5.95797899,4.59557932,0.73103210,2.04353079,0.41687913,0.00693342,0.05693137,2.15991724
-5.95197599,4.54844323,0.72732882,2.03682234,0.40764105,0.00663790,0.05564438,2.15008766
-5.94597299,4.51047992,0.72713527,2.03519072,0.39972626,0.00633527,0.05445851,2.14531603
-5.93996998,4.48606320,0.73139034,2.04036575,0.39367591,0.00603286,0.05343912,2.14756311
-5.93396698,4.47953759,0.74102407,2.05405413,0.39002847,0.00573792,0.05265120,2.15877269
-5.92796398,4.49513122,0.75693984,2.07790860,0.38930801,0.00545745,0.05215770,2.18083545
-5.92196098,4.53686752,0.77999631,2.11349576,0.39201223,0.00519808,0.05201794,2.21555206
-5.91595798,4.60847634,0.81098911,2.16226281,0.39860060,0.00496589,0.05228591,2.26459589
-5.90995498,4.71330568,0.85063265,2.22550327,0.40948255,0.00476634,0.05300874,2.32947539
-5.90395198,4.85423535,0.89954207,2.30432222,0.42500607,0.00460413,0.05422514,2.41149682
-5.89794897,5.03359430,0.95821577,2.39960175,0.44544676,0.00448317,0.05596410,2.51172786
-5.89194597,5.25308375,1.02701876,2.51196762,0.47099764,0.00440648,0.05824375,2.63096303
-5.88594297,5.51370871,1.10616756,2.64175842,0.50175993,0.00437619,0.06107044,2.76969209
-5.87993997,5.81572060,1.19571692,2.78899868,0.53773518,0.00439350,0.06443817,2.92807265
-5.87393697,6.15857411,1.29554932,2.95337752,0.57881897,0.00445870,0.06832830,3.10590860
-5.86793397,6.54090112,1.40536765,3.13423449,0.62479671,0.00457122,0.07270965,3.30263556
-5.86193097,6.96050439,1.52469175,3.33055408,0.67534161,0.00472961,0.07753907,3.51731491
-5.85592796,7.41437325,1.65285945,3.54097008,0.73001543,0.00493166,0.08276229,3.74863751
-5.84992496,7.89872263,1.78903232,3.76378093,0.78827207,0.00517446,0.08831524,3.99493773
-5.84392196,8.40905589,1.93220647,3.99697600,0.84946422,0.00545445,0.09412577,4.25421843
-5.83791896,8.94025080,2.08122825,4.23827310,0.91285324,0.00576758,0.10011559,4.52418633
-5.83191596,9.48666654,2.23481463,4.48516594,0.97762202,0.00610938,0.10620258,4.80229719
-5.82591296,10.04226881,2.39157760,4.73498033,1.04289089,0.00647507,0.11230322,5.08580938
-5.81990995,10.60076834,2.55005182,4.98493701,1.10773594,0.00685966,0.11833508,5.37184368
-5.81390695,11.15576779,2.70872448,5.23221841,1.17120957,0.00725811,0.12421933,5.65744715
-5.80790395,11.70091079,2.86606604,5.47403669,1.23236231,0.00766537,0.12988305,5.93965809
-5.80190095,12.23002690,3.02056069,5.70769969,1.29026556,0.00807652,0.13526133,6.21556941
-5.79589795,12.73726610,3.17073514,5.93067199,1.34403405,0.00848684,0.14029901,6.48238733
-5.78989495,13.21721711,3.31518454,6.14062822,1.39284760,0.00889187,0.14495191,6.73748306
-5.78389195,13.66500454,3.45259442,6.33549611,1.43597090,0.00928746,0.14918762,6.97843522
