energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.83397441,0.03179949,0.05082751,0.43917854,0.05217600,0.31429247,0.00000000,0.36591505,0.13705668
-5.99399700,0.83166487,0.03285905,0.05076509,0.44280482,0.05097708,0.31623695,0.00000000,0.37459085,0.13302253
-5.98799400,0.82979034,0.03400761,0.05059916,0.44698048,0.04983565,0.31860035,0.00000000,0.38326341,0.12886327
-5.98199100,0.82867358,0.03525789,0.05034445,0.45181199,0.04877658,0.32145834,0.00000000,0.39195987,0.12467017
-5.97598799,0.82856064,0.03661860,0.05001375,0.45735661,0.04781977,0.32485152,0.00000000,0.40067789,0.12052613
-5.96998499,0.82960885,0.03809356,0.04961735,0.46361780,0.04697984,0.32878232,0.00000000,0.40938194,0.11650307
-5.96398199,0.83187897,0.03968111,0.04916250,0.47054304,0.04626605,0.33321354,0.00000000,0.41800143,0.11265995
-5.95797899,0.83533198,0.04137354,0.04865324,0.47802432,0.04568250,0.33806895,0.00000000,0.42643078,0.10904130
-5.95197599,0.83983072,0.04315701,0.04809039,0.48590130,0.04522856,0.34323561,0.00000000,0.43453164,0.10567652
-5.94597299,0.84514616,0.04501157,0.04747173,0.49396700,0.04489961,0.34856809,0.00000000,0.44213710,0.10257980
-5.93996998,0.85096828,0.04691159,0.04679246,0.50197579,0.04468785,0.35389426,0.00000000,0.44905773,0.09975074
-5.93396698,0.85692085,0.04882644,0.04604572,0.50965343,0.04458339,0.35902257,0.00000000,0.45508926,0.09717555
-5.92796398,0.86257942,0.05072142,0.04522337,0.51670853,0.04457532,0.36375023,0.00000000,0.46002141,0.09482883
-5.92196098,0.86749183,0.05255902,0.04431672,0.52284505,0.04465286,0.36787217,0.00000000,0.46364741,0.09267567
-5.91595798,0.87119992,0.05430020,0.04331739,0.52777513,0.04480650,0.37119023,0.00000000,0.46577386,0.09067421
-5.90995498,0.87326172,0.05590595,0.04221809,0.53123175,0.04502909,0.37352218,0.00000000,0.46623024,0.08877824
-5.90395198,0.87327288,0.05733880,0.04101335,0.53298055,0.04531672,0.37471008,0.00000000,0.46487766,0.08693994
-5.89794897,0.87088631,0.05856439,0.03970012,0.53283022,0.04566957,0.37462777,0.00000000,0.46161643,0.08511250
-5.89194597,0.86582928,0.05955284,0.03827825,0.53064117,0.04609248,0.37318698,0.00000000,0.45639197,0.08325252
-5.88594297,0.85791710,0.06028009,0.03675076,0.52633188,0.04659533,0.37034186,0.00000000,0.44919885,0.08132216
-5.87993997,0.84706289,0.06072890,0.03512397,0.51988285,0.04719324,0.36609182,0.00000000,0.44008278,0.07929086
-5.87393697,0.83328300,0.06088965,0.03340743,0.51133792,0.04790650,0.36048244,0.00000000,0.42914042,0.07713663
-5.86793397,0.81669808,0.06076079,0.03161365,0.50080305,0.04876029,0.35360457,0.00000000,0.41651712,0.07484687
-5.86193097,0.79752981,0.06034899,0.02975780,0.48844258,0.04978427,0.34559168,0.00000000,0.40240272,0.07241869
-5.85592796,0.77609351,0.05966893,0.02785711,0.47447334,0.05101191,0.33661558,0.00000000,0.38702565,0.06985878
-5.84992496,0.75278728,0.05874282,0.02593038,0.45915683,0.05247969,0.32688078,0.00000000,0.37064567,0.06718284
-5.84392196,0.72807813,0.05759953,0.02399729,0.44279002,0.05422622,0.31661776,0.00000000,0.35354564,0.06441461
-5.83791896,0.70248589,0.05627360,0.02207781,0.42569506,0.05629123,0.30607548,0.00000000,0.33602266,0.06158465
-5.83191596,0.67656574,0.05480397,0.02019158,0.40820855,0.05871449,0.29551346,0.00000000,0.31837906,0.05872881
-5.82591296,0.65089005,0.05323256,0.01835739,0.39067075,0.06153476,0.28519377,0.00000000,0.30091365,0.05588667
-5.81990995,0.62603041,0.05160289,0.01659268,0.37341515,0.06478864,0.27537325,0.00000000,0.28391347,0.05309982
-5.81390695,0.60254065,0.04995852,0.01491327,0.35675896,0.06850961,0.26629625,0.00000000,0.26764654,0.05041019
-5.80790395,0.58094131,0.04834172,0.01333306,0.34099462,0.07272699,0.25818817,0.00000000,0.25235567,0.04785855
-5.80190095,0.56170638,0.04679216,0.01186397,0.32638287,0.07746508,0.25124997,0.00000000,0.23825366,0.04548303
-5.79589795,0.54525248,0.04534575,0.01051595,0.31314728,0.08274248,0.24565391,0.00000000,0.22551990,0.04331798
-5.78989495,0.53193099,0.04403371,0.00929709,0.30147060,0.08857146,0.24154046,0.00000000,0.21429854,0.04139304
