energy_ev,total_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.69602452,0.13979397,0.00033379,0.90541500,0.00000000,1.38147301,0.41093582
-5.99399700,1.68830613,0.14447610,0.00033276,0.89975581,0.00000000,1.35821469,0.40822601
-5.98799400,1.67212372,0.14848069,0.00033030,0.88927420,0.00000000,1.32828341,0.40336419
-5.98199100,1.64797099,0.15173800,0.00032653,0.87422111,0.00000000,1.29244763,0.39648131
-5.97598799,1.61646615,0.15418877,0.00032159,0.85491862,0.00000000,1.25156706,0.38774168
-5.96998499,1.57832963,0.15578593,0.00031565,0.83174866,0.00000000,1.20656345,0.37733705
-5.96398199,1.53436020,0.15649599,0.00030886,0.80514076,0.00000000,1.15839081,0.36548018
-5.95797899,1.48541035,0.15630021,0.00030140,0.77555936,0.00000000,1.10800622,0.35239823
-5.95197599,1.43236187,0.15519536,0.00029344,0.74349110,0.00000000,1.05634229,0.33832616
-5.94597299,1.37610262,0.15319407,0.00028513,0.70943258,0.00000000,1.00428248,0.32350034
-5.93996998,1.31750522,0.15032477,0.00027663,0.67387896,0.00000000,0.95263995,0.30815272
-5.93396698,1.25740817,0.14663120,0.00026807,0.63731377,0.00000000,0.90214068,0.29250568
-5.92796398,1.19660007,0.14217141,0.00025957,0.60020007,0.00000000,0.85341122,0.27676764
-5.92196098,1.13580713,0.13701648,0.00025123,0.56297318,0.00000000,0.80697123,0.26112967
-5.91595798,1.07568422,0.13124875,0.00024311,0.52603503,0.00000000,0.76323086,0.24576303
-5.90995498,1.01680936,0.12495985,0.00023528,0.48975020,0.00000000,0.72249258,0.23081770
-5.90395198,0.95968163,0.11824848,0.00022778,0.45444347,0.00000000,0.68495709,0.21642188
-5.89794897,0.90472224,0.11121802,0.00022060,0.42039892,0.00000000,0.65073279,0.20268238
-5.89194597,0.85227832,0.10397421,0.00021376,0.38786027,0.00000000,0.61984791,0.18968580
