energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-4.16908454,6.32757267,0.02765785,0.26174707,0.51701310,1.13624176,2.15832902,3.65543619,1.70410747,0.00000000
-4.16308154,6.48436048,0.02822043,0.26674481,0.52792348,1.16898881,2.22131302,3.74185449,1.75055920,0.00000000
-4.15707854,6.62727720,0.02869798,0.27077621,0.53728906,1.19859758,2.27848969,3.82206326,1.79238598,0.00000000
-4.15107554,6.75580683,0.02908632,0.27386167,0.54511074,1.22488210,2.32950016,3.89588445,1.82929679,0.00000000
-4.14507254,6.86972819,0.02938316,0.27604005,0.55141791,1.24770865,2.37408622,3.96330306,1.86107741,0.00000000
-4.13906953,6.96909789,0.02958796,0.27736655,0.55626514,1.26699508,2.41208892,4.02445530,1.88758960,0.00000000
-4.13306653,7.05422668,0.02970185,0.27791017,0.55972816,1.28270905,2.44344501,4.07961292,1.90876882,0.00000000
-4.12706353,7.12565077,0.02972740,0.27775090,0.56189948,1.29486544,2.46818176,4.12916472,1.92462081,0.00000000
-4.12106053,7.18409997,0.02966845,0.27697666,0.56288380,1.30352308,2.48641064,4.17359599,1.93521741,0.00000000
-4.11505753,7.23046416,0.02952985,0.27568028,0.56279368,1.30878115,2.49832043,4.21346711,1.94069191,0.00000000
-4.10905453,7.26575959,0.02931724,0.27395661,0.56174552,1.31077532,2.50417011,4.24939183,1.94123410,0.00000000
-4.10305153,7.29109624,0.02903678,0.27189983,0.55985599,1.30967375,2.50428182,4.28201614,1.93708540,0.00000000
-4.09704852,7.30764698,0.02869499,0.26960117,0.55723931,1.30567314,2.49903415,4.31199822,1.92853378,0.00000000
-4.09104552,7.31661917,0.02829850,0.26714702,0.55400514,1.29899480,2.48885585,4.33998980,1.91590892,0.00000000
-4.08504252,7.31922886,0.02785387,0.26461750,0.55025725,1.28988067,2.47421973,4.36661913,1.89957719,0.00000000
-4.07903952,7.31667761,0.02736748,0.26208550,0.54609291,1.27858943,2.45563693,4.39247572,1.87993655,0.00000000
-4.07303652,7.31013164,0.02684541,0.25961611,0.54160288,1.26539249,2.43365104,4.41809682,1.85741119,0.00000000
-4.06703352,7.30070293,0.02629331,0.25726650,0.53687184,1.25056989,2.40883200,4.44395538,1.83244573,0.00000000
-4.06103052,7.28943201,0.02571642,0.25508607,0.53197917,1.23440610,2.38176944,4.47044969,1.80549904,0.00000000
-4.05502751,7.27727185,0.02511948,0.25311680,0.52699981,1.21718559,2.35306537,4.49789425,1.77703735,0.00000000
-4.04902451,7.26507285,0.02450674,0.25139378,0.52200512,1.19918836,2.32332585,4.52651212,1.74752695,0.00000000
-4.04302151,7.25356858,0.02388197,0.24994576,0.51706355,1.18068530,2.29315183,4.55642845,1.71742637,0.00000000
