energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.37922249,0.04061448,0.14679593,0.79352400,0.28307390,0.06019348,1.17087409,1.11294157,0.13578876
-5.99399700,2.38659396,0.04131330,0.14671966,0.78749161,0.28566107,0.06134041,1.17663492,1.11631433,0.13584826
-5.98799400,2.38534605,0.04181481,0.14607482,0.77835600,0.28714345,0.06221683,1.17813511,1.11593773,0.13543181
-5.98199100,2.37547063,0.04211108,0.14482991,0.76633020,0.28748000,0.06279129,1.17541057,1.11191717,0.13453704
-5.97598799,2.35715836,0.04219774,0.14296464,0.75169196,0.28665558,0.06303813,1.16860093,1.10445559,0.13317220
-5.96998499,2.33079517,0.04207414,0.14047127,0.73477538,0.28468185,0.06293850,1.15794508,1.09384592,0.13135611
-5.96398199,2.29695036,0.04174348,0.13735557,0.71596017,0.28159692,0.06248122,1.14377238,1.08045967,0.12911767
-5.95797899,2.25635687,0.04121280,0.13363714,0.69565902,0.27746410,0.06166331,1.12648993,1.06473178,0.12649495
-5.95197599,2.20988425,0.04049278,0.12934918,0.67430342,0.27236946,0.06049017,1.10656625,1.04714261,0.12353385
-5.94597299,2.15850554,0.03959748,0.12453778,0.65232869,0.26641857,0.05897551,1.08451213,1.02819761,0.12028647
-5.93996998,2.10325967,0.03854387,0.11926061,0.63015875,0.25973234,0.05714090,1.06085963,1.00840577,0.11680919
-5.93396698,2.04521111,0.03735137,0.11358523,0.60819135,0.25244239,0.05501502,1.03614010,0.98825784,0.11316051
-5.92796398,1.98540878,0.03604116,0.10758703,0.58678446,0.24468604,0.05263269,1.01086237,0.96820541,0.10939893
-5.92196098,1.92484640,0.03463554,0.10134688,0.56624442,0.23660119,0.05003369,0.98549229,0.94864176,0.10558078
-5.91595798,1.86442612,0.03315726,0.09494875,0.54681636,0.22832142,0.04726146,0.96043448,0.92988578,0.10175824
-5.90995498,1.80492739,0.03162879,0.08847721,0.52867746,0.21997149,0.04436163,0.93601746,0.91216937,0.09797758
-5.90395198,1.74698253,0.03007168,0.08201508,0.51193312,0.21166343,0.04138071,0.91248261,0.89562932,0.09427771
-5.89794897,1.69106016,0.02850598,0.07564128,0.49661637,0.20349348,0.03836462,0.88997780,0.88030388,0.09068922
-5.89194597,1.63745713,0.02694977,0.06942889,0.48269042,0.19553993,0.03535754,0.86855571,0.86613422,0.08723369
