energy_ev,total_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up,Ta_p_up,Ta_d_up
-6.00000000,1.93568098,0.02895312,0.34743922,0.96375388,0.00000000,0.57980760,1.13020955
-5.99399700,2.00178158,0.02967859,0.37465406,0.97763669,0.00000000,0.59602301,1.15307782
-5.98799400,2.06396022,0.03030263,0.40215446,0.98815196,0.00000000,0.61161277,1.17229411
-5.98199100,2.12207523,0.03082143,0.42966091,0.99550994,0.00000000,0.62677173,1.18796564
-5.97598799,2.17606881,0.03123270,0.45689275,0.99998199,0.00000000,0.64172556,1.20026388
-5.96998499,2.22596475,0.03153573,0.48357578,1.00189015,0.00000000,0.65672271,1.20941681
-5.96398199,2.27186465,0.03173149,0.50944994,1.00159550,0.00000000,0.67202542,1.21570010
-5.95797899,2.31394269,0.03182275,0.53427680,0.99948592,0.00000000,0.68790007,1.21942750
-5.95197599,2.35243933,0.03181416,0.55784643,0.99596367,0.00000000,0.70460733,1.22094101
-5.94597299,2.38765394,0.03171232,0.57998337,0.99143356,0.00000000,0.72239246,1.22060123
-5.93996998,2.41993681,0.03152588,0.60055139,0.98629193,0.00000000,0.74147635,1.21877810
-5.93396698,2.44968065,0.03126554,0.61945683,0.98091709,0.00000000,0.76204763,1.21584266
-5.92796398,2.47731199,0.03094418,0.63665053,0.97566148,0.00000000,0.78425628,1.21215982
-5.92196098,2.50328289,0.03057676,0.65212805,0.97084581,0.00000000,0.80820935,1.20808258
-5.91595798,2.52806326,0.03018036,0.66592854,0.96675541,0.00000000,0.83396886,1.20394775
-5.90995498,2.55213424,0.02977410,0.67813231,0.96363875,0.00000000,0.86155237,1.20007323
-5.90395198,2.57598314,0.02937903,0.68885723,0.96170814,0.00000000,0.89093622,1.19675694
-5.89794897,2.60010001,0.02901797,0.69825451,0.96114243,0.00000000,0.92206159,1.19427729
-5.89194597,2.62497638,0.02871533,0.70650397,0.96209145,0.00000000,0.95484317,1.19289502
-5.88594297,2.65110596,0.02849689,0.71380918,0.96468187,0.00000000,0.98918009,1.19285620
-5.87993997,2.67898726,0.02838947,0.72039286,0.96902390,0.00000000,1.02496876,1.19439605
-5.87393697,2.70912777,0.02842059,0.72649256,0.97521855,0.00000000,1.06211682,1.19774328
-5.86793397,2.74204893,0.02861812,0.73235699,0.98336460,0.00000000,1.10055743,1.20312430
-5.86193097,2.77829123,0.02900979,0.73824281,0.99356498,0.00000000,1.14026297,1.21076698
-5.85592796,2.81841812,0.02962269,0.74441192,1.00593171,0.00000000,1.18125700,1.22090335
-5.84992496,2.86301768,0.03048269,0.75112906,1.02058901,0.00000000,1.22362356,1.23377064
-5.84392196,2.91270073,0.03161380,0.75865944,1.03767404,0.00000000,1.26751259,1.24961025
-5.83791896,2.96809411,0.03303748,0.76726605,1.05733488,0.00000000,1.31314074,1.26866420
-5.83191596,3.02982820,0.03477189,0.77720636,1.07972551,0.00000000,1.36078672,1.29116876
-5.82591296,3.09851785,0.03683107,0.78872807,1.10499777,0.00000000,1.41078069,1.31734511
-5.81990995,3.17473655,0.03922413,0.80206360,1.13329031,0.00000000,1.46348773,1.34738713
-5.81390695,3.25898390,0.04195444,0.81742332,1.16471508,0.00000000,1.51928549,1.38144665
-5.80790395,3.35164727,0.04501877,0.83498725,1.19934169,0.00000000,1.57853675,1.41961649
-5.80190095,3.45295917,0.04840661,0.85489564,1.23718061,0.00000000,1.64155798,1.46191234
-5.79589795,3.56295206,0.05209953,0.87723855,1.27816593,0.00000000,1.70858525,1.50825421
-5.78989495,3.68141341,0.05607067,0.90204499,1.32213902,0.00000000,1.77973948,1.55844866
-5.78389195,3.80784370,0.06028449,0.92927222,1.36883393,0.00000000,1.85499278,1.61217310
-5.77788894,3.94142057,0.06469673,0.95879591,1.41786597,0.00000000,1.93413824,1.66896337
-5.77188594,4.08097227,0.06925463,0.99040204,1.46872435,0.00000000,2.01676523,1.72820589
-5.76588294,4.22496329,0.07389752,1.02378118,1.52076989,0.00000000,2.10224219,1.78913536
-5.75987994,4.37149461,0.07855765,1.05852610,1.57323863,0.00000000,2.18970866,1.85083909
-5.75387694,4.51832062,0.08316146,1.09413311,1.62525158,0.00000000,2.27807785,1.91226829
-5.74787394,4.66288343,0.08763107,1.13000777,1.67583086,0.00000000,2.36605054,1.97225669
-5.74187094,4.80236486,0.09188607,1.16547506,1.72392201,0.00000000,2.45214041,2.02954618
-5.73586793,4.93375499,0.09584561,1.19979399,1.76842177,0.00000000,2.53471042,2.08281891
-5.72986493,5.05393514,0.09943056,1.23217641,1.80821032,0.00000000,2.61201905,2.13073474
-5.72386193,5.15977248,0.10256583,1.26180934,1.84218690,0.00000000,2.68227460,2.17197267
-5.71785893,5.24822215,0.10518262,1.28787999,1.86930704,0.00000000,2.74369532,2.20527443
-5.71185593,5.31643254,0.10722062,1.30960255,1.88861988,0.00000000,2.79457263,2.22948844
-5.70585293,5.36184878,0.10862995,1.32624527,1.89930375,0.00000000,2.83333444,2.24361197
-5.69984992,5.38230950,0.10937290,1.33715694,1.90069833,0.00000000,2.85860556,2.24682947
-5.69384692,5.37613206,0.10942516,1.34179110,1.89233176,0.00000000,2.86926221,2.23854537
-5.68784392,5.34218207,0.10877677,1.33972708,1.87394141,0.00000000,2.86447790,2.21840946
-5.68184092,5.27992360,0.10743244,1.33068661,1.84548730,0.00000000,2.84375846,2.18633384
-5.67583792,5.18944774,0.10541147,1.31454536,1.80715744,0.00000000,2.80696463,2.14250042
-5.66983492,5.07147798,0.10274714,1.29133866,1.75936499,0.00000000,2.75432092,2.08735872
-5.66383192,4.92735238,0.09948560,1.26126131,1.70273739,0.00000000,2.68641080,2.02161419
-5.65782891,4.75898355,0.09568435,1.22466142,1.63809797,0.00000000,2.60415831,1.94620747
-5.65182591,4.56879857,0.09141039,1.18202874,1.56644125,0.00000000,2.50879743,1.86228594
-5.64582291,4.35966201,0.08673808,1.13397801,1.48890291,0.00000000,2.40183079,1.77116889
-5.63981991,4.13478592,0.08174681,1.08122834,1.40672617,0.00000000,2.28497994,1.67430790
-5.63381691,3.89763126,0.07651863,1.02457955,1.32122598,0.00000000,2.16012976,1.57324465
-5.62781391,3.65180518,0.07113590,0.96488670,1.23375276,0.00000000,2.02926956,1.46956768
-5.62181091,3.40095901,0.06567905,0.90303397,1.14565718,0.00000000,1.89443376,1.36487029
-5.61580790,3.14869091,0.06022452,0.83990903,1.05825736,0.00000000,1.75764456,1.26071108
-5.60980490,2.89845721,0.05484309,0.77637898,0.97280968,0.00000000,1.62085898,1.15857861
