energy_ev,total_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,1.90651029,0.44959360,0.27479185,0.05407727,1.41625641,0.04620406,0.00000000
-5.99399700,1.90837884,0.46077467,0.28300745,0.05780968,1.41300396,0.04319397,0.00000000
-5.98799400,1.91731071,0.47358682,0.29219425,0.06173698,1.41525078,0.04036139,0.00000000
-5.98199100,1.93276174,0.48782691,0.30219175,0.06580882,1.42260875,0.03772124,0.00000000
-5.97598799,1.95397140,0.50323783,0.31281039,0.06996893,1.43452710,0.03528345,0.00000000
-5.96998499,1.97997770,0.51951229,0.32383519,0.07415586,1.45030335,0.03305287,0.00000000
-5.96398199,2.00964036,0.53629894,0.33503043,0.07830396,1.46910032,0.03102949,0.00000000
-5.95797899,2.04167135,0.55321049,0.34614534,0.08234474,1.48996875,0.02920868,0.00000000
-5.95197599,2.07467202,0.56983368,0.35692045,0.08620826,1.51187489,0.02758167,0.00000000
-5.94597299,2.10717524,0.58574072,0.36709457,0.08982485,1.53373182,0.02613607,0.00000000
-5.93996998,2.13769110,0.60050179,0.37641198,0.09312686,1.55443350,0.02485652,0.00000000
-5.93396698,2.16475431,0.61369802,0.38462969,0.09605053,1.57289010,0.02372538,0.00000000
-5.92796398,2.18697136,0.62493458,0.39152448,0.09853774,1.58806322,0.02272349,0.00000000
-5.92196098,2.20306569,0.63385319,0.39689937,0.10053779,1.59899963,0.02183086,0.00000000
-5.91595798,2.21191897,0.64014355,0.40058939,0.10200893,1.60486221,0.02102744,0.00000000
-5.90995498,2.21260691,0.64355334,0.40246632,0.10291965,1.60495683,0.02029371,0.00000000
-5.90395198,2.20442835,0.64389616,0.40244236,0.10324972,1.59875436,0.01961135,0.00000000
-5.89794897,2.18692656,0.64105735,0.40047248,0.10299091,1.58590678,0.01896365,0.00000000
-5.89194597,2.15990208,0.63499726,0.39655549,0.10214723,1.56625728,0.01833600,0.00000000
-5.88594297,2.12341706,0.62575209,0.39073378,0.10073491,1.53984386,0.01771611,0.00000000
-5.87993997,2.07779103,0.61343216,0.38309180,0.09878194,1.50689675,0.01709425,0.00000000
-5.87393697,2.02358880,0.59821792,0.37375334,0.09632722,1.46782995,0.01646325,0.00000000
-5.86793397,1.96160125,0.58035376,0.36287789,0.09341950,1.42322745,0.01581857,0.00000000
-5.86193097,1.89282012,0.56014022,0.35065608,0.09011588,1.37382504,0.01515810,0.00000000
-5.85592796,1.81840808,0.53792468,0.33730453,0.08648025,1.32048857,0.01448204,0.00000000
