energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,0.42898492,0.02524297,0.00012500,0.01176593,0.26781701,0.15613266,0.15521106
-5.99399700,0.36687231,0.02188657,0.00010558,0.01024213,0.22889418,0.13183215,0.13344758
-5.98799400,0.31313684,0.01898296,0.00008863,0.00893144,0.19522073,0.11096023,0.11462126
-5.98199100,0.26732088,0.01652525,0.00007394,0.00783250,0.16650120,0.09322210,0.09861502
-5.97598799,0.22895409,0.01450389,0.00006130,0.00694284,0.14243312,0.07833503,0.08530241
-5.96998499,0.19757016,0.01290802,0.00005050,0.00625946,0.12271734,0.06603242,0.07455450
-5.96398199,0.17272141,0.01172654,0.00004134,0.00577934,0.10706694,0.05606697,0.06624593
-5.95797899,0.15399046,0.01094909,0.00003363,0.00549993,0.09521444,0.04821304,0.06025975
-5.95197599,0.14099887,0.01056675,0.00002719,0.00541942,0.08691713,0.04226800,0.05649108
-5.94597299,0.13341252,0.01057241,0.00002185,0.00553690,0.08196030,0.03805278,0.05484940
-5.93996998,0.13094369,0.01096105,0.00001747,0.00585247,0.08015862,0.03541146,0.05525945
-5.93396698,0.13334990,0.01172955,0.00001389,0.00636711,0.08135532,0.03421015,0.05766076
-5.92796398,0.14042972,0.01287638,0.00001100,0.00708243,0.08541975,0.03433510,0.06200597
-5.92196098,0.15201597,0.01440100,0.00000870,0.00800038,0.09224318,0.03569024,0.06825784
-5.91595798,0.16796651,0.01630307,0.00000689,0.00912274,0.10173321,0.03819423,0.07638545
-5.90995498,0.18815339,0.01858144,0.00000548,0.01045059,0.11380716,0.04177715,0.08635947
-5.90395198,0.21245075,0.02123314,0.00000442,0.01198371,0.12838476,0.04637702,0.09814705
-5.89794897,0.24072219,0.02425216,0.00000366,0.01371997,0.14538045,0.05193629,0.11170631
-5.89194597,0.27280839,0.02762840,0.00000315,0.01565462,0.16469588,0.05839837,0.12698111
-5.88594297,0.30851555,0.03134654,0.00000287,0.01777978,0.18621299,0.06570460,0.14389601
-5.87993997,0.34760557,0.03538517,0.00000281,0.02008391,0.20978799,0.07379154,0.16235214
-5.87393697,0.38978856,0.03971608,0.00000295,0.02255137,0.23524698,0.08258896,0.18222407
-5.86793397,0.43471843,0.04430385,0.00000332,0.02516223,0.26238322,0.09201853,0.20335802
-5.86193097,0.48199202,0.04910577,0.00000394,0.02789221,0.29095677,0.10199342,0.22557170
-5.85592796,0.53115235,0.05407215,0.00000484,0.03071279,0.32069649,0.11241886,0.24865604
