energy_ev,total_up,Cd_p_up,Cd_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,0.44194286,0.17676536,0.03305149,0.19811421,0.00027748,0.01824124,0.00000000
-5.99399700,0.45661289,0.18259738,0.03414094,0.20441050,0.00028632,0.01937456,0.00000000
-5.98799400,0.46890602,0.18747985,0.03504892,0.20951375,0.00029347,0.02065226,0.00000000
-5.98199100,0.47869469,0.19135976,0.03576535,0.21334725,0.00029881,0.02210589,0.00000000
-5.97598799,0.48593538,0.19421795,0.03628634,0.21586785,0.00030230,0.02377832,0.00000000
-5.96998499,0.49067407,0.19607121,0.03661456,0.21706835,0.00030391,0.02572404,0.00000000
-5.96398199,0.49304893,0.19697337,0.03675947,0.21697876,0.00030370,0.02800906,0.00000000
-5.95797899,0.49328994,0.19701516,0.03673727,0.21566635,0.00030175,0.03071069,0.00000000
-5.95197599,0.49171531,0.19632280,0.03657072,0.21323423,0.00029821,0.03391679,0.00000000
-5.94597299,0.48872464,0.19505536,0.03628852,0.20981877,0.00029326,0.03772469,0.00000000
-5.93996998,0.48478886,0.19340081,0.03592472,0.20558571,0.00028715,0.04223955,0.00000000
-5.93396698,0.48043734,0.19157103,0.03551768,0.20072516,0.00028013,0.04757232,0.00000000
-5.92796398,0.47624242,0.18979576,0.03510898,0.19544577,0.00027250,0.05383705,0.00000000
-5.92196098,0.47280183,0.18831580,0.03474219,0.18996807,0.00026457,0.06114774,0.00000000
-5.91595798,0.47071969,0.18737563,0.03446146,0.18451748,0.00025666,0.06961469,0.00000000
-5.90995498,0.47058656,0.18721573,0.03431007,0.17931702,0.00024909,0.07934051,0.00000000
-5.90395198,0.47295945,0.18806486,0.03432907,0.17458024,0.00024218,0.09041575,0.00000000
-5.89794897,0.47834231,0.19013261,0.03455580,0.17050432,0.00023621,0.10291442,0.00000000
-5.89194597,0.48716784,0.19360242,0.03502268,0.16726395,0.00023145,0.11688955,0.00000000
-5.88594297,0.49978127,0.19862550,0.03575601,0.16500587,0.00022812,0.13236894,0.00000000
-5.87993997,0.51642677,0.20531565,0.03677503,0.16384454,0.00022642,0.14935134,0.00000000
-5.87393697,0.53723709,0.21374541,0.03809119,0.16385888,0.00022650,0.16780331,0.00000000
-5.86793397,0.56222674,0.22394358,0.03970770,0.16509033,0.00022847,0.18765694,0.00000000
-5.86193097,0.59128934,0.23589427,0.04161934,0.16754220,0.00023237,0.20880865,0.00000000
-5.85592796,0.62419901,0.24953749,0.04381255,0.17118041,0.00023822,0.23111914,0.00000000
-5.84992496,0.66061610,0.26477131,0.04626585,0.17593543,0.00024599,0.25441481,0.00000000
-5.84392196,0.70009691,0.28145548,0.04895053,0.18170553,0.00025562,0.27849044,0.00000000
-5.83791896,0.74210731,0.29941635,0.05183155,0.18836103,0.00026701,0.30311332,0.00000000
-5.83191596,0.78603954,0.31845296,0.05486876,0.19574944,0.00028003,0.32802853,0.00000000
-5.82591296,0.83123166,0.33834381,0.05801816,0.20370134,0.00029454,0.35296538,0.00000000
-5.81990995,0.87698880,0.35885431,0.06123339,0.21203662,0.00031038,0.37764465,0.00000000
-5.81390695,0.92260535,0.37974418,0.06446720,0.22057091,0.00032739,0.40178627,0.00000000
-5.80790395,0.96738701,0.40077476,0.06767293,0.22912192,0.00034541,0.42511720,0.00000000
-5.80190095,1.01067176,0.42171562,0.07080590,0.23751534,0.00036427,0.44737899,0.00000000
-5.79589795,1.05184878,0.44235027,0.07382465,0.24559023,0.00038382,0.46833473,0.00000000
-5.78989495,1.09037443,0.46248062,0.07669192,0.25320337,0.00040392,0.48777500,0.00000000
-5.78389195,1.12578461,0.48193003,0.07937552,0.26023273,0.00042444,0.50552247,0.00000000
-5.77788894,1.15770288,0.50054480,0.08184870,0.26657973,0.00044526,0.52143495,0.00000000
-5.77188594,1.18584421,0.51819405,0.08409045,0.27217016,0.00046626,0.53540679,0.00000000
-5.76588294,1.21001421,0.53476816,0.08608530,0.27695407,0.00048732,0.54736855,0.00000000
-5.75987994,1.23010418,0.55017592,0.08782299,0.28090430,0.00050834,0.55728504,0.00000000
-5.75387694,1.24608246,0.56434075,0.08929787,0.28401412,0.00052921,0.56515193,0.00000000
-5.74787394,1.25798279,0.57719616,0.09050803,0.28629401,0.00054977,0.57099124,0.00000000
-5.74187094,1.26589065,0.58868124,0.09145450,0.28776782,0.00056990,0.57484600,0.00000000
-5.73586793,1.26992861,0.59873622,0.09214023,0.28846870,0.00058942,0.57677462,0.00000000
-5.72986493,1.27024171,0.60729884,0.09256923,0.28843490,0.00060813,0.57684526,0.00000000
-5.72386193,1.26698395,0.61430176,0.09274578,0.28770594,0.00062584,0.57513074,0.00000000
-5.71785893,1.26030689,0.61967130,0.09267375,0.28631920,0.00064228,0.57170427,0.00000000
-5.71185593,1.25035096,0.62332793,0.09235628,0.28430731,0.00065721,0.56663633,0.00000000
-5.70585293,1.23724015,0.62518823,0.09179553,0.28169634,0.00067035,0.55999290,0.00000000
-5.69984992,1.22108040,0.62516864,0.09099287,0.27850507,0.00068142,0.55183518,0.00000000
-5.69384692,1.20196142,0.62319062,0.08994916,0.27474516,0.00069014,0.54222063,0.00000000
-5.68784392,1.17996203,0.61918690,0.08866538,0.27042232,0.00069625,0.53120536,0.00000000
-5.68184092,1.15515817,0.61310862,0.08714334,0.26553829,0.00069950,0.51884753,0.00000000
-5.67583792,1.12763310,0.60493265,0.08538661,0.26009343,0.00069969,0.50521147,0.00000000
-5.66983492,1.09748877,0.59466879,0.08340140,0.25408983,0.00069666,0.49037220,0.00000000
-5.66383192,1.06485749,0.58236619,0.08119751,0.24753451,0.00069031,0.47441991,0.00000000
-5.65782891,1.02991304,0.56811870,0.07878913,0.24044264,0.00068059,0.45746403,0.00000000
-5.65182591,0.99288015,0.55206847,0.07619552,0.23284037,0.00066755,0.43963657,0.00000000
-5.64582291,0.95404185,0.53440782,0.07344149,0.22476719,0.00065130,0.42109445,0.00000000
-5.63981991,0.91374388,0.51537881,0.07055763,0.21627759,0.00063201,0.40202056,0.00000000
-5.63381691,0.87239598,0.49527077,0.06758025,0.20744185,0.00060995,0.38262353,0.00000000
-5.62781391,0.83046978,0.47441557,0.06455106,0.19834598,0.00058544,0.36313604,0.00000000
-5.62181091,0.78849340,0.45318089,0.06151663,0.18909069,0.00055888,0.34381187,0.00000000
