energy_ev,total_up,Fe_p_up,Fe_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.36809101,0.75373899,0.38409182,1.72200886,0.54296784,0.00666178,0.48970126,0.98652586,0.00000000
-5.99399700,2.38675547,0.75612101,0.40079638,1.68345966,0.54602296,0.00673363,0.49545559,0.99254889,0.00000000
-5.98799400,2.40769836,0.75836965,0.41816122,1.64361648,0.55046065,0.00677281,0.50139464,0.99974244,0.00000000
-5.98199100,2.43095789,0.76061409,0.43598373,1.60305137,0.55633395,0.00677804,0.50754054,1.00816254,0.00000000
-5.97598799,2.45649870,0.76298713,0.45404066,1.56233964,0.56365784,0.00674867,0.51390203,1.01783897,0.00000000
-5.96998499,2.48421863,0.76562421,0.47209363,1.52205433,0.57241037,0.00668474,0.52047455,1.02877698,0.00000000
-5.96398199,2.51395872,0.76866268,0.48989555,1.48276051,0.58253517,0.00658698,0.52724107,1.04096012,0.00000000
-5.95797899,2.54551583,0.77224120,0.50719783,1.44500953,0.59394544,0.00645677,0.53417343,1.05435399,0.00000000
-5.95197599,2.57865734,0.77649935,0.52375784,1.40933294,0.60652904,0.00629610,0.54123423,1.06891071,0.00000000
-5.94597299,2.61313711,0.78157720,0.53934655,1.37623605,0.62015456,0.00610757,0.54837922,1.08457377,0.00000000
-5.93996998,2.64871189,0.78761499,0.55375586,1.34619112,0.63467810,0.00589424,0.55556004,1.10128306,0.00000000
-5.93396698,2.68515725,0.79475262,0.56680533,1.31963021,0.64995030,0.00565961,0.56272729,1.11897969,0.00000000
-5.92796398,2.72228234,0.80312903,0.57834800,1.29693791,0.66582346,0.00540753,0.56983365,1.13761044,0.00000000
-5.92196098,2.75994249,0.81288140,0.58827501,1.27844398,0.68215819,0.00514207,0.57683706,1.15713145,0.00000000
-5.91595798,2.79804903,0.82414394,0.59651889,1.26441642,0.69882943,0.00486746,0.58370370,1.17751111,0.00000000
-5.90995498,2.83657570,0.83704646,0.60305517,1.25505502,0.71573134,0.00458800,0.59041058,1.19873178,0.00000000
-5.90395198,2.87556121,0.85171245,0.60790253,1.25048588,0.73278087,0.00430794,0.59694766,1.22079032,0.00000000
-5.89794897,2.91510770,0.86825677,0.61112121,1.25075721,0.74991985,0.00403147,0.60331925,1.24369750,0.00000000
-5.89194597,2.95537501,0.88678294,0.61280997,1.25583670,0.76711528,0.00376260,0.60954463,1.26747601,0.00000000
-5.88594297,2.99657096,0.90738000,0.61310167,1.26561073,0.78435802,0.00350513,0.61565775,1.29215748,0.00000000
-5.87993997,3.03893793,0.93011897,0.61215772,1.27988564,0.80165964,0.00326263,0.62170594,1.31777843,0.00000000
-5.87393697,3.08273639,0.95504910,0.61016160,1.29839116,0.81904784,0.00303835,0.62774772,1.34437541,0.00000000
-5.86793397,3.12822611,0.98219390,0.60731197,1.32078608,0.83656053,0.00283528,0.63384959,1.37197965,0.00000000
-5.86193097,3.17564583,1.01154715,0.60381536,1.34666593,0.85423885,0.00265608,0.64008208,1.40061137,0.00000000
-5.85592796,3.22519247,1.04306899,0.59987903,1.37557271,0.87211964,0.00250309,0.64651515,1.43027409,0.00000000
-5.84992496,3.27700084,1.07668230,0.59570417,1.40700602,0.89022773,0.00237836,0.65321310,1.46094925,0.00000000
-5.84392196,3.33112489,1.11226960,0.59147969,1.44043556,0.90856841,0.00228361,0.66022935,1.49259126,0.00000000
-5.83791896,3.38752141,1.14967046,0.58737674,1.47531415,0.92712071,0.00222024,0.66760132,1.52512341,0.00000000
