energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,5.64315188,0.00764423,1.64722193,5.26123272,2.16228642,0.08168339,1.49314697
-5.99399700,5.82747323,0.00794697,1.69334234,5.43018702,2.20843435,0.08673313,1.55732508
-5.98799400,6.00693102,0.00826515,1.73783800,5.59609315,2.25252450,0.09169095,1.62049790
-5.98199100,6.17902051,0.00859873,1.78007272,5.75708880,2.29372387,0.09650438,1.68183075
-5.97598799,6.34133977,0.00894751,1.81944107,5.91137015,2.33124164,0.10112210,1.74051191
-5.96998499,6.49165655,0.00931119,1.85538647,6.05723542,2.36435211,0.10549512,1.79577365
-5.96398199,6.62797127,0.00968930,1.88741810,6.19312624,2.39241624,0.10957796,1.84691250
-5.95797899,6.74857417,0.01008132,1.91512609,6.31766578,2.41490082,0.11332983,1.89330782
-5.95197599,6.85209421,0.01048664,1.93819435,6.42969248,2.43139475,0.11671558,1.93443811
-5.94597299,6.93753791,0.01090467,1.95641060,6.52828839,2.44162160,0.11970671,1.96989440
-5.93996998,7.00431668,0.01133481,1.96967321,6.61280148,2.44544817,0.12228207,1.99939018
-5.93396698,7.05226138,0.01177655,1.97799449,6.68286098,2.44288845,0.12442844,2.02276755
-5.92796398,7.08162358,0.01222948,1.98150044,6.73838551,2.43410292,0.12614097,2.03999921
-5.92196098,7.09306335,0.01269329,1.98042681,6.77958351,2.41939318,0.12742332,2.05118637
-5.91595798,7.08762407,0.01316781,1.97511168,6.80694602,2.39919186,0.12828767,2.05655263
-5.90995498,7.06669513,0.01365296,1.96598481,6.82123177,2.37404849,0.12875452,2.05643402
-5.90395198,7.03196404,0.01414878,1.95355415,6.82344514,2.34461156,0.12885219,2.05126565
-5.89794897,6.98535966,0.01465530,1.93838998,6.81480721,2.31160761,0.12861627,2.04156557
-5.89194597,6.92898873,0.01517258,1.92110734,6.79672087,2.27581805,0.12808876,2.02791635
-5.88594297,6.86506800,0.01570056,1.90234715,6.77073059,2.23805465,0.12731710,2.01094518
-5.87993997,6.79585439,0.01623900,1.88275690,6.73847801,2.19913455,0.12635298,1.99130323
-5.87393697,6.72357547,0.01678742,1.86297130,6.70165435,2.15985565,0.12525110,1.96964491
-5.86793397,6.65036260,0.01734500,1.84359366,6.66195073,2.12097327,0.12406773,1.94660794
-5.86193097,6.57818867,0.01791047,1.82517841,6.62100791,2.08317881,0.12285922,1.92279456
-5.85592796,6.50881226,0.01848210,1.80821520,6.58036630,2.04708101,0.12168041,1.89875479
-5.84992496,6.44372958,0.01905759,1.79311510,6.54141803,2.01319034,0.12058308,1.87497190
-5.84392196,6.38413530,0.01963406,1.78019906,6.50536191,1.98190683,0.11961436,1.85185061
-5.83791896,6.33089293,0.02020801,1.76968898,6.47316299,1.95351164,0.11881526,1.82970819
-5.83191596,6.28451532,0.02077530,1.76170141,6.44551764,1.92816232,0.11821923,1.80876848
-5.82591296,6.24515523,0.02133124,1.75624418,6.42282558,1.90589175,0.11785096,1.78915910
-5.81990995,6.21260606,0.02187053,1.75321579,6.40516982,1.88661074,0.11772536,1.77091145
-5.81390695,6.18631231,0.02238740,1.75240777,6.39230556,1.87011386,0.11784677,1.75396362
-5.80790395,6.16538943,0.02287564,1.75350980,6.38365892,1.85608842,0.11820853,1.73816592
-5.80190095,6.14865253,0.02332872,1.75611774,6.37833593,1.84412612,0.11879283,1.72328879
-5.79589795,6.13465324,0.02373992,1.75974423,6.37514240,1.83373723,0.11957096,1.70903281
-5.78989495,6.12172401,0.02410241,1.76383189,6.37261454,1.82436673,0.12050392,1.69504060
-5.78389195,6.10802911,0.02440945,1.76776886,6.36906008,1.81541220,0.12154340,1.68091027
-5.77788894,6.09162116,0.02465451,1.77090639,6.36260929,1.80624305,0.12263314,1.66621013
-5.77188594,6.07050231,0.02483146,1.77257815,6.35127471,1.79622066,0.12371059,1.65049427
-5.76588294,6.04268848,0.02493471,1.77212084,6.33301813,1.78471895,0.12470889,1.63331876
-5.75987994,6.00627545,0.02495944,1.76889556,6.30582286,1.77114502,0.12555901,1.61425807
-5.75387694,5.95950488,0.02490174,1.76230937,6.26776898,1.75495933,0.12619209,1.59292121
-5.74787394,5.90082835,0.02475879,1.75183627,6.21710890,1.73569472,0.12654180,1.56896739
-5.74187094,5.82896758,0.02452904,1.73703692,6.15234052,1.71297390,0.12654672,1.54212040
-5.73586793,5.74296840,0.02421232,1.71757641,6.07227472,1.68652473,0.12615247,1.51218167
-5.72986493,5.64224657,0.02381003,1.69323911,5.97609464,1.65619263,0.12531379,1.47904119
-5.72386193,5.52662328,0.02332517,1.66394010,5.86340358,1.62194979,0.12399622,1.44268605
-5.71785893,5.39634862,0.02276246,1.62973241,5.73425939,1.58390045,0.12217739,1.40320616
-5.71185593,5.25211144,0.02212831,1.59080969,5.58919319,1.54228205,0.11984797,1.36079680
-5.70585293,5.09503466,0.02143085,1.54750391,5.42921114,1.49746205,0.11701205,1.31575778
-5.69984992,4.92665564,0.02067982,1.50027798,5.25577855,1.44993013,0.11368716,1.26848917
