energy_ev,total_up,Ag_p_up,Ag_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.99307253,0.27732479,3.61713757,0.19649448,0.00687527,0.03730065,0.11460230
-5.99399700,4.01553633,0.28192271,3.63521455,0.19803069,0.00704508,0.03884444,0.11758831
-5.98799400,4.04206320,0.28679405,3.65688481,0.19971610,0.00722455,0.04039856,0.12084148
-5.98199100,4.07310607,0.29195013,3.68257837,0.20158189,0.00741225,0.04195902,0.12436099
-5.97598799,4.10902773,0.29739786,3.71264451,0.20365390,0.00760652,0.04352184,0.12814059
-5.96998499,4.15008385,0.30313705,3.74733701,0.20595102,0.00780557,0.04508308,0.13216797
-5.96398199,4.19640732,0.30915790,3.78680049,0.20848383,0.00800748,0.04663880,0.13642413
-5.95797899,4.24799447,0.31543899,3.83105826,0.21125348,0.00821027,0.04818513,0.14088303
-5.95197599,4.30469380,0.32194552,3.88000220,0.21425079,0.00841191,0.04971819,0.14551137
-5.94597299,4.36619767,0.32862836,3.93338511,0.21745575,0.00861039,0.05123414,0.15026857
-5.93996998,4.43203772,0.33542349,3.99081622,0.22083735,0.00880377,0.05272910,0.15510704
-5.93396698,4.50158434,0.34225226,4.05176012,0.22435377,0.00899015,0.05419917,0.15997263
-5.92796398,4.57405080,0.34902229,4.11553981,0.22795303,0.00916780,0.05564034,0.16480545
-5.92196098,4.64850234,0.35562900,4.18134400,0.23157399,0.00933507,0.05704846,0.16954083
-5.91595798,4.72387036,0.36195778,4.24823901,0.23514769,0.00949049,0.05841921,0.17411057
-5.90995498,4.79897173,0.36788671,4.31518531,0.23859904,0.00963274,0.05974798,0.17844442
-5.90395198,4.87253310,0.37328979,4.38105847,0.24184881,0.00976069,0.06102989,0.18247171
-5.89794897,4.94321970,0.37804037,4.44467445,0.24481578,0.00987334,0.06225965,0.18612310
-5.89194597,5.00966804,0.38201496,4.50481839,0.24741909,0.00996990,0.06343160,0.18933241
-5.88594297,5.07052167,0.38509702,4.56027640,0.24958056,0.01004971,0.06453966,0.19203849
-5.87993997,5.12446891,0.38718072,4.60986939,0.25122714,0.01011232,0.06557730,0.19418696
-5.87393697,5.17028144,0.38817447,4.65248778,0.25229306,0.01015742,0.06653766,0.19573193
-5.86793397,5.20685235,0.38800413,4.68712612,0.25272195,0.01018488,0.06741355,0.19663745
