energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.87442796,0.10072913,0.14786746,0.64378901,0.16102265,0.02165078,1.06933625,1.26647658,0.61062334
-5.99399700,2.87503468,0.10296830,0.14492982,0.65125675,0.16100147,0.02162663,1.07687674,1.26535437,0.60616488
-5.98799400,2.86505635,0.10476069,0.14137080,0.65621814,0.16028998,0.02149173,1.08059050,1.25941785,0.59947382
-5.98199100,2.84476882,0.10609195,0.13723025,0.65865620,0.15891161,0.02125126,1.08051527,1.24876640,0.59065036
-5.97598799,2.81457071,0.10695411,0.13255563,0.65858737,0.15690120,0.02091291,1.07673535,1.23355459,0.57981725
-5.96998499,2.77497554,0.10734547,0.12740133,0.65606054,0.15430417,0.02048669,1.06937951,1.21399001,0.56711759
-5.96398199,2.72660220,0.10727036,0.12182784,0.65115555,0.15117551,0.01998467,1.05861836,1.19033002,0.55271237
-5.95797899,2.67016399,0.10673888,0.11590065,0.64398130,0.14757852,0.01942062,1.04466127,1.16287776,0.53677782
-5.95197599,2.60645644,0.10576657,0.10968906,0.63467348,0.14358332,0.01880967,1.02775284,1.13197727,0.51950251
-5.94597299,2.53634417,0.10437401,0.10326483,0.62339203,0.13926522,0.01816780,1.00816911,1.09800800,0.50108443
-5.93996998,2.46074708,0.10258641,0.09670073,0.61031838,0.13470300,0.01751145,0.98621343,1.06137868,0.48172792
-5.93396698,2.38062605,0.10043324,0.09006906,0.59565249,0.12997717,0.01685700,0.96221205,1.02252084,0.46164069
-5.92796398,2.29696825,0.09794773,0.08344024,0.57960972,0.12516815,0.01622033,0.93650942,0.98188194,0.44103079
-5.92196098,2.21077249,0.09516647,0.07688136,0.56241754,0.12035457,0.01561632,0.90946335,0.93991845,0.42010377
-5.91595798,2.12303446,0.09212895,0.07045495,0.54431211,0.11561163,0.01505850,0.88143968,0.89708879,0.39905989
-5.90995498,2.03473229,0.08887700,0.06421794,0.52553473,0.11100959,0.01455863,0.85280693,0.85384653,0.37809160
-5.90395198,1.94681241,0.08545434,0.05822072,0.50632810,0.10661246,0.01412639,0.82393058,0.81063364,0.35738116
-5.89794897,1.86017604,0.08190595,0.05250655,0.48693256,0.10247681,0.01376916,0.79516724,0.76787429,0.33709848
-5.89194597,1.77566641,0.07827743,0.04711117,0.46758224,0.09865085,0.01349185,0.76685873,0.72596895,0.31739934
-5.88594297,1.69405698,0.07461439,0.04206268,0.44850113,0.09517373,0.01329676,0.73932631,0.68528917,0.29842376
-5.87993997,1.61604099,0.07096170,0.03738168,0.42989941,0.09207507,0.01318365,0.71286500,0.64617296,0.28029473
-5.87393697,1.54222244,0.06736275,0.03308163,0.41196974,0.08937471,0.01314976,0.68773839,0.60892100,0.26311733
-5.86793397,1.47310903,0.06385873,0.02916940,0.39488401,0.08708276,0.01318996,0.66417404,0.57379360,0.24697809
-5.86193097,1.40910704,0.06048785,0.02564601,0.37879037,0.08519980,0.01329697,0.64235965,0.54100865,0.23194475
-5.85592796,1.35051859,0.05728472,0.02250745,0.36381089,0.08371735,0.01346166,0.62244017,0.51074046,0.21806641
-5.84992496,1.29754125,0.05427962,0.01974562,0.35003969,0.08261859,0.01367336,0.60451615,0.48311959,0.20537396
-5.84392196,1.25027025,0.05149803,0.01734931,0.33754193,0.08187911,0.01392025,0.58864316,0.45823365,0.19388096
-5.83791896,1.20870304,0.04896016,0.01530512,0.32635341,0.08146802,0.01418972,0.57483260,0.43612904,0.18358470
-5.83191596,1.17274631,0.04668065,0.01359836,0.31648107,0.08134898,0.01446884,0.56305374,0.41681347,0.17446769
-5.82591296,1.14222501,0.04466839,0.01221392,0.30790422,0.08148144,0.01474473,0.55323697,0.40025936,0.16649929
-5.81990995,1.11689311,0.04292655,0.01113692,0.30057651,0.08182193,0.01500496,0.54527811,0.38640775,0.15963751
-5.81390695,1.09644571,0.04145267,0.01035333,0.29442857,0.08232527,0.01523793,0.53904360,0.37517274,0.15383102
-5.80790395,1.08053189,0.04023898,0.00985042,0.28937121,0.08294587,0.01543318,0.53437636,0.36644616,0.14902108
-5.80190095,1.06876782,0.03927279,0.00961697,0.28529903,0.08363887,0.01558169,0.53110199,0.36010234,0.14514348
-5.79589795,1.06074961,0.03853709,0.00964344,0.28209439,0.08436129,0.01567604,0.52903516,0.35600281,0.14213041
-5.78989495,1.05606529,0.03801114,0.00992192,0.27963146,0.08507294,0.01571062,0.52798579,0.35400061,0.13991204
-5.78389195,1.05430555,0.03767120,0.01044589,0.27778024,0.08573727,0.01568170,0.52776481,0.35394421,0.13841801
-5.77788894,1.05507272,0.03749130,0.01120993,0.27641054,0.08632205,0.01558740,0.52818936,0.35568072,0.13757851
-5.77188594,1.05798786,0.03744402,0.01220925,0.27539548,0.08679983,0.01542769,0.52908707,0.35905846,0.13732513
-5.76588294,1.06269565,0.03750130,0.01343913,0.27461480,0.08714825,0.01520426,0.53029946,0.36392860,0.13759137
-5.75987994,1.06886708,0.03763513,0.01489435,0.27395750,0.08735019,0.01492034,0.53168423,0.37014608,0.13831289
-5.75387694,1.07620000,0.03781828,0.01656848,0.27332401,0.08739367,0.01458053,0.53311658,0.37756963,0.13942743
-5.74787394,1.08441782,0.03802492,0.01845326,0.27262773,0.08727172,0.01419056,0.53448941,0.38606104,0.14087459
-5.74187094,1.09326644,0.03823117,0.02053799,0.27179594,0.08698198,0.01375698,0.53571266,0.39548386,0.14259533
-5.73586793,1.10251003,0.03841548,0.02280893,0.27077010,0.08652622,0.01328696,0.53671172,0.40570156,0.14453153
-5.72986493,1.11192596,0.03855898,0.02524890,0.26950561,0.08590980,0.01278800,0.53742531,0.41657538,0.14662542
-5.72386193,1.12129940,0.03864571,0.02783690,0.26797103,0.08514097,0.01226765,0.53780277,0.42796216,0.14881910
-5.71785893,1.13041817,0.03866271,0.03054802,0.26614687,0.08423025,0.01173333,0.53780121,0.43971230,0.15105424
-5.71185593,1.13906814,0.03860001,0.03335341,0.26402408,0.08318965,0.01119206,0.53738256,0.45166802,0.15327195
-5.70585293,1.14702985,0.03845060,0.03622053,0.26160226,0.08203200,0.01065034,0.53651083,0.46366226,0.15541287
-5.69984992,1.15407650,0.03821024,0.03911359,0.25888782,0.08077030,0.01011395,0.53514969,0.47551839,0.15741758
-5.69384692,1.15997384,0.03787726,0.04199413,0.25589211,0.07941715,0.00958794,0.53326072,0.48705073,0.15922733
-5.68784392,1.16448180,0.03745233,0.04482194,0.25262968,0.07798421,0.00907645,0.53080224,0.49806616,0.16078498
-5.68184092,1.16735825,0.03693817,0.04755594,0.24911677,0.07648184,0.00858279,0.52772901,0.50836679,0.16203629
-5.67583792,1.16836457,0.03633929,0.05015536,0.24537009,0.07491889,0.00810936,0.52399274,0.51775360,0.16293135
-5.66983492,1.16727289,0.03566175,0.05258094,0.24140598,0.07330251,0.00765777,0.51954342,0.52603106,0.16342619
-5.66383192,1.16387468,0.03491288,0.05479612,0.23723995,0.07163825,0.00722882,0.51433143,0.53301248,0.16348442
-5.65782891,1.15799018,0.03410111,0.05676834,0.23288665,0.06993018,0.00682266,0.50831036,0.53852589,0.16307885
-5.65182591,1.14947819,0.03323575,0.05847014,0.22836021,0.06818117,0.00643881,0.50144019,0.54242018,0.16219296
-5.64582291,1.13824554,0.03232689,0.05988017,0.22367490,0.06639329,0.00607637,0.49369091,0.54457116,0.16082212
-5.63981991,1.12425579,0.03138525,0.06098405,0.21884607,0.06456827,0.00573403,0.48504603,0.54488722,0.15897451
-5.63381691,1.10753623,0.03042207,0.06177495,0.21389116,0.06270803,0.00541026,0.47550602,0.54331415,0.15667160
-5.62781391,1.08818303,0.02944906,0.06225394,0.20883083,0.06081513,0.00510341,0.46509120,0.53983897,0.15394815
-5.62181091,1.06636370,0.02847827,0.06242999,0.20368994,0.05889337,0.00481177,0.45384401,0.53449233,0.15085171
-5.61580790,1.04231669,0.02752201,0.06231972,0.19849835,0.05694815,0.00453372,0.44183031,0.52734934,0.14744160
-5.60980490,1.01634798,0.02659270,0.06194683,0.19329141,0.05498686,0.00426775,0.42913975,0.51852859,0.14378732
-5.60380190,0.98882447,0.02570271,0.06134120,0.18811004,0.05301911,0.00401255,0.41588492,0.50818951,0.13996657
-5.59779890,0.96016442,0.02486418,0.06053782,0.18300037,0.05105687,0.00376705,0.40219933,0.49652780,0.13606277
-5.59179590,0.93082523,0.02408877,0.05957542,0.17801293,0.04911437,0.00353045,0.38823435,0.48376945,0.13216233
-5.58579290,0.90128908,0.02338740,0.05849498,0.17320140,0.04720801,0.00330220,0.37415510,0.47016318,0.12835171
-5.57978989,0.87204700,0.02276992,0.05733822,0.16862092,0.04535597,0.00308201,0.36013550,0.45597199,0.12471440
-5.57378689,0.84358211,0.02224485,0.05614593,0.16432615,0.04357781,0.00286982,0.34635277,0.44146400,0.12132791
-5.56778389,0.81635291,0.02181902,0.05495648,0.16036907,0.04189394,0.00266581,0.33298161,0.42690295,0.11826108
-5.56178089,0.79077732,0.02149730,0.05380442,0.15679682,0.04032500,0.00247027,0.32018840,0.41253910,0.11557157
-5.55577789,0.76721832,0.02128232,0.05271920,0.15364952,0.03889119,0.00228364,0.30812563,0.39860067,0.11330390
