energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,5.46892055,-4.91259689,0.04240844,-0.03839104,1.42768071,-1.29314690,3.98072382,-3.58934842,1.60126309,-1.44232599,0.52509991,-0.46561765,0.30489160,-0.26688004,1.31272989,-1.16905766,0.00000000,-0.00000000
-5.99399700,5.84978373,-5.30110102,0.04482528,-0.04104530,1.51891166,-1.38901729,4.27257258,-3.88506794,1.69296251,-1.54079514,0.57206179,-0.51072573,0.32876006,-0.29012208,1.42091681,-1.27494304,0.00000000,-0.00000000
-5.98799400,6.22413788,-5.68929948,0.04709275,-0.04360984,1.60680994,-1.48327191,4.56054621,-4.18143924,1.77961408,-1.63620119,0.62045260,-0.55771770,0.35271507,-0.31376928,1.53062167,-1.38366964,0.00000000,-0.00000000
-5.98199100,6.58791749,-6.07304034,0.04917929,-0.04604867,1.69030449,-1.57476853,4.84135672,-4.47522354,1.86013867,-1.72732100,0.66991193,-0.60627384,0.37652983,-0.33760764,1.64086002,-1.49431885,0.00000000,-0.00000000
-5.97598799,6.93713297,-6.44811067,0.05105650,-0.04832727,1.76837850,-1.66237542,5.11169493,-4.76306059,1.93356648,-1.81298682,0.72004435,-0.65603513,0.39997206,-0.36141229,1.75059745,-1.60590251,0.00000000,-0.00000000
-5.96998499,7.26794894,-6.81032108,0.05269993,-0.05041355,1.84009380,-1.74499900,5.36829871,-5.04153631,1.99906260,-1.89211824,0.77042221,-0.70660508,0.42280737,-0.38495073,1.85876252,-1.71737430,0.00000000,-0.00000000
-5.96398199,7.57675811,-7.15559098,0.05408974,-0.05227873,1.90461277,-1.82161081,5.60802138,-5.30725419,2.05594764,-1.96375154,0.82058974,-0.75755272,0.44480268,-0.40798633,1.96426149,-1.82764324,0.00000000,-0.00000000
-5.95797899,7.86024854,-7.48003143,0.05521126,-0.05389823,1.96121684,-1.89127251,5.82789838,-5.55690811,2.10371273,-2.02706518,0.87006817,-0.80841681,0.46572966,-0.43028198,2.06599431,-1.93558914,0.00000000,-0.00000000
-5.95197599,8.11546221,-7.78002303,0.05605532,-0.05525231,2.00932118,-1.95315823,6.02521007,-5.78735447,2.14202808,-2.08140029,0.91836211,-0.85871126,0.48536800,-0.45160369,2.16287185,-2.04007964,0.00000000,-0.00000000
-5.94597299,8.33984365,-8.05228624,0.05661838,-0.05632664,2.04848484,-2.00657321,6.19753907,-5.99568135,2.17074494,-2.12627520,0.96496708,-0.90793186,0.50350861,-0.47172427,2.25383401,-2.13998866,0.00000000,-0.00000000
