energy_ev,total_up,Ca_p_up,Ca_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.40479166,0.00717612,0.00000000,0.31581008,0.62666881,0.00393080,0.18129160,0.69553402,0.00000000
-5.99399700,1.43828939,0.00723130,0.00000000,0.32763973,0.64254756,0.00410729,0.18344127,0.71510772,0.00000000
-5.98799400,1.47615918,0.00732081,0.00000000,0.34084588,0.66039264,0.00430013,0.18584524,0.73707739,0.00000000
-5.98199100,1.51758059,0.00744260,0.00000000,0.35515742,0.67977862,0.00450903,0.18843036,0.76102621,0.00000000
-5.97598799,1.56162024,0.00759423,0.00000000,0.37028681,0.70022539,0.00473381,0.19110743,0.78648083,0.00000000
-5.96998499,1.60726320,0.00777293,0.00000000,0.38593744,0.72121215,0.00497447,0.19377553,0.81292679,0.00000000
-5.96398199,1.65344888,0.00797584,0.00000000,0.40181173,0.74219372,0.00523123,0.19632697,0.83982605,0.00000000
-5.95797899,1.69910979,0.00820008,0.00000000,0.41761948,0.76261841,0.00550459,0.19865243,0.86663601,0.00000000
-5.95197599,1.74321083,0.00844292,0.00000000,0.43308609,0.78194664,0.00579539,0.20064627,0.89282878,0.00000000
-5.94597299,1.78478723,0.00870191,0.00000000,0.44796034,0.79966938,0.00610478,0.20221140,0.91790989,0.00000000
-5.93996998,1.82297905,0.00897496,0.00000000,0.46202115,0.81532540,0.00643427,0.20326377,0.94143520,0.00000000
-5.93396698,1.85706027,0.00926039,0.00000000,0.47508299,0.82851659,0.00678559,0.20373598,0.96302531,0.00000000
-5.92796398,1.88646095,0.00955698,0.00000000,0.48699970,0.83892040,0.00716069,0.20358002,0.98237641,0.00000000
-5.92196098,1.91078136,0.00986388,0.00000000,0.49766634,0.84629905,0.00756153,0.20276887,0.99926730,0.00000000
-5.91595798,1.92979721,0.01018063,0.00000000,0.50701911,0.85050480,0.00798996,0.20129705,1.01356185,0.00000000
-5.90995498,1.94345592,0.01050697,0.00000000,0.51503317,0.85148127,0.00844756,0.19917995,1.02520715,0.00000000
-5.90395198,1.95186425,0.01084273,0.00000000,0.52171860,0.84926070,0.00893538,0.19645217,1.03422732,0.00000000
-5.89794897,1.95526820,0.01118767,0.00000000,0.52711477,0.84395747,0.00945377,0.19316490,1.04071338,0.00000000
-5.89194597,1.95402640,0.01154125,0.00000000,0.53128330,0.83575824,0.01000217,0.18938265,1.04481013,0.00000000
-5.88594297,1.94857893,0.01190250,0.00000000,0.53430026,0.82490936,0.01057896,0.18517935,1.04670056,0.00000000
-5.87993997,1.93941323,0.01226983,0.00000000,0.53624796,0.81170233,0.01118126,0.18063427,1.04658911,0.00000000
-5.87393697,1.92702966,0.01264087,0.00000000,0.53720695,0.79645815,0.01180489,0.17582790,1.04468464,0.00000000
-5.86793397,1.91190840,0.01301239,0.00000000,0.53724867,0.77951134,0.01244432,0.17083805,1.04118436,0.00000000
-5.86193097,1.89448001,0.01338025,0.00000000,0.53642927,0.76119469,0.01309273,0.16573641,1.03625967,0.00000000
-5.85592796,1.87510130,0.01373938,0.00000000,0.53478503,0.74182539,0.01374208,0.16058573,1.03004482,0.00000000
-5.84992496,1.85403788,0.01408387,0.00000000,0.53232955,0.72169318,0.01438338,0.15543775,1.02262912,0.00000000
-5.84392196,1.83145428,0.01440710,0.00000000,0.52905306,0.70105132,0.01500690,0.15033196,1.01405309,0.00000000
-5.83791896,1.80741222,0.01470194,0.00000000,0.52492370,0.68011033,0.01560256,0.14529529,1.00430879,0.00000000
-5.83191596,1.78187683,0.01496098,0.00000000,0.51989082,0.65903503,0.01616032,0.14034251,0.99334438,0.00000000
-5.82591296,1.75473028,0.01517682,0.00000000,0.51388997,0.63794462,0.01667064,0.13547752,0.98107232,0.00000000
-5.81990995,1.72579184,0.01534239,0.00000000,0.50684930,0.61691566,0.01712498,0.13069517,0.96738088,0.00000000
-5.81390695,1.69484292,0.01545128,0.00000000,0.49869690,0.59598754,0.01751626,0.12598360,0.95214811,0.00000000
-5.80790395,1.66165551,0.01549807,0.00000000,0.48936863,0.57517002,0.01783937,0.12132688,0.93525732,0.00000000
-5.80190095,1.62602205,0.01547858,0.00000000,0.47881591,0.55445213,0.01809165,0.11670776,0.91661315,0.00000000
-5.79589795,1.58778512,0.01539020,0.00000000,0.46701300,0.53381184,0.01827321,0.11211038,0.89615722,0.00000000
-5.78989495,1.54686483,0.01523208,0.00000000,0.45396326,0.51322593,0.01838732,0.10752274,0.87388241,0.00000000
-5.78389195,1.50328264,0.01500523,0.00000000,0.43970403,0.49267928,0.01844064,0.10293885,0.84984481,0.00000000
-5.77788894,1.45718000,0.01471267,0.00000000,0.42430996,0.47217318,0.01844329,0.09836038,0.82417283,0.00000000
-5.77188594,1.40883088,0.01435938,0.00000000,0.40789432,0.45173217,0.01840894,0.09379777,0.79707276,0.00000000
-5.76588294,1.35864760,0.01395224,0.00000000,0.39060852,0.43140901,0.01835463,0.08927081,0.76883053,0.00000000
-5.75987994,1.30717956,0.01349988,0.00000000,0.37263973,0.41128763,0.01830055,0.08480858,0.73980958,0.00000000
-5.75387694,1.25510498,0.01301248,0.00000000,0.35420672,0.39148402,0.01826970,0.08044886,0.71044484,0.00000000
-5.74787394,1.20321625,0.01250145,0.00000000,0.33555424,0.37214495,0.01828736,0.07623708,0.68123322,0.00000000
-5.74187094,1.15239934,0.01197918,0.00000000,0.31694621,0.35344484,0.01838050,0.07222477,0.65272090,0.00000000
-5.73586793,1.10360853,0.01145862,0.00000000,0.29865801,0.33558085,0.01857712,0.06846781,0.62548804,0.00000000
-5.72986493,1.05783741,0.01095296,0.00000000,0.28096837,0.31876668,0.01890538,0.06502428,0.60013169,0.00000000
-5.72386193,1.01608748,0.01047522,0.00000000,0.26415111,0.30322530,0.01939282,0.06195239,0.57724731,0.00000000
-5.71785893,0.97933575,0.01003791,0.00000000,0.24846717,0.28918107,0.02006545,0.05930823,0.55740997,0.00000000
-5.71185593,0.94850249,0.00965266,0.00000000,0.23415724,0.27685163,0.02094681,0.05714364,0.54115578,0.00000000
-5.70585293,0.92442051,0.00932992,0.00000000,0.22143523,0.26643999,0.02205710,0.05550432,0.52896423,0.00000000
-5.69984992,0.90780716,0.00907870,0.00000000,0.21048292,0.25812716,0.02341233,0.05442805,0.52124223,0.00000000
-5.69384692,0.89924000,0.00890633,0.00000000,0.20144580,0.25206565,0.02502350,0.05394325,0.51831031,0.00000000
-5.68784392,0.89913709,0.00881828,0.00000000,0.19443030,0.24837409,0.02689595,0.05406796,0.52039156,0.00000000
-5.68184092,0.90774276,0.00881811,0.00000000,0.18950252,0.24713335,0.02902884,0.05480905,0.52760373,0.00000000
-5.67583792,0.92511914,0.00890735,0.00000000,0.18668830,0.24838409,0.03141473,0.05616195,0.53995467,0.00000000
-5.66983492,0.95114409,0.00908561,0.00000000,0.18597464,0.25212602,0.03403947,0.05811070,0.55734157,0.00000000
-5.66383192,0.98551548,0.00935055,0.00000000,0.18731250,0.25831891,0.03688220,0.06062846,0.57955382,0.00000000
-5.65782891,1.02776180,0.00969813,0.00000000,0.19062056,0.26688507,0.03991563,0.06367834,0.60627960,0.00000000
-5.65182591,1.07725872,0.01012271,0.00000000,0.19579003,0.27771358,0.04310655,0.06721462,0.63711597,0.00000000
-5.64582291,1.13325106,0.01061732,0.00000000,0.20269011,0.29066566,0.04641659,0.07118427,0.67158218,0.00000000
-5.63981991,1.19487938,0.01117392,0.00000000,0.21117393,0.30558128,0.04980311,0.07552868,0.70913559,0.00000000
-5.63381691,1.26121007,0.01178374,0.00000000,0.22108481,0.32228645,0.05322038,0.08018562,0.74918987,0.00000000
-5.62781391,1.33126768,0.01243749,0.00000000,0.23226231,0.34060099,0.05662081,0.08509125,0.79113444,0.00000000
-5.62181091,1.40406821,0.01312577,0.00000000,0.24454807,0.36034624,0.05995633,0.09018214,0.83435462,0.00000000
-5.61580790,1.47865169,0.01383930,0.00000000,0.25779100,0.38135242,0.06317975,0.09539726,0.87825136,0.00000000
-5.60980490,1.55411257,0.01456924,0.00000000,0.27185160,0.40346513,0.06624617,0.10067968,0.92225982,0.00000000
