energy_ev,total_up,As_p_up,As_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.24451633,0.02076067,0.00000000,0.07185658,0.02623886,0.01226610,0.17474696
-5.99399700,0.24833918,0.02335912,0.00000000,0.07864906,0.02785061,0.01311624,0.16980005
-5.98799400,0.25564867,0.02642707,0.00000000,0.08655298,0.02980579,0.01415418,0.16693205
-5.98199100,0.26645620,0.02998497,0.00000000,0.09556365,0.03210169,0.01538447,0.16612153
-5.97598799,0.28073035,0.03405087,0.00000000,0.10566487,0.03473119,0.01680952,0.16731125
-5.96998499,0.29839997,0.03863955,0.00000000,0.11682873,0.03768326,0.01842963,0.17041278
-5.96398199,0.31935798,0.04376173,0.00000000,0.12901567,0.04094349,0.02024304,0.17531183
-5.95797899,0.34346577,0.04942319,0.00000000,0.14217499,0.04449480,0.02224608,0.18187408
-5.95197599,0.37055811,0.05562404,0.00000000,0.15624560,0.04831824,0.02443325,0.18995116
-5.94597299,0.40044825,0.06235791,0.00000000,0.17115712,0.05239387,0.02679743,0.19938682
-5.93996998,0.43293327,0.06961142,0.00000000,0.18683121,0.05670170,0.02933007,0.21002287
-5.93396698,0.46779918,0.07736365,0.00000000,0.20318316,0.06122251,0.03202134,0.22170476
-5.92796398,0.50482594,0.08558583,0.00000000,0.22012356,0.06593878,0.03486038,0.23428663
-5.92196098,0.54379182,0.09424129,0.00000000,0.23756002,0.07083531,0.03783542,0.24763557
-5.91595798,0.58447721,0.10328551,0.00000000,0.25539883,0.07589983,0.04093402,0.26163494
-5.90995498,0.62666752,0.11266659,0.00000000,0.27354646,0.08112327,0.04414310,0.27618657
-5.90395198,0.67015516,0.12232579,0.00000000,0.29191081,0.08649985,0.04744910,0.29121182
-5.89794897,0.71474036,0.13219844,0.00000000,0.31040213,0.09202687,0.05083798,0.30665131
-5.89194597,0.76023094,0.14221508,0.00000000,0.32893361,0.09770415,0.05429522,0.32246339
-5.88594297,0.80644096,0.15230270,0.00000000,0.34742150,0.10353328,0.05780573,0.33862138
-5.87993997,0.85318835,0.16238630,0.00000000,0.36578486,0.10951652,0.06135379,0.35510976
-5.87393697,0.90029178,0.17239049,0.00000000,0.38394497,0.11565554,0.06492286,0.37191938
-5.86793397,0.94756686,0.18224111,0.00000000,0.40182439,0.12195002,0.06849547,0.38904208
-5.86193097,0.99482203,0.19186695,0.00000000,0.41934584,0.12839609,0.07205302,0.40646489
-5.85592796,1.04185447,0.20120130,0.00000000,0.43643095,0.13498493,0.07557569,0.42416425
-5.84992496,1.08844639,0.21018344,0.00000000,0.45299907,0.14170134,0.07904230,0.44210054
-5.84392196,1.13436183,0.21875982,0.00000000,0.46896614,0.14852259,0.08243030,0.46021331
-5.83791896,1.17934466,0.22688504,0.00000000,0.48424397,0.15541758,0.08571580,0.47841743
