energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.18143072,0.00447398,0.08015745,0.45379032,0.42832705,0.01199502,0.51892708,0.18166937,0.08662008
-5.99399700,1.20256738,0.00439919,0.08037463,0.46175951,0.43427928,0.01292256,0.53379054,0.19136992,0.08908361
-5.98799400,1.22915344,0.00436412,0.08086573,0.47240813,0.44211351,0.01387183,0.55138798,0.20261018,0.09202454
-5.98199100,1.26167126,0.00436852,0.08167077,0.48597910,0.45205387,0.01483265,0.57188371,0.21546799,0.09546651
-5.97598799,1.30044558,0.00441169,0.08282035,0.50264586,0.46427118,0.01579376,0.59536723,0.22998678,0.09942152
-5.96998499,1.34563289,0.00449258,0.08433488,0.52250516,0.47887800,0.01674309,0.62184916,0.24617260,0.10388939
-5.96398199,1.39721707,0.00460984,0.08622406,0.54557270,0.49592575,0.01766815,0.65126011,0.26399236,0.10885783
-5.95797899,1.45501143,0.00476203,0.08848689,0.57178207,0.51540385,0.01855636,0.68345259,0.28337346,0.11430279
-5.95197599,1.51866667,0.00494767,0.09111199,0.60098664,0.53724081,0.01939549,0.71820568,0.30420492,0.12018932
-5.94597299,1.58768414,0.00516549,0.09407830,0.63296454,0.56130697,0.02017402,0.75523224,0.32633977,0.12647272
-5.93996998,1.66143380,0.00541452,0.09735603,0.66742638,0.58741881,0.02088151,0.79418849,0.34959895,0.13310006
-5.93396698,1.73917568,0.00569433,0.10090785,0.70402531,0.61534430,0.02150896,0.83468518,0.37377628,0.14001187
-5.92796398,1.82008388,0.00600515,0.10469021,0.74236914,0.64480922,0.02204908,0.87630016,0.39864452,0.14714403
-5.92196098,1.90327206,0.00634804,0.10865478,0.78203376,0.67550404,0.02249647,0.91859156,0.42396216,0.15442969
-5.91595798,1.98781918,0.00672501,0.11274989,0.82257752,0.70709110,0.02284773,0.96111107,0.44948073,0.16180118
-5.90995498,2.07279465,0.00713912,0.11692199,0.86355586,0.73921193,0.02310157,1.00341683,0.47495215,0.16919182
-5.90395198,2.15728177,0.00759452,0.12111707,0.90453556,0.77149439,0.02325866,1.04508529,0.50013608,0.17653754
-5.89794897,2.24039886,0.00809641,0.12528191,0.94510811,0.80355961,0.02332156,1.08572166,0.52480661,0.18377830
-5.89194597,2.32131734,0.00865101,0.12936533,0.98490164,0.83502863,0.02329452,1.12496857,0.54875826,0.19085918
-5.88594297,2.39927642,0.00926534,0.13331923,1.02359094,0.86552855,0.02318317,1.16251260,0.57181082,0.19773114
-5.87993997,2.47359414,0.00994705,0.13709960,1.06090517,0.89469832,0.02299428,1.19808856,0.59381293,0.20435153
-5.87393697,2.54367462,0.01070409,0.14066727,1.09663313,0.92219410,0.02273539,1.23148143,0.61464420,0.21068409
-5.86793397,2.60901173,0.01154434,0.14398870,1.13062575,0.94769414,0.02241450,1.26252606,0.63421581,0.21669883
-5.86193097,2.66918934,0.01247521,0.14703645,1.16279595,0.97090328,0.02203977,1.29110460,0.65246955,0.22237142
-5.85592796,2.72387848,0.01350312,0.14978969,1.19311589,0.99155696,0.02161921,1.31714221,0.66937547,0.22768245
-5.84992496,2.77283193,0.01463308,0.15223450,1.22161179,1.00942474,0.02116046,1.34060104,0.68492815,0.23261642
-5.84392196,2.81587676,0.01586812,0.15436397,1.24835676,1.02431335,0.02067061,1.36147314,0.69914207,0.23716059
-5.83791896,2.85290529,0.01720890,0.15617831,1.27346193,1.03606906,0.02015603,1.37977263,0.71204610,0.24130381
-5.83191596,2.88386517,0.01865322,0.15768465,1.29706648,1.04457950,0.01962232,1.39552755,0.72367771,0.24503528
-5.82591296,2.90874915,0.02019578,0.15889674,1.31932696,1.04977464,0.01907430,1.40877199,0.73407700,0.24834341
-5.81990995,2.92758508,0.02182789,0.15983452,1.34040659,1.05162705,0.01851604,1.41953886,0.74328123,0.25121488
-5.81390695,2.94042668,0.02353740,0.16052344,1.36046504,1.05015132,0.01795090,1.42785379,0.75131994,0.25363380
-5.80790395,2.94734568,0.02530880,0.16099371,1.37964914,1.04540261,0.01738166,1.43373049,0.75821108,0.25558127
-5.80190095,2.94842549,0.02712341,0.16127928,1.39808501,1.03747441,0.01681063,1.43716781,0.76395843,0.25703518
-5.79589795,2.94375705,0.02895978,0.16141682,1.41587197,1.02649552,0.01623977,1.43814878,0.76855046,0.25797036
-5.78989495,2.93343664,0.03079424,0.16144455,1.43307846,1.01262640,0.01567083,1.43664159,0.77196067,0.25835918
-5.78389195,2.91756612,0.03260164,0.16140098,1.44974008,0.99605499,0.01510544,1.43260263,0.77414947,0.25817236
-5.77788894,2.89625516,0.03435608,0.16132368,1.46585976,0.97699210,0.01454525,1.42598113,0.77506744,0.25738027
-5.77188594,2.86962547,0.03603192,0.16124810,1.48140988,0.95566673,0.01399194,1.41672552,0.77465979,0.25595438
-5.76588294,2.83781654,0.03760462,0.16120641,1.49633615,0.93232122,0.01344732,1.40479070,0.77287166,0.25386900
-5.75987994,2.80099243,0.03905178,0.16122648,1.51056277,0.90720666,0.01291334,1.39014607,0.76965406,0.25110307
-5.75387694,2.75934890,0.04035397,0.16133105,1.52399853,0.88057849,0.01239208,1.37278364,0.76496980,0.24764207
-5.74787394,2.71312048,0.04149556,0.16153708,1.53654326,0.85269258,0.01188574,1.35272563,0.75879925,0.24347970
-5.74187094,2.66258641,0.04246533,0.16185522,1.54809414,0.82380170,0.01139660,1.33003111,0.75114530,0.23861953
-5.73586793,2.60807513,0.04325697,0.16228967,1.55855135,0.79415259,0.01092694,1.30480112,0.74203730,0.23307622
-5.72986493,2.54996654,0.04386932,0.16283805,1.56782273,0.76398345,0.01047903,1.27718187,0.73153358,0.22687643
-5.72386193,2.48869162,0.04430632,0.16349167,1.57582695,0.73352209,0.01005498,1.24736562,0.71972239,0.22005922
-5.71785893,2.42472920,0.04457684,0.16423581,1.58249508,0.70298435,0.00965675,1.21558924,0.70672104,0.21267601
-5.71185593,2.35859973,0.04469415,0.16505028,1.58777051,0.67257313,0.00928603,1.18213033,0.69267342,0.20478997
-5.70585293,2.29085634,0.04467525,0.16591010,1.59160722,0.64247766,0.00894419,1.14730102,0.67774587,0.19647496
-5.69984992,2.22207349,0.04453998,0.16678622,1.59396675,0.61287312,0.00863224,1.11143994,0.66212164,0.18781399
-5.69384692,2.15283387,0.04431000,0.16764640,1.59481421,0.58392063,0.00835073,1.07490259,0.64599438,0.17889729
-5.68784392,2.08371444,0.04400768,0.16845608,1.59411383,0.55576746,0.00809978,1.03805088,0.62956100,0.16982018
-5.68184092,2.01527244,0.04365502,0.16917944,1.59182460,0.52854765,0.00787902,1.00124240,0.61301430,0.16068066
-5.67583792,1.94803252,0.04327249,0.16978029,1.58789675,0.50238291,0.00768760,0.96482011,0.59653603,0.15157715
-5.66983492,1.88247587,0.04287810,0.17022321,1.58226947,0.47738404,0.00752419,0.92910318,0.58029061,0.14260616
-5.66383192,1.81903241,0.04248656,0.17047459,1.57487054,0.45365273,0.00738702,0.89437954,0.56442018,0.13386031
-5.65782891,1.75807674,0.04210862,0.17050376,1.56561826,0.43128404,0.00727392,0.86090068,0.54904113,0.12542665
-5.65182591,1.69992845,0.04175067,0.17028415,1.55442590,0.41036928,0.00718241,0.82887911,0.53424249,0.11738543
-5.64582291,1.64485701,0.04141462,0.16979448,1.54120871,0.39099964,0.00710973,0.79848861,0.52008620,0.10980933
-5.63981991,1.59309133,0.04109798,0.16901996,1.52589348,0.37327022,0.00705301,0.76986735,0.50660941,0.10276323
-5.63381691,1.54483350,0.04079427,0.16795352,1.50843008,0.35728461,0.00700931,0.74312372,0.49382854,0.09630447
-5.62781391,1.50027605,0.04049355,0.16659690,1.48880465,0.34315974,0.00697578,0.71834439,0.48174491,0.09048362
-5.62181091,1.45962187,0.04018324,0.16496177,1.46705354,0.33103090,0.00694979,0.69560424,0.47035165,0.08534561
-5.61580790,1.42310539,0.03984903,0.16307064,1.44327717,0.32105656,0.00692901,0.67497746,0.45964129,0.08093117
-5.60980490,1.39101369,0.03947588,0.16095756,1.41765293,0.31342286,0.00691159,0.65654888,0.44961370,0.07727845
-5.60380190,1.36370614,0.03904907,0.15866860,1.39044605,0.30834726,0.00689620,0.64042509,0.44028378,0.07442468
-5.59779890,1.34163073,0.03855518,0.15626194,1.36201752,0.30608118,0.00688217,0.62674413,0.43168826,0.07240779
-5.59179590,1.32533603,0.03798302,0.15380758,1.33282827,0.30691115,0.00686952,0.61568333,0.42389139,0.07126772
-5.58579290,1.31547708,0.03732438,0.15138661,1.30343883,0.31115815,0.00685901,0.60746439,0.41698878,0.07104744
-5.57978989,1.31281449,0.03657469,0.14909001,1.27450405,0.31917493,0.00685216,0.60235523,0.41110926,0.07179345
-5.57378689,1.31820577,0.03573332,0.14701691,1.24676260,0.33134097,0.00685118,0.60066831,0.40641451,0.07355582
-5.56778389,1.33258860,0.03480382,0.14527237,1.22102127,0.34805503,0.00685896,0.60275500,0.40309620,0.07638752
-5.56178089,1.35695608,0.03379379,0.14396479,1.19813438,0.36972511,0.00687893,0.60899626,0.40137091,0.08034318
-5.55577789,1.39232439,0.03271467,0.14320280,1.17897886,0.39675607,0.00691497,0.61978958,0.40147270,0.08547724
-5.54977489,1.43969380,0.03158117,0.14309195,1.16442578,0.42953491,0.00697123,0.63553285,0.40364388,0.09184151
-5.54377189,1.50000421,0.03041068,0.14373119,1.15530945,0.46841421,0.00705198,0.65660550,0.40812415,0.09948230
-5.53776888,1.57408702,0.02922249,0.14520925,1.15239519,0.51369412,0.00716144,0.68334784,0.41513869,0.10843710
-5.53176588,1.66261531,0.02803688,0.14760116,1.15634721,0.56560358,0.00730357,0.71603948,0.42488577,0.11873117
-5.52576288,1.76605437,0.02687425,0.15096506,1.16769793,0.62428140,0.00748189,0.75487768,0.43752437,0.13037400
-5.51975988,1.88461519,0.02575422,0.15533932,1.18682020,0.68975817,0.00769931,0.79995695,0.45316256,0.14335602
-5.51375688,2.01821311,0.02469480,0.16074031,1.21390376,0.76193980,0.00795798,0.85125061,0.47184707,0.15764554
