energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
0.92746373,3.13420622,1.11300715,0.10145008,0.09567365,0.26696355,0.43667133,1.71943482,0.06637956,0.64742229
0.93346673,3.14622050,1.12081199,0.10335502,0.09490816,0.26352706,0.43581640,1.71770512,0.06799731,0.65592432
0.93946973,3.15506227,1.12834571,0.10517804,0.09364823,0.25932222,0.43414842,1.71366531,0.06990969,0.66466847
0.94547274,3.16147331,1.13579724,0.10692321,0.09193374,0.25446924,0.43178400,1.70786246,0.07210764,0.67368061
0.95147574,3.16615199,1.14331346,0.10859330,0.08981241,0.24909736,0.42885009,1.70082316,0.07457451,0.68296486
0.95747874,3.16971371,1.15098666,0.11018896,0.08733795,0.24333959,0.42547802,1.69302869,0.07728550,0.69250148
0.96348174,3.17265483,1.15884413,0.11170787,0.08456806,0.23732745,0.42179744,1.68489230,0.08020726,0.70224555
0.96948474,3.17532211,1.16684044,0.11314406,0.08156229,0.23118602,0.41793065,1.67673980,0.08329781,0.71212626
0.97548774,3.17788918,1.17485321,0.11448750,0.07837999,0.22502954,0.41398733,1.66879447,0.08650682,0.72204709
0.98149075,3.18034162,1.18268244,0.11572376,0.07507835,0.21895764,0.41006013,1.66116694,0.08977609,0.73188665
0.98749375,3.18247144,1.19005408,0.11683413,0.07171071,0.21305249,0.40622105,1.65385073,0.09304061,0.74150035
0.99349675,3.18388141,1.19662733,0.11779578,0.06832512,0.20737680,0.40251898,1.64672355,0.09622984,0.75072287
0.99949975,3.18399913,1.20200595,0.11858244,0.06496327,0.20197288,0.39897822,1.63955426,0.09926939,0.75937120
1.00550275,3.18210029,1.20575281,0.11916510,0.06165972,0.19686266,0.39559822,1.63201522,0.10208306,0.76724849
1.01150575,3.17733989,1.20740711,0.11951309,0.05844163,0.19204854,0.39235436,1.62369921,0.10459500,0.77414840
1.01750875,3.16879000,1.20650372,0.11959524,0.05532874,0.18751513,0.38919973,1.61414018,0.10673209,0.77985999
1.02351176,3.15548216,1.20259329,0.11938123,0.05233379,0.18323164,0.38606787,1.60283674,0.10842638,0.78417304
1.02951476,3.13645233,1.19526259,0.11884293,0.04946312,0.17915472,0.38287619,1.58927706,0.10961738,0.78688365
