energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Hf_p_up,Hf_d_up,Te_p_up,Te_d_up
-6.00000000,1.21751710,0.00805158,0.14498743,0.01289083,0.00000000,0.55679595,0.26923782,0.67881660,0.00000000
-5.99399700,1.19938387,0.00813250,0.13855708,0.01222893,0.00000000,0.55726064,0.26121797,0.67718796,0.00000000
-5.98799400,1.18380005,0.00821171,0.13288175,0.01161537,0.00000000,0.55749110,0.25448274,0.67618608,0.00000000
-5.98199100,1.17064348,0.00828265,0.12799256,0.01105096,0.00000000,0.55730301,0.24906706,0.67565197,0.00000000
-5.97598799,1.15975716,0.00833897,0.12390743,0.01053544,0.00000000,0.55651008,0.24499136,0.67542330,0.00000000
-5.96998499,1.15096810,0.00837474,0.12063304,0.01006760,0.00000000,0.55493410,0.24226542,0.67534577,0.00000000
-5.96398199,1.14410603,0.00838474,0.11816687,0.00964557,0.00000000,0.55241504,0.24089203,0.67528414,0.00000000
-5.95797899,1.13902092,0.00836468,0.11649921,0.00926705,0.00000000,0.54882040,0.24087026,0.67513238,0.00000000
-5.95197599,1.13559787,0.00831136,0.11561492,0.00892951,0.00000000,0.54405339,0.24219800,0.67482216,0.00000000
-5.94597299,1.13376860,0.00822285,0.11549482,0.00863043,0.00000000,0.53805940,0.24487364,0.67432917,0.00000000
-5.93996998,1.13351843,0.00809855,0.11611675,0.00836750,0.00000000,0.53083036,0.24889664,0.67367677,0.00000000
-5.93396698,1.13488858,0.00793931,0.11745598,0.00813874,0.00000000,0.52240685,0.25426702,0.67293670,0.00000000
-5.92796398,1.13797345,0.00774735,0.11948530,0.00794265,0.00000000,0.51287768,0.26098374,0.67222684,0.00000000
-5.92196098,1.14291312,0.00752628,0.12217455,0.00777823,0.00000000,0.50237719,0.26904208,0.67170603,0.00000000
-5.91595798,1.14988169,0.00728098,0.12548979,0.00764507,0.00000000,0.49108028,0.27843030,0.67156628,0.00000000
-5.90995498,1.15907225,0.00701745,0.12939221,0.00754324,0.00000000,0.47919566,0.28912563,0.67202288,0.00000000
-5.90395198,1.17067947,0.00674268,0.13383692,0.00747335,0.00000000,0.46695756,0.30109023,0.67330301,0.00000000
-5.89794897,1.18488124,0.00646443,0.13877167,0.00743638,0.00000000,0.45461660,0.31426707,0.67563350,0.00000000
-5.89194597,1.20182044,0.00619099,0.14413582,0.00743362,0.00000000,0.44243014,0.32857642,0.67922855,0.00000000
-5.88594297,1.22158821,0.00593102,0.14985955,0.00746656,0.00000000,0.43065284,0.34391310,0.68427809,0.00000000
-5.87993997,1.24420997,0.00569324,0.15586350,0.00753674,0.00000000,0.41952775,0.36014480,0.69093754,0.00000000
-5.87393697,1.26963497,0.00548624,0.16205898,0.00764568,0.00000000,0.40927853,0.37711175,0.69931943,0.00000000
-5.86793397,1.29773026,0.00531826,0.16834870,0.00779474,0.00000000,0.40010292,0.39462789,0.70948745,0.00000000
-5.86193097,1.32827932,0.00519691,0.17462816,0.00798505,0.00000000,0.39216800,0.41248348,0.72145315,0.00000000
-5.85592796,1.36098563,0.00512905,0.18078764,0.00821740,0.00000000,0.38560696,0.43044933,0.73517531,0.00000000
-5.84992496,1.39548074,0.00512055,0.18671465,0.00849223,0.00000000,0.38051773,0.44828229,0.75056202,0.00000000
-5.84392196,1.43133636,0.00517613,0.19229694,0.00880951,0.00000000,0.37696311,0.46573190,0.76747512,0.00000000
-5.83791896,1.46807968,0.00529922,0.19742565,0.00916879,0.00000000,0.37497239,0.48254787,0.78573662,0.00000000
-5.83191596,1.50521084,0.00549184,0.20199872,0.00956911,0.00000000,0.37454392,0.49848792,0.80513660,0.00000000
-5.82591296,1.54222147,0.00575453,0.20592422,0.01000906,0.00000000,0.37564867,0.51332575,0.82544200,0.00000000
-5.81990995,1.57861300,0.00608623,0.20912347,0.01048669,0.00000000,0.37823406,0.52685848,0.84640562,0.00000000
-5.81390695,1.61391378,0.00648427,0.21153373,0.01099958,0.00000000,0.38222804,0.53891338,0.86777490,0.00000000
-5.80790395,1.64769385,0.00694440,0.21311047,0.01154480,0.00000000,0.38754301,0.54935330,0.88929973,0.00000000
-5.80190095,1.67957652,0.00746079,0.21382884,0.01211891,0.00000000,0.39407929,0.55808067,0.91073907,0.00000000
-5.79589795,1.70924633,0.00802609,0.21368448,0.01271797,0.00000000,0.40172811,0.56503968,0.93186596,0.00000000
-5.78989495,1.73645300,0.00863161,0.21269355,0.01333751,0.00000000,0.41037397,0.57021670,0.95247072,0.00000000
-5.78389195,1.76101132,0.00926741,0.21089184,0.01397256,0.00000000,0.41989636,0.57363872,0.97236256,0.00000000
-5.77788894,1.78279747,0.00992254,0.20833331,0.01461766,0.00000000,0.43017092,0.57537012,0.99136943,0.00000000
-5.77188594,1.80174211,0.01058526,0.20508778,0.01526685,0.00000000,0.44107028,0.57550778,1.00933666,0.00000000
-5.76588294,1.81782118,0.01124334,0.20123821,0.01591375,0.00000000,0.45246458,0.57417500,1.02612460,0.00000000
-5.75987994,1.83104531,0.01188432,0.19687748,0.01655156,0.00000000,0.46422204,0.57151446,1.04160579,0.00000000
-5.75387694,1.84144873,0.01249587,0.19210504,0.01717321,0.00000000,0.47620976,0.56768078,1.05566208,0.00000000
-5.74787394,1.84907887,0.01306612,0.18702339,0.01777141,0.00000000,0.48829489,0.56283302,1.06818226,0.00000000
-5.74187094,1.85398741,0.01358399,0.18173479,0.01833881,0.00000000,0.50034637,0.55712760,1.07906048,0.00000000
-5.73586793,1.85622365,0.01403954,0.17633819,0.01886816,0.00000000,0.51223737,0.55071205,1.08819592,0.00000000
-5.72986493,1.85583073,0.01442425,0.17092654,0.01935247,0.00000000,0.52384836,0.54371990,1.09549377,0.00000000
-5.72386193,1.85284500,0.01473132,0.16558471,0.01978521,0.00000000,0.53507090,0.53626702,1.10086778,0.00000000
-5.71785893,1.84729848,0.01495591,0.16038792,0.02016053,0.00000000,0.54581178,0.52844947,1.10424410,0.00000000
-5.71185593,1.83922438,0.01509529,0.15540073,0.02047345,0.00000000,0.55599755,0.52034300,1.10556628,0.00000000
-5.70585293,1.82866480,0.01514900,0.15067679,0.02072003,0.00000000,0.56557896,0.51200400,1.10480115,0.00000000
-5.69984992,1.81568025,0.01511892,0.14625888,0.02089760,0.00000000,0.57453512,0.50347191,1.10194488,0.00000000
-5.69384692,1.80035969,0.01500923,0.14217967,0.02100484,0.00000000,0.58287684,0.49477260,1.09702900,0.00000000
-5.68784392,1.78283035,0.01482638,0.13846258,0.02104191,0.00000000,0.59064904,0.48592258,1.09012548,0.00000000
-5.68184092,1.76326621,0.01457896,0.13512303,0.02101050,0.00000000,0.59793167,0.47693358,1.08135059,0.00000000
-5.67583792,1.74189411,0.01427752,0.13216969,0.02091379,0.00000000,0.60483903,0.46781702,1.07086689,0.00000000
-5.66983492,1.71899673,0.01393432,0.12960578,0.02075644,0.00000000,0.61151726,0.45858824,1.05888296,0.00000000
-5.66383192,1.69491186,0.01356312,0.12743012,0.02054441,0.00000000,0.61813987,0.44926990,1.04565065,0.00000000
-5.65782891,1.67002759,0.01317882,0.12563806,0.02028480,0.00000000,0.62490146,0.43989441,1.03145972,0.00000000
-5.65182591,1.64477331,0.01279717,0.12422210,0.01998561,0.00000000,0.63200968,0.43050526,1.01662999,0.00000000
-5.64582291,1.61960695,0.01243439,0.12317220,0.01965545,0.00000000,0.63967584,0.42115707,1.00150119,0.00000000
