energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.12796755,0.01417187,1.03263473,0.02036974,0.00000000,0.07433406,1.72786141,1.03183705,1.53219630
-5.99399700,5.04308467,0.01369377,1.02671534,0.01998489,0.00000000,0.07386658,1.68060900,1.02016200,1.51984743
-5.98799400,4.95697245,0.01320904,1.01880835,0.01958102,0.00000000,0.07336229,1.63555715,1.00780246,1.50473712
-5.98199100,4.87012405,0.01272153,1.00901900,0.01916169,0.00000000,0.07282177,1.59289491,0.99492719,1.48705226
-5.97598799,4.78284938,0.01223461,0.99746173,0.01872999,0.00000000,0.07224421,1.55267759,0.98166815,1.46698559
-5.96998499,4.69528740,0.01175116,0.98425769,0.01828851,0.00000000,0.07162776,1.51483786,0.96811897,1.44473206
-5.96398199,4.60742635,0.01127363,0.96953267,0.01783941,0.00000000,0.07096991,1.47920109,0.95433532,1.42048609
-5.95797899,4.51913050,0.01080404,0.95341564,0.01738447,0.00000000,0.07026793,1.44550429,0.94033738,1.39443992
-5.95197599,4.43017218,0.01034407,0.93603793,0.01692516,0.00000000,0.06951929,1.41341760,0.92611402,1.36678288
-5.94597299,4.34026752,0.00989511,0.91753293,0.01646272,0.00000000,0.06872213,1.38256747,0.91162868,1.33770174
-5.93996998,4.24911424,0.00945834,0.89803642,0.01599834,0.00000000,0.06787564,1.35256047,0.89682640,1.30738186
-5.93396698,4.15642984,0.00903481,0.87768735,0.01553320,0.00000000,0.06698044,1.32300678,0.88164183,1.27600910
-5.92796398,4.06198864,0.00862548,0.85662891,0.01506863,0.00000000,0.06603887,1.29354252,0.86600781,1.24377224
-5.92196098,3.96565588,0.00823131,0.83500992,0.01460620,0.00000000,0.06505529,1.26385013,0.84986396,1.21086566
-5.91595798,3.86741780,0.00785327,0.81298616,0.01414787,0.00000000,0.06403621,1.23367597,0.83316496,1.17749214
-5.90995498,3.76740617,0.00749241,0.79072165,0.01369602,0.00000000,0.06299037,1.20284487,0.81588820,1.14386534
-5.90395198,3.66591638,0.00714985,0.76838958,0.01325356,0.00000000,0.06192878,1.17127096,0.79804019,1.11021190
-5.89794897,3.56341843,0.00682681,0.74617273,0.01282397,0.00000000,0.06086461,1.13896470,0.77966173,1.07677265
-5.89194597,3.46056026,0.00652461,0.72426335,0.01241134,0.00000000,0.05981299,1.10603600,0.76083135,1.04380305
-5.88594297,3.35816334,0.00624463,0.70286220,0.01202036,0.00000000,0.05879072,1.07269347,0.74166695,1.01157238
-5.87993997,3.25721072,0.00598830,0.68217689,0.01165628,0.00000000,0.05781592,1.03924001,0.72232562,0.98036181
-5.87393697,3.15882808,0.00575705,0.66241928,0.01132490,0.00000000,0.05690758,1.00606514,0.70300159,0.95046122
-5.86793397,3.06425851,0.00555230,0.64380218,0.01103247,0.00000000,0.05608499,0.97363443,0.68392249,0.92216476
-5.86193097,2.97483208,0.00537535,0.62653529,0.01078561,0.00000000,0.05536726,0.94247659,0.66534397,0.89576547
-5.85592796,2.89193152,0.00522741,0.61082056,0.01059120,0.00000000,0.05477264,0.91316884,0.64754313,0.87154894
-5.84992496,2.81695522,0.00510952,0.59684723,0.01045622,0.00000000,0.05431795,0.88632104,0.63081092,0.84978635
-5.84392196,2.75127920,0.00502250,0.58478662,0.01038768,0.00000000,0.05401799,0.86255920,0.61544395,0.83072731
-5.83791896,2.69621924,0.00496695,0.57478708,0.01039241,0.00000000,0.05388498,0.84250903,0.60173596,0.81459256
-5.83191596,2.65299471,0.00494321,0.56696919,0.01047692,0.00000000,0.05392810,0.82677977,0.58996940,0.80156723
