energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,9.75174762,1.00554238,5.51661896,0.03673581,0.94017027,2.70477493,1.92257054,1.48874226,0.00000000
-5.99399700,9.67070032,0.99273726,5.47331297,0.03633879,0.93008288,2.67614737,1.91281005,1.47578284,0.00000000
-5.98799400,9.58460764,0.98049559,5.42663239,0.03592584,0.91965217,2.64835763,1.90127880,1.46204027,0.00000000
-5.98199100,9.49477098,0.96880774,5.37706664,0.03549898,0.90922810,2.62215137,1.88844600,1.44757589,0.00000000
-5.97598799,9.40272772,0.95767067,5.32525660,0.03506111,0.89917145,2.59828364,1.87484125,1.43249207,0.00000000
-5.96998499,9.31019759,0.94708748,5.27196894,0.03461599,0.88984354,2.57749748,1.86103822,1.41692753,0.00000000
-5.96398199,9.21902286,0.93706618,5.21806660,0.03416828,0.88159581,2.56050202,1.84763695,1.40105148,0.00000000
-5.95797899,9.13110504,0.92761806,5.16447680,0.03372338,0.87475970,2.54795093,1.83524525,1.38505673,0.00000000
-5.95197599,9.04834063,0.91875556,5.11215793,0.03328741,0.86963721,2.54042203,1.82446004,1.36915221,0.00000000
-5.94597299,8.97255865,0.91048997,5.06206659,0.03286698,0.86649253,2.53839897,1.81584935,1.35355506,0.00000000
-5.93996998,8.90546207,0.90282914,5.01512600,0.03246907,0.86554507,2.54225565,1.80993549,1.33848277,0.00000000
-5.93396698,8.84857528,0.89577522,4.97219685,0.03210083,0.86696413,2.55224394,1.80718007,1.32414538,0.00000000
-5.92796398,8.80319923,0.88932267,4.93405145,0.03176930,0.87086535,2.56848522,1.80797121,1.31073833,0.00000000
-5.92196098,8.77037547,0.88345674,4.90135187,0.03148124,0.87730910,2.59096604,1.81261347,1.29843574,0.00000000
-5.91595798,8.75086000,0.87815235,4.87463267,0.03124286,0.88630078,2.61953799,1.82132054,1.28738479,0.00000000
-5.90995498,8.74510740,0.87337362,4.85428850,0.03105956,0.89779297,2.65392176,1.83421097,1.27770090,0.00000000
-5.90395198,8.75326516,0.86907399,4.84056667,0.03093577,0.91168924,2.69371520,1.85130689,1.26946416,0.00000000
-5.89794897,8.77517804,0.86519701,4.83356485,0.03087468,0.92784940,2.73840506,1.87253561,1.26271691,0.00000000
-5.89194597,8.81040175,0.86167769,4.83323352,0.03087813,0.94609599,2.78738186,1.89773400,1.25746252,0.00000000
-5.88594297,8.85822505,0.85844442,4.83938302,0.03094644,0.96622160,2.83995730,1.92665526,1.25366549,0.00000000
