energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.71035195,-1.82680522,0.50399253,-0.88363866,0.38400370,-0.14897084,0.00631433,-0.00600084,0.22473364,-0.11959268,0.25888820,-0.42840010,0.28946668,-0.33986011,0.05660398,-0.04624303,0.73677836,-0.99015498
-5.99399700,1.74882548,-1.80299263,0.52664919,-0.85445289,0.39675934,-0.14614061,0.00616754,-0.00605396,0.23040593,-0.11576619,0.26872402,-0.41720744,0.29180572,-0.34184013,0.05613867,-0.04769701,0.75454185,-0.97961831
-5.98799400,1.78893586,-1.77511957,0.55247230,-0.82503108,0.41018404,-0.14289113,0.00600504,-0.00609659,0.23658345,-0.11177938,0.27930803,-0.40532389,0.29383125,-0.34293467,0.05545150,-0.04894413,0.77282306,-0.96678220
-5.98199100,1.83071498,-1.74340898,0.58145537,-0.79558708,0.42437020,-0.13926625,0.00582724,-0.00612575,0.24342024,-0.10765069,0.29051805,-0.39291074,0.29557082,-0.34308928,0.05455664,-0.04996062,0.79144618,-0.95177284
-5.97598799,1.87424198,-1.70811034,0.61362342,-0.76631388,0.43941065,-0.13531287,0.00563494,-0.00613868,0.25107404,-0.10339967,0.30223717,-0.38012341,0.29706766,-0.34226058,0.05347018,-0.05072704,0.81025810,-0.93473132
-5.96998499,1.91962408,-1.66950148,0.64902540,-0.73738546,0.45539044,-0.13108048,0.00542928,-0.00613293,0.25969817,-0.09904738,0.31435425,-0.36711007,0.29837818,-0.34041832,0.05220955,-0.05122878,0.82912708,-0.91581409
-5.96398199,1.96697508,-1.62789088,0.68772417,-0.70895958,0.47237821,-0.12662070,0.00521170,-0.00610647,0.26943285,-0.09461666,0.32676394,-0.35401097,0.29956889,-0.33754738,0.05079307,-0.05145643,0.84794057,-0.89519400
-5.95797899,2.01639240,-1.58362031,0.72978446,-0.68118138,0.49041765,-0.12198699,0.00498392,-0.00605774,0.28039658,-0.09013232,0.33936646,-0.34095834,0.30071280,-0.33364941,0.04923947,-0.05140598,0.86660207,-0.87306150
-5.95197599,2.06793394,-1.53706744,0.77525914,-0.65418763,0.50951949,-0.11723435,0.00474783,-0.00598572,0.29267779,-0.08562139,0.35206707,-0.32807693,0.30188563,-0.32874422,0.04756757,-0.05107889,0.88502748,-0.84962605
-5.94597299,2.12159597,-1.48864825,0.82417463,-0.62811148,0.52965436,-0.11241912,0.00450553,-0.00588994,0.30632736,-0.08111315,0.36477535,-0.31548498,0.30316169,-0.32287075,0.04579595,-0.05048202,0.90314095,-0.82511751
