energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,1.00291761,0.67733593,0.25057252,0.00299554,0.27871621,0.14630382,0.01214091,0.39134638
-5.99399700,1.02319313,0.68691149,0.25589631,0.00280572,0.28417449,0.14977902,0.01251002,0.40066045
-5.98799400,1.04706583,0.69682468,0.26160320,0.00264643,0.28906467,0.15396423,0.01298103,0.41321989
-5.98199100,1.07479729,0.70739273,0.26775814,0.00251843,0.29349853,0.15891355,0.01355729,0.42906430
-5.97598799,1.10660586,0.71894012,0.27442192,0.00242211,0.29760395,0.16467156,0.01424115,0.44818276
-5.96998499,1.14265180,0.73178441,0.28164705,0.00235748,0.30151877,0.17127078,0.01503367,0.47051085
-5.96398199,1.18302339,0.74622246,0.28947379,0.00232411,0.30538437,0.17872938,0.01593433,0.49592880
-5.95797899,1.22772491,0.76251765,0.29792653,0.00232118,0.30933932,0.18704905,0.01694069,0.52426089
-5.95197599,1.27666746,0.78088882,0.30701077,0.00234752,0.31351346,0.19621337,0.01804808,0.55527637
-5.94597299,1.32966321,0.80150175,0.31671092,0.00240156,0.31802267,0.20618661,0.01924940,0.58869203
-5.93996998,1.38642381,0.82446354,0.32698906,0.00248144,0.32296475,0.21691324,0.02053489,0.62417648
-5.93396698,1.44656346,0.84982035,0.33778489,0.00258504,0.32841647,0.22831815,0.02189205,0.66135610
-5.92796398,1.50960667,0.87755871,0.34901680,0.00271003,0.33443207,0.24030762,0.02330565,0.69982281
-5.92196098,1.57500067,0.90761019,0.36058418,0.00285396,0.34104313,0.25277117,0.02475783,0.73914323
-5.91595798,1.64213211,0.93985932,0.37237083,0.00301433,0.34825993,0.26558415,0.02622839,0.77886918
-5.90995498,1.71034729,0.97415398,0.38424932,0.00318870,0.35607396,0.27861112,0.02769512,0.81854910
-5.90395198,1.77897491,1.01031778,0.39608607,0.00337472,0.36446151,0.29170976,0.02913435,0.85773995
-5.89794897,1.84735018,1.04816329,0.40774690,0.00357030,0.37338796,0.30473533,0.03052151,0.89601910
-5.89194597,1.91483901,1.08750521,0.41910271,0.00377360,0.38281240,0.31754537,0.03183182,0.93299569
-5.88594297,1.98086059,1.12817243,0.43003492,0.00398319,0.39269228,0.33000442,0.03304105,0.96832088
-5.87993997,2.04490722,1.17001787,0.44044034,0.00419805,0.40298757,0.34198857,0.03412625,1.00169646
-5.87393697,2.10655983,1.21292524,0.45023525,0.00441760,0.41366418,0.35338956,0.03506657,1.03288130
-5.86793397,2.16549827,1.25681202,0.45935822,0.00464178,0.42469626,0.36411821,0.03584388,1.06169527
-5.86193097,2.22150538,1.30162806,0.46777159,0.00487096,0.43606724,0.37410689,0.03644348,1.08802036
-5.85592796,2.27446454,1.34734981,0.47546157,0.00510598,0.44776932,0.38331104,0.03685458,1.11179884
-5.84992496,2.32435056,1.39397018,0.48243665,0.00534802,0.45980158,0.39170940,0.03707066,1.13302845
